[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[Xa_Va_l]	[V_Xa_l]	[IIa_f]	[V_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[APC_PS_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]
1174.5	0.0	0.0	0.0	1.75	0.0	0.0	0.0	7.6	0.0	0.1	0.0	142.85	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	66.0	0.0	0.0182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	4721.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	170000.0	364.0	0.0	0.0
927.7792183561088	246.7207816438916	3.045740370828283e-36	3.314744339254304e-33	0.10887431708889593	1.6411256829109435	2.254505580284821e-20	3.696498089966783e-17	0.5187828240455149	7.081198285197298	0.006318049449834796	0.0936570051516419	83.6949363774042	59.15506225258597	2.7817198317748446e-12	1.5660250968626331e-10	7.000223879340909e-43	1.2006206589887798e-40	7.2920780820745685	108.70792191792546	1.1438538263968289e-69	5.915958427888386e-66	12.013622847447877	53.9863771525521	0.018156163844552077	2.3575548457645802e-05	1.8890756902598348e-05	1.3495548341527582e-06	2.0295253541609644e-08	6.104606564143814e-19	1.6099598625375476e-29	1.6071297351742954e-13	7.523488212907426e-34	2.6302386769053813e-37	8.064822408747471e-31	2.1663743899445203e-32	2.3893176200399073e-42	12.3	4721.0	5.293163455106279e-38	3.084706709617851e-15	3.0670494334567746e-24	1.1606824782844865e-62	1.7019677329370486e-16	2.6185852934418033e-13	1.1568818347976839e-36	1.0	1.622293531886789e-36	1.760963585140178e-38	2.032316086316783e-40	122261.38308536235	364.0	1.493832808998861e-39	7.987647759821705e-18
776.9117223620001	397.588277638	5.48694854196359e-31	2.997802057728423e-28	0.015614250803302296	1.7343857491862178	5.789691515254793e-18	5.268603319138331e-15	0.1349581767805669	7.464996304334364	0.0010336928250378231	0.09890610641019137	58.00801932039233	84.84197303345634	1.4685746801362926e-10	4.360591234764965e-09	1.2392988756935094e-36	1.0633515441265508e-34	1.145247437603721	114.85475256239631	3.127026782511823e-60	8.009545680692397e-57	11.559493141981068	54.44050685801893	0.01809428036319749	5.255914728879849e-05	4.55188695501518e-05	7.384008468112843e-06	2.576114954143281e-07	7.090504396337273e-17	1.2762657359295953e-25	1.0474313406206229e-11	6.792247847570866e-29	5.435376712959252e-32	1.7902207455407492e-26	8.89341823118131e-28	4.865534767257198e-36	12.299999999999656	4721.0	1.0448426683322042e-32	3.529869947714304e-13	1.7003178719180177e-21	7.286104779450223e-54	1.947587352979659e-14	1.3035271537732834e-11	2.3901071314222724e-31	1.0	3.159358577745314e-31	7.395662378533994e-33	7.974329392694731e-35	103897.60883825347	364.0	2.9487475144770926e-34	9.14038583460057e-16
673.4441109422511	501.05588905774863	3.665742429669186e-28	1.3509768894752886e-25	0.006727973757060663	1.7432720261455545	1.1733559807042619e-16	7.775011396307166e-14	0.10750984403105149	7.492417608571046	0.0005494598216037624	0.0993545096044591	45.07568949624166	97.7742935311443	1.2136513951444346e-09	2.52456444307207e-08	3.099433710007978e-33	1.7890856298588909e-31	0.5746989728965735	115.42530102710343	4.636510950117139e-55	7.934152589533367e-52	12.684101013286677	53.31589898671331	0.018031422123945783	7.90846469999707e-05	7.254727234269097e-05	1.6015122726482455e-05	9.308339842819868e-07	8.441101528546576e-16	1.597827126405475e-23	9.730696184074784e-11	3.0546586073716754e-26	3.875547797477278e-29	3.670299978774517e-24	2.485302894336885e-25	1.3074451033606325e-32	12.299999999995359	4721.0	7.53844818898888e-30	4.6512414169604506e-12	5.335971773200061e-20	4.5665229970345975e-49	2.566303327480026e-13	9.578020008911828e-11	1.7040493858336676e-28	1.0	2.249351910802003e-28	8.05237520395889e-30	8.526004901744569e-32	92309.33877035056	364.0	2.1274954626209494e-31	1.2044133756516413e-14
598.8994650209002	575.6005349790994	2.776947714266773e-26	7.806629019739689e-24	0.005972584146574889	1.744027415422921	8.915585755512612e-16	4.77895059027909e-13	0.1126293262712139	7.48727117727465	0.0005240125308534964	0.099344205833331	38.22810945444417	104.62186306050118	4.894984206797368e-09	8.007987153793881e-08	5.933090555886365e-31	2.601875641858931e-29	0.5385924811358235	115.46140751886415	1.4765299490201876e-51	1.907626702365816e-48	13.711461168865956	52.288538831134034	0.017968722255723036	0.00010438251229165216	9.94959556874999e-05	2.5289075278358462e-05	2.110201015266258e-06	4.245343142769662e-15	4.0553095348067964e-22	4.300256813314114e-10	1.7610623917415696e-24	3.0825181507370746e-27	1.246035843942465e-22	1.0181594468702243e-23	2.653270933247384e-30	12.299999999973757	4721.0	6.108611515145986e-28	2.62589227729675e-11	5.50940899212162e-19	7.903049742681926e-46	1.4488283242159035e-12	3.4566762043460085e-10	1.3554517721801925e-26	1.0	1.7991055006714766e-26	8.636798157264441e-28	9.065798425421395e-30	84269.67540532185	364.0	1.7239679779679303e-29	6.799617933013681e-14
543.4392369225227	631.0607630774768	6.737304652350427e-25	1.5471463606838066e-22	0.006223498219820369	1.7437765004874275	4.04185187517478e-15	1.8539494288274906e-12	0.12074923660804884	7.479124442661321	0.0005531464912415344	0.09927946708255472	34.565307025829505	108.28465451168869	1.3587798018408394e-08	1.8627796305726824e-07	2.921549352036078e-29	1.0413823509314117e-27	0.566933405688883	115.4330665943111	6.131046484145529e-49	6.40274100757375e-46	14.575200032204249	51.42479996779575	0.017906293713665044	0.00012912657773453062	0.00012631935424012368	3.44724239826945e-05	3.7879303639185707e-06	1.3745057674684923e-14	4.4844042242772926e-21	1.2908939569193928e-09	3.481392543589523e-23	7.789345650533965e-26	1.6667909925920175e-21	1.5435387197943432e-22	1.377021894877704e-28	12.299999999905188	4721.0	1.5749187866423884e-26	9.483308368937707e-11	3.170171343494167e-18	2.0527643044588205e-43	5.232398979969134e-12	8.704903272040731e-10	3.425907333788443e-25	1.0	4.580170192210472e-25	2.74349651335983e-26	2.866961421686341e-28	78447.42032812539	364.0	4.444724548843238e-28	2.455661125767635e-13
501.21990368893796	673.2800963110616	8.19356794073564e-24	1.605828372964e-21	0.006583290497421905	1.7434167064322852	1.334827943745354e-14	5.427949951205937e-12	0.12830686351336093	7.4715401176742136	0.0005862915551945238	0.09921087059098689	32.66319227507508	110.18675804304867	3.008693908528296e-08	3.598258137020763e-07	6.268328147020746e-28	1.8964281190251044e-26	0.600784569045014	115.39921543095498	7.298660577762006e-47	6.429141535081276e-44	15.294485975954	50.70551402404598	0.017844145106424705	0.00015355229135227753	0.0001530157518718992	4.3355315842808004e-05	5.931534474120126e-06	3.424055940269131e-14	2.996694054859436e-20	3.0648511425610297e-09	3.6037993446896737e-22	9.815351458325302e-25	1.2722042998656536e-20	1.2872769799613217e-21	3.103107444517445e-27	12.299999999739372	4720.999999999989	2.0258635499895063e-25	2.606538637333168e-10	1.2744155329669527e-17	1.6687291394173326e-41	1.4381564677114635e-11	1.7726587314289221e-09	4.3185915821122506e-24	1.0	5.8202889361089785e-24	4.1558897236710965e-25	4.333039171009926e-27	74111.38429849423	363.99999999999966	5.717377638526878e-27	6.749532946646918e-13
468.5281134719377	705.9718865280619	6.294347631228926e-23	1.0854682781778546e-20	0.006917540617734933	1.7430824531447908	3.561993795831896e-14	1.3158412683565888e-11	0.13486697752357524	7.464953427725514	0.0006160813871278105	0.09914578184300546	31.765300118126895	111.08463879274035	5.7336306436135415e-08	6.150257679106682e-07	7.704781778590525e-27	2.0395374074862647e-25	0.6314770702082126	115.36852292979177	3.730034668003243e-45	2.8592719733249993e-42	15.891456299935424	50.108543700064565	0.017782271623865843	0.00017773275605425335	0.00017958884943789803	5.1903169315662084e-05	8.503601254517617e-06	7.184816073903829e-14	1.4317039520465016e-19	6.224279649237612e-09	2.429184273216339e-21	7.783611522299289e-24	6.698080760569929e-20	7.236761996252354e-21	3.996276001977148e-26	12.299999999403298	4720.999999999971	1.6403178148838395e-24	5.967254932085542e-10	4.0237332385325954e-17	6.210568066424293e-40	3.292437849561017e-11	3.1446346275854634e-09	3.426434610831435e-23	1.0	4.6578955701211576e-23	3.841687513262871e-24	4.0006081680998265e-26	70815.87476177058	363.9999999999989	4.6292932191522615e-26	1.5452016688950364e-12
442.88359957400957	731.6164004259902	3.492426148002286e-22	5.419607440661653e-20	0.007207176569036283	1.7427928120886909	8.159584473015473e-14	2.7876961134195286e-11	0.14045767521484728	7.459336271700979	0.0006416612650858527	0.09908505365644955	31.446988882599904	111.40293843220104	9.825623330996599e-08	9.646369231625933e-07	6.368525829269138e-26	1.508465813214965e-24	0.6579265268828447	115.34207347311714	1.043093205105329e-43	7.111810913057043e-41	16.385722916300377	49.61427708369959	0.017720666906289307	0.00020168564814773812	0.00020604279130000748	6.013655636475241e-05	1.146809776443e-05	1.3371326680149278e-13	5.389065543687112e-19	1.1314313598243476e-08	1.2093280246402737e-20	4.445754609471621e-23	2.7131352567392084e-19	3.082352334088929e-20	3.4546516129247437e-25	12.299999998800798	4720.999999999938	9.566843601526653e-24	1.1992233362847682e-09	1.0682722394966613e-16	1.3234883547338667e-38	6.616740652524314e-11	5.068920824100022e-09	1.9583618013523141e-22	1.0	2.686412043818628e-22	2.5014501841420055e-23	2.6028168338169472e-25	68272.2544512368	363.9999999999973	2.6999477669133225e-25	3.105358146787624e-12
422.5641893770924	751.9358106229076	1.5223641061742944e-21	2.1624822397705342e-19	0.0074533006154922235	1.742546680390849	1.6672309227954655e-13	5.340143099674481e-11	0.14518325232531246	7.454584349607012	0.0006633056685091354	0.09902840967749003	31.460484367615408	111.3894311440417	1.5563386448060624e-07	1.4200963088028086e-06	3.9162119797192834e-25	8.444340191857053e-24	0.6803680616883279	115.31963193831167	1.8522497066830456e-42	1.1439406313743589e-39	16.794180146532046	49.20581985346793	0.01765932489763687	0.0002254099616542847	0.00023238140046145313	6.809156106805253e-05	1.4792178951295432e-05	2.278571202481893e-13	1.6984784186525546e-18	1.8940090054027482e-08	4.8108353010117496e-20	1.990548751269311e-22	9.05113354062553e-19	1.069805420728248e-19	2.218476427860831e-24	12.299999997813181	4720.999999999884	4.3738576918674605e-23	2.1868405179325255e-09	2.490163209255783e-16	1.8594848129803042e-37	1.2065969544673622e-10	7.619303599314763e-09	8.775356142065085e-22	1.0	1.2151218537057994e-21	1.255493659205875e-22	1.3054052097112147e-24	66285.25219694863	363.9999999999948	1.2343869932262471e-24	5.662781540356887e-12
