[AcanmRNA]	[ADAMTS5]	[AGEprod]	[Alk1]	[Alk1_Alk5]	[Alk5]	[Alk5_dimer]	[Bax]	[Bax_Bcl2]	[Bax_Bcl2_Beclin]	[Bax_Bcl2_Beclin_I]	[Bcl2]	[Bcl2_Beclin]	[Bcl2_Beclin_I]	[Beclin]	[Beclin_I]	[Caspase_A]	[Caspase_I]	[Col2mRNA]	[DamP]	[IkB]	[IkB_NFkB]	[IL1]	[Lys_A]	[Lys_I]	[MMP13]	[MMP2]	[NFkB]	[NFkB_P]	[p38]	[p38_P]	[proMMP13]	[proMMP2]	[RAGE]	[ROS]	[Runx2_A]	[Runx2_I]	[Smad1]	[Smad1_P]	[Smad1_P_Smad4]	[Smad2]	[Smad2_P]	[Smad2_P_Smad4]	[Smad4]	[Smad7]	[SOD]	[Sox9]	[Sox9_A]	[Sox9mRNA]	[Tgfb_A]	[Tgfb_Alk1_Alk5]	[Tgfb_Alk1_Alk5_Smad7]	[Tgfb_Alk5_dimer]	[Tgfb_Alk5_dimer_Smad7]	[AggFrag]	[Aggrecan]	[Aggrecan_Collagen2]	[ColFrag]	[Collagen2]	[Integrin]	[Tgfb_I]	[IntegrinCount]
0.0	0.0	0.0	500.0	0.0	500.0	0.0	0.0	90.0	10.0	0.0	30.0	25.0	0.0	75.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	40.0	360.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	2.0	0.0	100.0	600.0	0.0	0.0	600.0	0.0	0.0	600.0	0.0	2.0	100.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	200.0	0.0
1.5087291206907782e-16	4.911134032969391e-10	1.9999999999999998e-05	403.6806915494243	96.31930351995379	133.88937535025062	134.89473458803195	0.003992816318765116	91.19580107406448	8.80020609982549	9.791289271647082e-09	25.032277531009278	28.09348058637701	1.458090392233411e-08	73.10631257212827	7.172970038648345e-07	0.00026871358999452157	99.99973128641001	2.1920414047465335e-14	0.039260046897968554	4.815031019694579e-08	99.99601301635887	2.3617431016277376e-07	39.999065306708985	360.000934693291	1.105828797778804e-14	1.7283431534602505e-18	0.003977638716540932	9.344924621964413e-06	99.63936843824531	0.36063156175472283	3.142686290330624e-11	4.911996360113385e-12	2.0347516847183437e-07	1.9872473687357155	2.5647597061245964e-10	99.99999999974354	599.9999999922659	6.965378395608048e-09	7.688748731043044e-10	599.9999999657601	2.7859627687230014e-08	6.380024232628839e-09	599.9999999928513	2.156340447959652e-13	1.960397442768026	99.99990505364032	1.0894953219450317e-11	9.980219786821296	1.1382582765186248e-05	1.373860510380718e-07	3.3037728529774375e-20	3.006580399563306e-07	2.9211000929051954e-24	1.7281110426049854e-15	4.098701612138382e-22	1000.0	3.7512725080536674e-37	1.728117637911284e-15	7.960132980525268e-06	199.99998817937322	7.999999999999998e-06
1.726078948168607e-14	1.3969834103565642e-08	3.9999999999999996e-05	385.5723335970717	114.4276663295953	79.39086011464346	153.0894558324689	0.0047601123963314715	92.04971455268166	7.945525300560159	3.436187008340143e-08	21.003879909184764	30.566829386621322	5.0965964507851464e-08	71.48764384023684	1.3872538176943507e-06	0.0009078698302879116	99.99909213016973	1.2388851304008042e-12	0.07708277980800678	6.887751555215161e-07	99.99205064555721	3.3231303930074022e-06	39.99800790349085	360.0019920965091	6.258297192429976e-13	9.783264081614221e-17	0.00788380581757176	6.554862524976135e-05	99.34748422391971	0.6525157760803361	8.939065976815023e-10	1.3974714664707757e-10	8.58122458501085e-07	1.9755194565841847	1.68222041875926e-08	99.9999999831778	599.9999998660261	1.096677465778797e-07	2.4306174261605165e-08	599.9999994571714	3.7098171635032487e-07	1.718467361537459e-07	599.9999998038471	1.1983781751720813e-11	1.9215802525687844	99.99962058863511	6.119763243928668e-10	9.960479094520453	3.3912088708964785e-05	1.1041287251601649e-06	2.9065056456575714e-17	2.26104066585469e-06	2.4045688867692508e-21	9.780689570153298e-14	9.325000677464056e-20	1000.0	2.1118502207787767e-33	9.780765427412121e-14	1.5841061322240135e-05	199.99996272274197	1.5999999999999996e-05
2.4106659122169737e-13	9.496856009307173e-08	5.9999999999999995e-05	382.0249732076238	117.97503255304754	64.66385316037761	158.67903911092233	0.0056497640749370165	92.66451324675921	7.329836920691998	6.847388326887996e-08	17.72047368121834	32.55531788063162	1.0116743322116612e-07	70.11484299970138	2.0293336604369664e-06	0.0017399585952923506	99.99826004140473	1.139660475888257e-11	0.11352880461020232	3.1188928593281917e-06	99.98811099858953	1.483717444409874e-05	39.996846326960906	360.0031536730391	6.388359276178598e-12	9.987930944734855e-16	0.011694790617101736	0.00019421079339006033	99.11147173755205	0.8885282624480091	6.077090390428785e-09	9.501838040030846e-10	2.076321912643018e-06	1.9646732979694257	1.6927032582463596e-07	99.99999983072965	599.9999993672318	4.7562934969422746e-07	1.5713890715858558e-07	599.9999975239577	1.4653726660024375e-06	1.0106694151244791e-06	599.9999988321919	1.0835436632028206e-10	1.8835353034848825	99.99914716182177	5.5940174086490246e-09	9.940777844149094	5.9679347124866126e-05	3.2857791459542267e-06	1.194137723830122e-15	6.640016999413345e-06	9.731627410891025e-20	9.984038455060005e-13	1.9490231536607352e-18	999.9999999999991	3.196734084890789e-31	9.98414496047969e-13	2.3643573130024648e-05	199.99993039485676	2.3999999999999997e-05
1.4857691124124834e-12	3.60752201026531e-07	7.999999999999999e-05	382.80793922885607	117.19207138917349	55.62905072460239	163.58772428971525	0.006654401861746742	93.1120698120563	6.881275677293085	1.0878888684853351e-07	15.030953529759325	34.16113587369737	1.600100947467393e-07	68.95758552435981	2.6558507141140526e-06	0.0026537344359537085	99.99734626556409	5.1584499137646897e-11	0.14865474498716716	8.812820486961311e-06	99.98419249846208	4.142789391050268e-05	39.99559697402469	360.00440302597525	3.272802565132565e-11	5.117368881316831e-15	0.015402927750187197	0.0004045737877447765	98.92087207361512	1.0791279263849478	2.308691307109874e-08	3.6100742428065858e-09	4.001856677406924e-06	1.9545912501116693	8.148486813041177e-07	99.9999991851513	599.9999981987337	1.256323727108324e-06	5.449425413448e-07	599.9999930445694	3.6616693194863966e-06	3.293761195601362e-06	599.9999961612964	4.815498279048434e-10	1.8462504035076768	99.99848532240873	2.514944959820089e-08	9.921115956903352	8.626328947243769e-05	6.724258003008145e-06	1.4927361565973003e-14	1.3720746780040091e-05	1.2233070606731181e-18	5.114700605871987e-12	1.6276316142946035e-17	999.999999999995	1.1033841736453935e-29	5.1147666191871895e-12	3.1368448647546646e-05	199.99989329170575	3.199999999999999e-05
5.861261126796447e-12	9.942291815392828e-07	9.999999999999996e-05	384.868526181816	115.13148767546762	53.158588386742856	165.8530642144058	0.007622534515334805	93.44174003929831	6.550637273008275	1.531780904914598e-07	12.818175648329111	35.46248082654588	2.240679955159517e-07	67.98687824854682	3.2746529199275068e-06	0.003579395714902307	99.99642060428513	1.5981405620939522e-10	0.1825137529140968	1.921226307994661e-05	99.98029387402957	8.945035772668972e-05	39.99427412562587	360.0057258743741	1.1433465883894922e-10	1.7878494860641393e-14	0.019010406231115808	0.0006957197393339216	98.76717271687777	1.2328272831222882	6.363629892120704e-08	9.951207306480787e-09	6.782826918190052e-06	1.9451761117986703	2.6335293256111057e-06	99.99999736647067	599.9999960719695	2.568432302250394e-06	1.359598101542427e-06	599.9999848526469	7.249743428506549e-06	7.897609492735098e-06	599.9999907427926	1.4640144261976497e-09	1.8097137447763716	99.99763561042775	7.737100159009476e-08	9.901493354137939	0.00011297996805382222	1.1348129491741906e-05	9.865785723943875e-14	2.3544524897082244e-05	8.203222190080324e-18	1.7866742626041076e-11	8.181491776929072e-17	999.9999999999823	1.6856103135983132e-28	1.786700457498705e-11	3.901646036890908e-05	199.99985212737744	3.999999999999998e-05
1.7520548556805877e-11	2.236996343949843e-06	0.00012	387.4175615814385	112.58245385235847	51.651496552081	167.88095204256146	0.009057186176832266	93.68657009697213	6.304372516558087	2.0029291912793554e-07	10.991236174845334	36.51957619770443	2.9108550930138783e-07	67.17604690368734	3.890671720821266e-06	0.004474580612876393	99.99552541938715	3.923462897138014e-10	0.21515589785706538	3.553733683095657e-05	99.97641415835324	0.0001642559534690364	39.992890076322524	360.00710992367743	3.1318582459939467e-10	4.897443551643708e-14	0.02252501810046004	0.0010608235463271274	98.64345015084652	1.3565498491534862	1.4320619962148112e-07	2.2394382170500507e-08	1.0556171488310862e-05	1.9363474151054816	6.6553655815438056e-06	99.9999933446344	599.9999927150516	4.5076775556524086e-06	2.7772706326050084e-06	599.9999717953165	1.2485222481764668e-05	1.5719461221847877e-05	599.9999815032684	3.5260039150321275e-09	1.7739135886461181	99.9965985564023	1.8859177768600953e-07	9.881909957366908	0.00013954373639194346	1.7096457905225277e-05	4.4043581419057617e-13	3.619068155937653e-05	3.730037595798994e-17	4.893542236402017e-11	2.986706791140918e-16	999.9999999999512	1.5279728478180082e-27	4.8936210089963205e-11	4.6588373102384906e-05	199.99980716912367	4.799999999999996e-05
4.341420361641424e-11	4.3774559017633326e-06	0.00013999999999999996	389.83319294067064	110.16682241802421	50.58099219501901	169.6238467027781	0.010883972107484192	93.87072362992421	6.118392148682218	2.492860324471379e-07	9.478138980354764	37.37974445513154	3.595183009901697e-07	66.50185828037732	4.5070045874188265e-06	0.005313439642733432	99.99468656035732	8.240412000603554e-10	0.24662849992146432	5.8679570182450095e-05	99.97255268069584	0.0002698751755836418	39.99145534056187	360.0085446594381	7.253905495747826e-10	1.1343408665370032e-13	0.025957200974888125	0.0014901183293058774	98.54407360254507	1.4559263974549368	2.802921994108598e-07	4.3831109359644104e-08	1.5439271784321766e-05	1.9280383505615255	1.4259243445088287e-05	99.99998574075656	599.999987873999	7.156676146696606e-06	4.969324694771689e-06	599.9999527301458	1.9610752105693632e-05	2.76591020733599e-05	599.9999673715735	7.264055895657989e-09	1.7388380921880624	99.99537468150912	3.932331372252296e-07	9.862365688264275	0.00016590297083575776	2.389759440171325e-05	1.5112302659865786e-12	5.1659344059994235e-05	1.3060181009441757e-16	1.1332758356288556e-10	8.768714614279729e-16	999.9999999998868	9.690899889421281e-27	1.1332954736757862e-10	5.408494404108678e-05	199.9997585400892	5.5999999999999945e-05
9.418390662643508e-11	7.740673355139812e-06	0.00016	392.03730738383825	107.96270634239436	49.741446800951785	171.14550464000948	0.01236605123827379	94.01097577654403	5.976657872602517	2.996150968390715e-07	8.220415466000802	38.08012106362796	4.284148023348119e-07	65.9432152102888	5.12545079972458e-06	0.006083149321603213	99.99391685067847	1.5495719722442909e-09	0.27697684967772407	8.916025076415237e-05	99.96870904794172	0.00040897602048057657	39.98997893316733	360.0100210668326	1.4882917879860654e-09	2.3273144460406185e-13	0.029318225676101532	0.0019727263822111566	98.46442631844012	1.5355736815598835	4.95764207328289e-07	7.752274019395549e-08	2.1527274067044245e-05	1.9201927913143682	2.7180269835700883e-05	99.99997281973016	599.9999813074079	1.0592411572878632e-05	8.100180390283754e-06	599.9999265295326	2.8860643879753922e-05	4.4609823514419396e-05	599.9999472899963	1.3395950998213295e-08	1.704475107991158	99.9939645031065	7.340245677291994e-07	9.84286046785532	0.00019202286592523025	3.1701678630880014e-05	4.313507385132187e-12	6.995951099014589e-05	3.806530500018139e-16	2.324788224185365e-10	2.2069523432712232e-15	999.9999999997679	4.7644172540521306e-26	2.3248310924596374e-10	6.150693052648395e-05	199.99970631594013	6.399999999999994e-05
1.842492203463164e-10	1.2660443201489701e-05	0.00018000000000000004	394.0190689840552	105.9809416440536	49.03957674187757	172.48714897838343	0.015021954376115294	94.11728621782206	5.867691476856295	3.509454585536332e-07	7.174782186472804	38.64949915066173	4.971724118795153e-07	65.48280277736409	5.74700000513588e-06	0.006778035548137421	99.9932219644519	2.6785077194773913e-09	0.3062426392072314	0.00012712403303028887	99.96488312574164	0.0005829040168588912	39.988468247327724	360.0115317526723	2.7764126221342976e-09	4.3414835611142855e-13	0.03261859935782183	0.002498274900598295	98.40086668938403	1.5991333106159682	8.11082630280606e-07	1.26820804317722e-07	2.888981713624883e-05	1.9127652229133558	4.740685556093514e-05	99.99995259314446	599.9999727927512	1.4886241489068752e-05	1.2321007078572941e-05	599.9998921257736	4.0455142629505555e-05	6.741908369916758e-05	599.9999202599095	2.2712150298550685e-08	1.6708126910539451	99.99236851380593	1.2595069545158399e-06	9.823394219821997	0.00021789238050468933	4.046860287380234e-05	1.0636538535506615e-11	9.109250031842777e-05	9.577588096066028e-16	4.3361306006600937e-10	4.912216943516356e-15	999.9999999995666	1.87745341734589e-25	4.3362149800575596e-10	6.885505867079927e-05	199.9996505465057	7.199999999999996e-05
