	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
0	0.0	0.0	0.0	0.0	4721.0	1174.5	0.0	0.0	0.0	0.0	0.0	170000.0	66.0	0.0	116.0	0.0	0.0	0.0	12.3	0.0	0.0	0.0	0.0	0.0	0.0182	1.0	0.0	7.6	0.0	0.1	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	142.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0
1	3.2605513555114156e-15	9.14010863244598e-09	1.0602795708372706e-10	9.026483777928309e-10	4720.999992908685	335.50489469856655	838.9951052229984	2.951638458962536e-10	1.8194086952152677e-09	4.157375664681556e-09	6.959732545570169e-09	58155.72392523107	18.704779796580308	47.29522019145146	0.7924069585373573	115.20759303232255	3.6110716555577067e-09	0.000128432805542397	12.29987156358339	3.4006296260163667e-09	0.002640593257541267	0.0006422508410311649	0.0008021962050314238	0.002037269394315361	0.012077683290379506	0.9999999940232157	9.691907536908226e-06	0.16860823776622275	7.4284173825476625	0.0007502676908029985	0.09609210337815302	1.4822316762166056e-10	0.00019061498240465248	0.008682244369450936	1.74111009233077	1.1147100820153496e-09	8.566432108571e-08	1.694802642748069e-05	3.4695057407880935e-18	7.143236358762773e-16	35.176682911478125	107.66966338026583	7.0909837289102544e-06	5.301020068342589e-09	7.225438988016818e-09	8.372287039171103e-10	0.0002981770295196111	0.0015749003329069958	8.330092974290335e-12	3.3279291501316103e-07	363.99999966719906	4.141702861263948e-11	8.986881609183626e-10	5.6853414376023845e-08
2	3.670592081121091e-11	7.736783270125394e-06	6.174476128627135e-08	5.178090954527871e-07	4720.99994437777	335.5047903511144	838.9951908833939	1.450329061158218e-07	6.261937548479111e-07	1.3605928809830175e-06	1.2259537240970918e-06	58155.698752836746	18.704783759102227	47.295207298330155	0.7924078744598354	115.2075843887202	1.195876668067185e-07	0.00100343253083933	12.298996447881496	1.9692831042776433e-08	0.004242578257180713	0.0010097325179697497	0.0014052701113531083	0.0031949022331228165	0.008347377599875768	0.9999980132133642	3.4575727235484696e-05	0.16852394904048554	7.424690653384663	0.000750552052338005	0.0961476473951527	2.8625888405550844e-08	0.0008048055893766131	0.008678514121187308	1.740356422238325	3.027418135132445e-07	8.056389166688501e-07	0.00015813211270433592	1.3147840081026837e-13	2.6072658705241537e-11	35.1749133232526	107.66409386635817	5.544966090052074e-05	3.938710361765047e-07	5.320351063051087e-07	6.296273468156513e-08	0.0010730836611017884	0.005602730086403784	4.09310832262219e-09	2.6023546305830782e-06	363.9999973935526	2.754197622979784e-08	2.320107170318274e-07	1.4355870849828053e-05
3	4.256052386541717e-10	4.146421158762712e-05	3.324858319363166e-07	2.7897062291648777e-06	4720.999860094931	335.50471693540203	838.9951809868444	7.825444418417448e-07	3.403856847505614e-06	7.401480908894307e-06	6.682532131185587e-06	58155.71629709967	18.70476880262821	47.295183206685664	0.7924075030990377	115.2075510322638	4.4383161349480414e-07	0.002513800262853008	12.297485755905535	4.7267525938281855e-08	0.005411236143689907	0.001286491709403232	0.0018579816244625766	0.004067020603041138	0.005576778820263719	0.9999891946622437	6.437434743021035e-05	0.16841406088765157	7.4198394101252365	0.0007671351362722758	0.09829179832367216	1.561333636436034e-07	0.0015740919006639082	0.008673405943153542	1.7393298899510883	1.6469204542381212e-06	2.109482833136456e-06	0.0004133857716039832	2.4650431116003675e-12	4.860502534598337e-10	35.17272926525386	107.65739032431284	0.00013897454163222414	2.1165768440913348e-06	2.8578181990849528e-06	3.385876744853401e-07	0.0020038209251583743	0.01042854870878936	2.2084913460094408e-08	6.522331018141895e-06	363.9999934555844	1.479887860512693e-07	1.2621612908137915e-06	7.811688565064173e-05
4	4.35225925563546e-09	0.00018844695878450862	1.4671259918093225e-06	1.2296971253830277e-05	4720.999719687809	335.50438420297417	838.9952044409572	3.404539071138153e-06	1.411042971198738e-05	3.055895243739773e-05	2.5843950501599117e-05	58155.77724779765	18.704707358180165	47.29507631598181	0.7924055770101162	115.20740597167887	1.2528167068497866e-06	0.0049939386449558525	12.29500480853834	8.098356048402258e-08	0.006129979736152915	0.0014720001562122502	0.0021592491598183407	0.004651933166035318	0.003785503981513847	0.9999553306178507	9.786104190890806e-05	0.16826058111547623	7.413070807558265	0.000806463275916617	0.10334979098994604	6.073900813840399e-07	0.0024656858197854093	0.008666689743935382	1.7379832332247451	6.689374932879885e-06	4.365541978171261e-06	0.0008545454138985118	2.6586462268155923e-11	5.239793328592905e-09	35.17011797101829	107.64947176560554	0.00027624587156068863	7.241974462814328e-06	9.772546231772808e-06	1.159351308359625e-06	0.0030530051517919173	0.0158598051305777	9.608265971067704e-08	1.2964727253848563e-05	363.9999869391904	6.617861729272087e-07	5.11162055105806e-06	0.0003158706165087531
5	3.357566844071513e-08	0.0006804759892129235	5.078506694099575e-06	4.2511860783673195e-05	4720.999515034804	335.5037321379139	838.9950103186769	1.1560836907910457e-05	4.432118407353856e-05	9.559164347121936e-05	7.533691655858688e-05	58155.88387370417	18.704526057319185	47.29470152156436	0.7924008400827184	115.20691865035242	2.8749518207263042e-06	0.008510125293508444	12.291486999754675	1.1655292329151991e-07	0.006556686485176018	0.0016003798308576339	0.0023664432033670153	0.005056997252197836	0.0026165017236574823	0.9998600871724553	0.00013191740126215052	0.16805645037777345	7.404075052391345	0.0008682560892454868	0.1112848254640304	1.7787410367102894e-06	0.0033862590759500192	0.008658563189805553	1.7363546602354738	2.0593575439927348e-05	7.790910344309756e-06	0.001523986846623155	2.1820659479304054e-10	4.297610089241858e-08	35.16720665446601	107.64073327753167	0.00047106513334601956	1.844970582102397e-05	2.48857875912166e-05	2.9551619371436314e-06	0.004123782309815738	0.021398705640077814	3.262691216235548e-07	2.21079540143944e-05	363.99997756577716	2.3392317860521373e-06	1.5697502003963188e-05	0.0009685926408252636
6	1.812303415617154e-07	0.002009484869973009	1.4399708768739036e-05	0.00012040863709615252	4720.99923789735	335.50264405772947	838.9942110991377	3.218633439827164e-05	0.00011305376190649771	0.00024305736012429852	0.00018052743167261035	58156.02215226647	18.704075164118375	47.29366730767352	0.7923899401052426	115.20560039379446	5.656634672976845e-06	0.013054069195362655	12.286940274169968	1.5099308633205545e-07	0.006792807491394471	0.0016916384642590365	0.0025129725147534257	0.005345173482157385	0.0018516004196763754	0.9996438888779693	0.00016479258010948037	0.16779997677929492	7.392777349324107	0.0009514335914550516	0.12195804814470888	4.274998313190981e-06	0.004283214214315601	0.00864889972978199	1.7344185689755272	5.1752402644616096e-05	1.2695514985707825e-05	0.0024823424770719386	1.3046926535844623e-09	2.5669562483605754e-07	35.16408590467446	107.63141770008312	0.000723136609892368	3.8989074338505114e-05	5.257607347917739e-05	6.247308881899013e-06	0.0051620731417576955	0.026766940304568214	9.08360468818876e-07	3.3938132904168024e-05	363.99996515350693	6.779711383226929e-06	3.938773492035225e-05	0.0024276786536328505
7	7.573447439461624e-07	0.005070510846677974	3.5095827723188224e-05	0.00029321941599985934	4720.998876007466	335.50102661411523	838.9921461830186	7.723281189259968e-05	0.0002486250146452254	0.0005332949406148508	0.0003782851933851347	58156.16900400145	18.703083957055647	47.29126783449455	0.7923671704773908	115.2025615613312	9.929225349283446e-06	0.018576239400075807	12.281413831374577	1.82522099174716e-07	0.006904583170059364	0.001758387378746752	0.0026194680397547336	0.005556171203722228	0.0013512784602684668	0.99921808004474	0.00019552909758718318	0.16749257042349716	7.379237314625226	0.0010544515785261123	0.1351714127354301	8.972045958747292e-06	0.005127438306810517	0.008637211764233932	1.7320756685634966	0.00011268239770375714	1.960628017647361e-05	0.003832691964492482	6.056689255919198e-09	1.1905187137415999e-06	35.16081940890028	107.62167985003154	0.0010298960461924027	7.325981766417835e-05	9.877341036612377e-05	1.1741528948914239e-05	0.006138388195132914	0.031813173180480214	2.1796590426266684e-06	4.833491893274161e-05	363.99994948542235	1.686368219309469e-05	8.570640127795795e-05	0.005278359372770933
8	2.6534133546631605e-06	0.011351498920336375	7.638530583789022e-05	0.0006377747199758383	4720.99840906706	335.49871654270504	838.9878663451948	0.00016598908404608908	0.0004923448658391974	0.0010543901875960811	0.0007227582743362719	58156.28240101838	18.70110513770472	47.28633420506992	0.7923229203966404	115.19632292726968	1.600633220255056e-05	0.02500523410890658	12.274978759558891	2.1023372305970508e-07	0.006935521411728015	0.0018088159483648251	0.0026993744048675185	0.00571578033930155	0.0010242913298124838	0.9984532649465648	0.00022364082477727853	0.16713740563464724	7.363590019962499	0.0011755383918094129	0.1506976865160778	1.7148869187900825e-05	0.005903292484954449	0.008622536897279182	1.7291310959982753	0.00022174495836213123	2.940188371005948e-05	0.005746871455878622	2.3338556882054695e-08	4.583994944724784e-06	35.15746303813737	107.61160877974815	0.0013875723783912687	0.00012782761127008317	0.0001723279258939202	2.0491168330701494e-05	0.007037760394624828	0.03646050696868336	4.684532519233103e-06	6.512132943699091e-05	363.99993019413836	3.737148429519292e-05	0.00016869794636576225	0.010383663117918773
9	8.240815301210225e-06	0.023211319883011988	0.00015273314217680963	0.0012746121491579946	4720.997803620304	335.4955147936602	838.9799081617896	0.00032866903314360886	0.0009052766486211633	0.001936732777872356	0.0012953268833281993	58156.30089218877	18.697429661459662	47.277018155902056	0.7922419597403205	115.18453847956138	2.4177988866561826e-05	0.03225906079080864	12.267716761220324	2.3396103137615295e-07	0.006914129764837748	0.0018484660312191677	0.002761641661753913	0.005841461184832948	0.0008098894074582886	0.9971579905735066	0.0002489115761515999	0.16673864034493996	7.346011011784448	0.0013128342119886986	0.1682984914899283	3.0712280261469644e-05	0.006602413494403094	0.008603253836826629	1.725256727041125	0.00040615022215091933	4.348630598638222e-05	0.00849938861950637	7.856922681832101e-08	1.5422992930661895e-05	35.1540676940688	107.60124966631044	0.0017918043303653227	0.0002129361998517863	0.0002870493911608147	3.414023126745005e-05	0.007853414620085212	0.04067429666162161	9.27567522865778e-06	8.409268213516695e-05	363.99990663164294	7.59063393203211e-05	0.0003093364970283461	0.01903258176203559
