	T
0	120.0
1	120.54136104476416
2	121.0850204566514
3	121.63113179922712
4	122.17970526104985
5	122.73075286681099
6	123.2842857714338
7	123.84031518742106
8	124.39885237403789
9	124.95990864168705
10	125.52349534964523
11	126.08962391266914
12	126.65830579486183
13	127.22955251208145
14	127.8033756320859
15	128.37978677481433
16	128.95879761261193
17	129.54041987046804
18	130.12466532625322
19	130.71154581095158
20	131.30107320891912
21	131.893259458106
22	132.48811655030394
23	133.0856565313894
24	133.68589150156737
25	134.2888336156166
26	134.89449508313544
27	135.50288816878933
28	136.114025192559
29	136.7279185299901
30	137.34458061244365
31	137.96402392734794
32	138.58626101845124
33	139.21130448607593
34	139.83916698737357
35	140.4698612365813
36	141.10340000527916
37	141.7397961226489
38	142.37906247573366
39	143.0212120096989
40	143.66625772809465
41	144.31421269311875
42	144.96509002588138
43	145.61890290667077
44	146.27566457522008
45	146.93538833097554
46	147.59808753336577
47	148.26377560207226
48	148.93246601730115
49	149.6041723200562
50	150.27890811241298
51	150.95668705779437
52	151.63752288124715
53	152.32142936972002
54	153.00842037234273
55	153.69850980070657
56	154.39171162914604
57	155.08803989502186
58	155.78750869900523
59	156.4901322053633
60	157.19592464224607
61	157.90490030197455
62	158.61707354133003
63	159.332458781845
64	160.05107051009497
65	160.77292327799202
66	161.49803170307936
67	162.2264104688274
68	162.958074324931
69	163.6930380876083
70	164.43131663990056
71	165.1729249319737
72	165.917877981421
73	166.66619087356713
74	167.41787876177378
75	168.17295686774634
76	168.93144048184223
77	169.69334496338058
78	170.4586857409532
79	171.22747831273696
80	171.99973824680774
81	172.77548118145558
82	173.5547228255014
83	174.33747895861512
84	175.1237654316352
85	175.91359816688959
86	176.70699315851815
87	177.50396647279658
88	178.30453424846175
89	179.10871269703844
90	179.91651810316773
91	180.72796682493671
92	181.5430752942097
93	182.3618600169611
94	183.18433757360947
95	184.01052461935348
96	184.84043788450902
97	185.67409417484808
98	186.511510371939
99	187.35270343348841
100	188.19769039368452
