	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
0	1e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	-4.486711291745246e-06	-1.1228799341266023e-09	5.334092973826386e-12	1.9517392203100683e-15	2.7210389548054577e-10	5.296416768759914e-11	1.1675391562081376e-13	3.178203191855253e-13	7.190276086214865e-10	-1.511068860627725e-09	-6.128919690823032e-06	2.887134497873231e-08	1.0563482284158755e-11	9.36151550603361e-12	1.8902898863231322e-08	1.4724640655132485e-06	2.8643854012724305e-07	6.303381384414318e-10	8.053149950281394e-09	1.3094207728213582e-06	1.7188269089391634e-09	7.766910597177576e-09	2.4630575166303554e-06	1.6868833830904302e-08	6.70977952703961e-12	4.1407952240990733e-07	2.0559067162983155e-09	4.135569229431095e-08	3.916552804425054e-07	2.9935646980549827e-07
2	-4.215093210713848e-06	-2.3028476689498958e-09	1.0845767413019659e-11	3.968381015487057e-15	5.53049457289683e-10	1.0741770323658217e-10	2.3428726183420694e-13	6.4474951953806e-13	6.664693162851692e-10	-2.297121052130969e-09	-5.7172137371105635e-06	2.6705325736933574e-08	9.77109163773709e-12	7.87334393133878e-13	5.169068154003087e-10	1.3612456360528283e-06	2.638398685437217e-07	5.694761220315635e-10	1.953681650464846e-08	1.7521881675211803e-06	1.5840469483959704e-09	9.39667735066653e-09	1.3961477447845838e-06	2.5008021310042737e-08	9.851820455040138e-12	1.0613670413716377e-06	8.792735028357531e-09	3.749993256342827e-08	1.0576777169671165e-06	-8.07448548524745e-09
3	-3.101604951186199e-06	-3.1538988294448162e-09	1.480468783008609e-11	5.4170632212978615e-15	7.547394511548631e-10	1.462293514777546e-10	3.137428748874622e-13	8.782113472524404e-13	4.810040187264488e-10	-2.71793198641942e-09	-4.123546511751218e-06	1.918192266479647e-08	7.0192140981106765e-12	-2.8810322884462017e-12	-6.450131087700361e-09	9.772366039361413e-07	1.8805181709434816e-07	3.849820847146776e-10	2.5061562154174127e-08	1.448429102148399e-06	1.131178947602248e-09	6.336025409708533e-09	2.1679183248934692e-07	2.7636207089304986e-08	1.059418546815233e-11	1.520931703247127e-06	1.7322096685135883e-08	2.5467032579779328e-08	1.5404335686272613e-06	-1.1627619550252789e-07
4	-1.7851573991086013e-06	-3.617517056654089e-09	1.6948850263443285e-11	6.202004607103789e-15	8.639124993298344e-10	1.6682344036877813e-10	3.480928132568725e-13	1.0030181448450264e-12	2.6477486890233504e-10	-2.8332498226279577e-09	-2.246303316418637e-06	1.0388809488175389e-08	3.8031663866524575e-12	-3.9018065818721284e-12	-8.290533056566819e-09	5.289608766096334e-07	9.978168664419473e-08	1.6643144665321316e-10	2.3547702524745875e-08	7.901015055544506e-07	6.047090507262104e-10	1.7486307008478322e-09	-6.04293496905096e-07	2.663002251156921e-08	9.918975241141864e-12	1.6989948005057578e-06	2.528083269661557e-08	1.0974826011422896e-08	1.739940748677742e-06	-1.4476000672638332e-07
5	-4.6139447616029555e-07	-3.69172776436456e-09	1.7272006564392657e-11	6.321028082538479e-15	8.80364473980068e-10	1.6916581536306342e-10	3.354368751397945e-13	1.0193147006089747e-12	4.9271756467606816e-11	-2.6728361523171104e-09	-3.594919481261133e-07	1.5654177013478654e-09	5.76568332829053e-13	-3.955071462879462e-12	-8.391478608749252e-09	7.969584337583737e-08	1.1346060202094174e-08	-6.132511529042282e-11	1.6477189590177472e-08	3.66666011311144e-08	7.894049253455725e-11	-2.5442285755338462e-09	-1.0853492121839061e-06	2.2984138308717503e-08	8.29675018845539e-12	1.606388251142915e-06	3.08064860365594e-08	-4.577313039456283e-09	1.6647644852778179e-06	-1.4755208921493543e-07
6	9.144842360590415e-07	-3.3608553600956795e-09	1.570053843886847e-11	5.747447906493348e-15	8.005131228761494e-10	1.5252659481795946e-10	2.705848016039929e-13	9.23336498242616e-13	-1.7215223525380023e-10	-2.218763199957483e-09	1.6032503898332813e-06	-7.614573718492591e-09	-2.7792925335337794e-12	-3.939230916657435e-12	-8.51499597260386e-09	-3.869210655640978e-07	-8.062498893349131e-08	-3.1422565646288746e-10	5.809153967991079e-09	-7.004770245386644e-07	-4.650621406728444e-10	-6.021364852601969e-09	-1.3855197268070973e-06	1.678841144202799e-08	5.774540219613619e-12	1.2736314399428366e-06	3.2684831441072324e-08	-2.265130625808336e-08	1.3457617636241961e-06	-1.5329933901644055e-07
7	2.615049351014134e-06	-2.528463492285871e-09	1.1782259944020947e-11	4.316498407441459e-15	6.016785286106844e-10	1.1233397845131682e-10	1.3422786877771465e-13	6.891467486031479e-13	-4.4104866201648143e-10	-1.3607923721444887e-09	4.033206190442054e-06	-1.898530873471152e-08	-6.933407544541858e-12	-4.532146787699119e-12	-1.0099836438240658e-08	-9.634172184422765e-07	-1.947453737391125e-07	-6.606729707911865e-10	-7.304673875404605e-09	-1.446475946916149e-06	-1.1347225259431132e-09	-9.11611144568047e-09	-1.7252908266636685e-06	6.864628994884799e-09	1.885784128931743e-12	6.965955575144168e-07	3.006367369523708e-08	-4.8765560973642343e-08	7.822913069622925e-07	-1.876879380804036e-07
8	5.4254010793122205e-06	-8.656315868633929e-10	3.9801435873931246e-12	1.468019405329619e-15	2.066530519584828e-10	3.298038582081187e-11	-1.3764005531858672e-13	2.2783873958642107e-13	-8.740049322874851e-10	2.520785934958561e-10	8.05674594487605e-06	-3.780277100632467e-08	-1.3801436269359775e-11	-6.984856508786809e-12	-1.6028545760421835e-08	-1.9139757057086215e-06	-3.8448263840455135e-07	-1.3172216936951765e-09	-2.3760204978025687e-08	-2.4201131916284116e-06	-2.2351254291346814e-09	-1.3378195842237748e-08	-2.5059940728520443e-06	-1.0940277077618262e-08	-4.990476385752672e-12	-2.417950702752267e-07	2.1716246387983408e-08	-1.0064359697601412e-07	-1.3038049446558116e-07	-3.059914674912248e-07
9	1.2193294052213182e-05	2.801011321876877e-09	-1.3169407512215437e-11	-4.787306449731421e-15	-6.580097841399618e-10	-1.4130189423346905e-10	-7.964459218550098e-13	-7.74546902537042e-13	-1.875886216710229e-09	3.862840672574006e-09	1.776510231454432e-05	-8.309058162871206e-08	-3.030742347263436e-11	-1.608623504712131e-11	-3.756798059332952e-08	-4.189342913402602e-06	-8.44406280446411e-07	-3.191900881751459e-09	-5.031994226450748e-08	-4.450354600205986e-06	-4.856614540032215e-09	-2.390988588748985e-08	-5.050797099901932e-06	-5.186578958182318e-08	-2.0766233655126156e-11	-2.053513464515025e-06	3.8252817809407925e-09	-2.550137778601828e-07	-1.8465609606904948e-06	-7.276303370175531e-07
