	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
0	0.0	5e-06	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05
1	4.1234726331700534e-11	5e-06	9.717975662958199e-10	2.1971168640624896e-09	-9.714880744761692e-19	3.1771648726589715e-08	5.183081534169768e-13	1e-05	1e-05
2	4.1220800209030277e-11	5e-06	9.707821252084856e-10	5.921630613182202e-09	7.416642479485208e-20	9.302840542501029e-08	1.3960690434621654e-12	1e-05	1e-05
3	4.122459416020742e-11	5e-06	9.71240402813647e-10	9.836115818171495e-09	-4.127213834704104e-20	1.6297987688685805e-07	2.308488302151508e-12	1e-05	1e-05
4	4.1224228955732505e-11	5e-06	9.711793298343183e-10	1.3647716094021428e-08	5.8172797672850975e-21	2.3303497461972939e-07	3.1982540067050722e-12	1e-05	1e-05
5	4.1224515725939195e-11	5e-06	9.712035582347702e-10	1.7274203536338537e-08	-1.9048119371856014e-21	3.0047834178756347e-07	4.0443703081006054e-12	1e-05	1e-05
6	4.122453681629492e-11	5e-06	9.712008351784264e-10	2.067700462903622e-08	4.014150882967304e-22	3.641384297442786e-07	4.838376624723498e-12	1e-05	1e-05
7	4.122457858908052e-11	5e-06	9.71202700948586e-10	2.383324825028189e-08	-5.312834710786972e-23	4.2342364430170657e-07	5.5748298878229574e-12	1e-05	1e-05
8	4.122459350145511e-11	5e-06	9.712028687558454e-10	2.673068340863343e-08	6.54325217411722e-23	4.780261212421369e-07	6.250899285198027e-12	1e-05	1e-05
9	4.1224598230483337e-11	5e-06	9.712030262808148e-10	2.93659111464863e-08	3.9940764815077245e-23	5.278304135169024e-07	6.865785750247137e-12	1e-05	1e-05
10	4.1224592082978425e-11	5e-06	9.7120287136452e-10	3.174282266747643e-08	4.6193602124368887e-23	5.728686904802469e-07	7.420398689234053e-12	1e-05	1e-05
11	4.1224578091281384e-11	5e-06	9.712025442364552e-10	3.387098672889692e-08	4.4794944264819767e-23	6.132870088828068e-07	7.916970480561904e-12	1e-05	1e-05
12	4.122455829877958e-11	5e-06	9.712020774330975e-10	3.576408584495356e-08	4.513051393065699e-23	6.493152239611659e-07	8.358693786554256e-12	1e-05	1e-05
13	4.122453472878729e-11	5e-06	9.712015223084868e-10	3.743850901667643e-08	4.505593430207871e-23	6.812401359156708e-07	8.74939268815111e-12	1e-05	1e-05
14	4.122450904991165e-11	5e-06	9.712009173284559e-10	3.891216187958118e-08	4.507525133595286e-23	7.093825332997097e-07	9.093245170542687e-12	1e-05	1e-05
