time	ST	STU	STUS	STUST	STUSU	SU	SUST	SUSTU
0.0.	0.0	5.0	0.0	1.2924697071141052e-26	-5.048709793414476e-29	0.0	0.0	0.0
5.0.	6.717070018895755	0.353675676826438	1.212807709642487	2.227646001827264	0.544429026345686	0.009151101628944001	0.037218046579479004	0.025118590208625002
10.0.	6.292739599330917	0.29430863429769305	1.000425190021943	1.8269577820781322	0.759667871364041	0.02259034840978	0.10641199864603501	0.085318896812243
15.0.	5.737736761777614	0.25807355166636303	0.867507294993438	1.5726380531191282	0.8258699032758331	0.038051256491218	0.177915855046577	0.151097075070798
20.0.	5.318332629846594	0.233733544717933	0.778975090408474	1.404194270124767	0.8245202991035441	0.052991930086358004	0.24020803602166502	0.20980403383634003
25.0.	5.006912072738845	0.21644623280259	0.7167204278058621	1.286507809621509	0.795331221501899	0.06607088620635	0.28968298392849	0.257135893946947
30.0.	4.76947216808622	0.20350655586573002	0.670544329243831	1.199719494521041	0.7571172615354791	0.076782820961195	0.32636899979917905	0.292670812818971
35.0.	4.581652298393664	0.193328163590848	0.63451619824955	1.132344152372161	0.718285103853573	0.085118983444842	0.35175802432083003	0.317604757194404
40.0.	4.427125504533685	0.184951963694127	0.6050815337421	1.077537696047806	0.6821697160814421	0.091313827487616	0.36775793285356	0.333646149341893
45.0.	4.2950725929884594	0.17777990799974103	0.580040622389223	1.0310868058643	0.649726158686589	0.095688409768639	0.37622431631423203	0.34251265273886905
50.0.	4.178270545581363	0.171427367904252	0.557987987428623	0.9903121124260521	0.620866384001528	0.098568032530707	0.37877936483129504	0.345728868455057
55.0.	4.071819389245678	0.16563979361428602	0.5379988030428481	0.95345800210235	0.595106732676422	0.100245488702146	0.376766341191867	0.34456771522148505
60.0.	3.972332006716325	0.16024458419317603	0.519449169431997	0.9193446123176221	0.5718686278729861	0.100968761459044	0.37126346628021	0.34005595245845904
65.0.	3.877424850752572	0.15512249846151602	0.501910049087693	0.8871633751300231	0.5506077416643991	0.10094054744951	0.36312003561891004	0.33300476464391904
70.0.	3.785395694546945	0.15019012085314	0.48508258605332105	0.8563528494515631	0.5308606064235241	0.100322830002617	0.35299737454913305	0.324046939669969
75.0.	3.695016063120679	0.145388740979742	0.46875729062279503	0.826520667236828	0.512253319900113	0.09924310640560301	0.341407099310978	0.313672485409608
80.0.	3.605394360605367	0.14067706880437902	0.45278741967378505	0.7973928028848001	0.494494342959776	0.09780067186557301	0.32874394819428204	0.30225957373106005
85.0.	3.515883364691913	0.13602632193688702	0.437071092646084	0.768779593599006	0.47736190909330606	0.09607228094112001	0.315312683775332	0.29010007783352304
90.0.	3.42601628258649	0.13141683109413202	0.421538972405578	0.7405523921631391	0.46069081740244905	0.09411696139086001	0.301349527301082	0.27742001057872
95.0.	3.335461728391134	0.12683564911147302	0.406145608749494	0.71262719385932	0.444360559333463	0.091979970418751	0.28703892438913403	0.264395559477463
100.0.	3.243991594464175	0.12227484235479001	0.39086326252138603	0.6849529719933121	0.42828538914095504	0.08969597648586701	0.27252648951163905	0.251165494029619
105.0.	3.1514579326308	0.11773025694635302	0.375677449452317	0.657503268509392	0.412406347767303	0.08729158195690201	0.257928901529261	0.23784066689280303
110.0.	3.057776260882039	0.11320062113099201	0.360583697481193	0.630270075699579	0.396685011429513	0.08478730439694	0.24334140507058102	0.22451122720598501
115.0.	2.962913521798424	0.10868688841931301	0.345585170792023	0.603259350722206	0.381098668518002	0.082199123702639	0.228843450662145	0.211252052531914
120.0.	2.866879440224643	0.10419175430993301	0.330690917204418	0.5764877023128471	0.365636636092152	0.07953968683210001	0.214502896240564	0.19812680276789701
125.0.	2.769720372987929	0.099719298285251	0.315914564735479	0.549979921018674	0.350297463853774	0.076819245834347	0.20037909938115503	0.185190911254995
130.0.	2.671514978014793	0.09527471578370601	0.30127334070363604	0.5237671148220411	0.335086817243595	0.07404639005838301	0.186525153657417	0.17249375616810603
135.0.	2.5723711926107242	0.09086411399922101	0.286787320157303	0.49788527556236906	0.32001587278680105	0.07122862054285001	0.17298946232880802	0.160080197801197
140.0.	2.472424124502566	0.08649435189875301	0.272478834306352	0.47237414699363106	0.305100094533549	0.06837280375035601	0.159816795712157	0.147991622505546
145.0.	2.371834539499552	0.08217290959041301	0.258371986979749	0.44727629830318605	0.290358289700757	0.06548553283507601	0.14704894280017902	0.136266599646918
150.0.	2.270787686355307	0.077907775660673	0.24449223990849403	0.422636331235946	0.275811864917682	0.062573417230603	0.134725040902018	0.12494123209744101
155.0.	2.16949223972247	0.073707343709889	0.23086603721067	0.39850016720955805	0.261484222732561	0.059643315213993006	0.122881647605713	0.11404926186506201
160.0.	2.068179171371883	0.069580311326703	0.217520446817579	0.374914374813526	0.2474002522476	0.056702518973025	0.11155260585444701	0.10362197920379701
165.0.	1.9671003824608082	0.06553557636153	0.20448280245112802	0.351925509199691	0.23358587883641102	0.05375889736949	0.100768744324311	0.093687974926868
170.0.	1.8665269493448302	0.06158212674696201	0.191780334687072	0.32957944408530104	0.22006764665614	0.050820997924468	0.090557450729704	0.08427277084683
175.0.	1.766746855631372	0.057728921392329005	0.17943978402603503	0.30792068513519205	0.206872314754651	0.047898106515383	0.08094215441115801	0.075398361591386
180.0.	1.6680621069652721	0.05398476094362201	0.16748699304192802	0.286991660886113	0.19402645352033202	0.045000260932463	0.07194175583845601	0.06708270181763701
185.0.	1.570785155145324	0.050358148510473	0.15594647877842602	0.26683199445265404	0.18155603343761	0.042138212955764004	0.06357004366600501	0.05933917533723101
190.0.	1.475234596727805	0.046857141846669004	0.144840990702637	0.247477766148632	0.16948600288908602	0.039323333228702004	0.05583514372324801	0.052176086002517004
195.0.	1.381730159469119	0.043489199917659004	0.13419106366590802	0.22896078381026302	0.1578398562646	0.036567454210399	0.048739047622215	0.045596213339594
200.0.	1.290587047576176	0.040261028240049006	0.124014579300873	0.211307883750939	0.14663919795892802	0.033882649151374004	0.042277270143152	0.039596477623663
205.0.	1.202109781665011	0.037178428728694	0.11432635280652301	0.194540290445186	0.13590331190045202	0.031280949489303	0.036438682763487	0.034167758054251006
210.0.	1.116585737191671	0.034246160887005	0.10513776473082401	0.178673066599069	0.12564874986892702	0.028774009178099	0.031205564303036004	0.029294902663398
215.0.	1.034278649161483	0.031467821846533	0.096456458676133	0.16371468649675902	0.11588895474051202	0.026372731734949	0.026553897788647002	0.02495695868554
220.0.	0.955422402405186	0.028845752820864	0.088286125358286	0.14966676373988502	0.106633936580452	0.024086883249139	0.022453925216548	0.021127637114150003
225.0.	0.880215455955291	0.026380978840459	0.08062639079491801	0.13652395925027502	0.097890019813808	0.02192472086016	0.018870949949706003	0.017776005819127
230.0.	0.808816248166444	0.024073187113757003	0.0734728214691	0.12427408661745301	0.089659678238919	0.019892669682318002	0.015766352320705	0.014867383784672
235.0.	0.7413398902685221	0.021920747070092002	0.06681705233995501	0.112898420018884	0.081941471266446	0.017995080387608	0.013098760980602002	0.012364387659457
240.0.	0.677856379238016	0.019920772277914	0.060647035172352	0.10237219611285801	0.07473008957603901	0.016234093844557002	0.010825304517506	0.010228064376824001
245.0.	0.6183904520301351	0.018069221324363	0.054947395803310005	0.09266528711699801	0.068016511784454	0.014609628583405001	0.008902858384907	0.008419033419833001
250.0.	0.562923074784347	0.016361031799841	0.049699880829664006	0.08374300963756201	0.061788266395261006	0.013119492883124001	0.007289203423360001	0.006898561635640001
255.0.	0.5113944299038861	0.014790279169102001	0.044883867945761005	0.07556702451663201	0.056029786126572	0.011759608441908001	0.005944024365994001	0.005629502831841
260.0.	0.463708149700774	0.013350350858457	0.040476910663364	0.06809627833922001	0.050722835608637	0.010524319811103001	0.004829697564046	0.004577052136319
