	I	Ip	S	Sp
0	149400.0	16600.0	667200.0	166800.0
1	141108.17648484829	16173.456571593144	658245.5282008103	168983.37857117606
2	133413.27471488208	15751.00154770674	651563.8462682165	171184.67317443094
3	126283.44779216862	15328.345876575539	646899.6386941234	173406.68181652122
4	119684.03432527832	14903.8716065326	644022.4996775704	175650.32791185786
5	113579.17799382418	14477.67577018176	642725.1170938157	177915.0246299784
6	107932.95477660981	14050.902091720412	642821.2425977307	180198.99331624559
7	102710.21551353052	13625.2573194142	644143.7285368777	182499.55085648692
8	97877.17295702269	13202.684195945614	646542.6960355338	184813.35745294206
9	93401.79647624493	12785.138139581548	649883.8315866111	187136.6295180493
10	89254.04725571636	12374.447433965028	654046.821455134	189465.31722899497
11	85406.00427584615	11972.230805600751	658923.9317927527	191795.24971551268
12	81831.86734781052	11579.861251029768	664418.7407796244	194122.24652933035
13	78507.94690876677	11198.443378118372	670444.9625470486	196442.21730310167
14	75412.5888439281	10828.832248591081	676925.3862644404	198751.22057584114
15	72526.04320410478	10471.637246643271	683790.9798902031	201045.52213633253
16	69830.35490333846	10127.258171525158	690980.0285770327	203321.62655291703
17	67309.23171025612	9795.904472475719	698437.3825969307	205576.2993430899
18	64947.9032141084	9477.628006794675	706113.7970950602	207806.581955884
19	62732.99504668153	9172.345472404018	713965.3231540675	210009.79490637986
20	60652.3992213512	8879.86735337683	721952.772502801	212183.5368511403
21	58695.15644123751	8599.916493081935	730041.2369651564	214325.67868054833
22	56851.34430987567	8332.151036365613	738199.6561569638	216434.3537638831
23	55111.97658059711	8076.178682478446	746400.4312270855	218507.94604973315
24	53468.90844901081	7831.57336779476	754619.0785341421	220545.07647391263
25	51914.75318784706	7597.885376853526	762833.9180906791	222544.58826308444
26	50442.80449669626	7374.652910682268	771025.7941901258	224505.5317802391
27	49046.9683360231	7161.408673230244	779177.8241544425	226427.14924214844
28	47721.700271696835	6957.687507104611	787275.1722044263	228308.8595529156
29	46461.95052108362	6763.030345044164	795304.8459529947	230150.2435501071
30	45263.11367971414	6576.988944429229	803255.5130617823	231951.02976256877
31	44120.98472736792	6399.127975170844	811117.3358588658	233711.08081499446
32	43031.71888712634	6229.027739264022	818881.8222377836	235430.38053930862
33	41991.79649055244	6066.284984412724	826541.6912455816	237109.02185427776
34	40997.99096784846	5910.514203956287	834090.7510853629	238747.19538224247
