	A	E	G	R
0	1.0	0.0	100000000.0	0.0
1	2.8289352936413708	3759.529602951948	1370987.2283054246	879.2550450406317
2	2.487872981700399	5959.217147553346	2296726.3122820114	1553.7606626041959
3	2.466497966373601	7238.920639297531	2839432.735752518	2037.4146156648037
4	2.579142102593358	8174.974058515301	3224904.066092616	2442.6250518030006
5	2.751594965264913	8997.909397495765	3557200.848890924	2826.3032400299185
6	2.953936431423072	9799.96881542444	3877979.68782721	3216.815497692304
7	3.1737096481299654	10617.555209937467	4203734.814653483	3629.197171299249
8	3.405295167772639	11464.146934816064	4540660.483400149	4072.1467746794538
9	3.645672054170881	12343.473688775142	4890598.827642557	4551.075636493306
10	3.892725084393257	13254.799400369891	5253424.060467028	5069.408258296166
11	4.1445761883579975	14195.050945281226	5628002.0607499	5629.114281880271
12	4.399333829872075	15159.697077168232	6012584.42786592	6230.900106946308
13	4.655017859549148	16143.146440650731	6404983.616975633	6874.252703487773
14	4.909562051980077	17138.97640352267	6802669.624043914	7557.429262187052
15	5.1608537320321535	18140.118677254548	7202845.062752522	8277.44391491546
16	5.406792096496968	19139.050537744315	7602520.882056407	9030.082944217784
17	5.645355131563146	20128.006842851344	7998600.027751446	9809.968503369639
18	5.874667974861116	21099.212117513827	8387969.3633179655	10610.682065037516
19	6.093066708000731	22045.12367846076	8767596.565427557	11424.950480966956
20	6.299152362626782	22958.672370086086	9134626.789664209	12244.889302411179
21	6.491830954125687	23833.48571610355	9486473.074671982	13062.290398588515
22	6.670336761035608	24664.07872932505	9820894.522676954	13868.934805150579
23	6.834237751019681	25445.999982012978	10136057.147988928	14656.908013833357
24	6.983423801583443	26175.924412346296	10430573.768134972	15418.894152560659
25	7.118079927801329	26851.68914078001	10703521.19706625	16148.427784777581
26	7.238647897881732	27472.27359008565	10954435.010246709	16840.086928744207
27	7.3457802629954765	28037.729749393468	11183284.005152678	17489.61747926129
28	7.440290927359331	28549.071934377193	11390427.944967031	18093.98639791857
29	7.523106010476603	29008.137535609632	11576563.101344086	18651.36773471176
30	7.595218043269224	29417.430934698263	11742660.45861787	19161.070895582023
31	7.657645656539813	29779.962152455613	11889901.25596087	19623.424075914176
32	7.711400016037876	30099.090186412737	12019613.94415526	20039.62732151399
33	7.757458449966578	30378.378782338594	12133215.771783862	20411.58945993452
34	7.796745072912849	30621.469947273523	12232161.245505812	20741.76157972051
35	7.830117761094939	30831.97816631924	12317898.762086015	21032.977325437238
36	7.858360569709599	31013.40625330913	12391835.878093403	21288.30750397359
37	7.882180574606637	31169.082168622637	12455313.021905892	21510.933758253235
38	7.902208128353969	31302.115010264013	12509584.978474963	21704.04363420941
39	7.918999605458697	31415.36769649452	12555809.18126796	21870.747398241154
40	7.9330418392166475	31511.443543966176	12595039.703061404	22014.015511430225
41	7.944757596442521	31592.683914947112	12628225.812462639	22136.63470641277
42	7.95451157844665	31661.174278642728	12656214.02310674	22241.180081575945
43	7.962616565518208	31718.75632405102	12679752.674587272	22330.000430497643
44	7.969339432514005	31767.044116164176	12699498.223804753	22405.214075797317
45	7.97490685311459	31807.44265544562	12716022.572613861	22468.71268861449
46	7.979510580772652	31841.1675522722	12729820.899500255	22522.1708807119
47	7.98331224744993	31869.264844134505	12741319.591669023	22567.059701866445
48	7.986447659726063	31892.630254857428	12750883.984514453	22604.66252360985
