	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
0	3.4e-06	1.4e-06	1e-09	0.0	9e-08	2.1e-10	0.0	0.0	0.0	0.0	2.5e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-08	1e-08	7e-10	0.0	0.0	0.0	1e-10	0.0	1.6e-07	9.4e-11	0.0	0.0	0.0	0.0	0.0	0.0
1	3.3973761719530242e-06	1.3751624915696627e-06	8.273634535816925e-10	2.5714747536975827e-10	9e-08	2.0415341020353545e-10	4.143829239066854e-12	5.841344704641488e-13	1.1186260869335962e-12	0.0	2.499153836968965e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2051885939942187e-08	9.948627794287637e-09	5.656588833440338e-10	1.2762515528653736e-10	5.013200812031149e-12	5.013200812031149e-12	1.5137220571236488e-10	7.823463044106568e-09	1.5995806647248372e-07	7.393434720021178e-12	1.9242877269254276e-12	8.461630310334427e-13	6.828126251785704e-11	5.636975343337138e-11	2.2336015293312786e-08	2.3606124546392033e-09
2	3.38338280038305e-06	1.3007843756079025e-06	1.6726498065470203e-09	5.638250407792336e-10	9e-08	1.9599343415129644e-10	8.137556476320277e-12	2.003562508167809e-12	3.865446864215497e-12	0.0	2.4989415310450497e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.697157699251463e-09	9.933281353472013e-09	4.3845381400697806e-10	2.377608912144787e-10	1.7916285406160175e-11	1.7916285406160175e-11	1.6671864652798776e-10	1.7946817758267636e-08	1.5972008686002603e-07	1.0550921901467369e-11	2.413759772291843e-12	1.0584689549490103e-12	1.999525370241145e-10	1.5607200545677296e-10	8.17802542793928e-08	1.6042823259921162e-08
3	3.3406634934132814e-06	1.105638763175298e-06	1.0363878737679316e-08	1.887457636991523e-09	9e-08	1.8450702813994555e-10	1.1911117843135305e-11	4.643873381217469e-12	8.937980635701706e-12	0.0	2.49852184646286e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3116531181212465e-12	9.896265362834596e-09	1.445741672414368e-10	4.985006840667821e-10	4.334329467486219e-11	4.334329467486219e-11	2.0373463716540163e-10	1.905236080340714e-08	1.5911163706837476e-07	2.4252276650515965e-11	3.3669773271066524e-12	1.478153537138164e-12	5.677617973818882e-10	3.7656574609283023e-10	2.2529956384938398e-07	5.743377085455461e-08
4	3.2367313942579626e-06	7.087916306357771e-07	6.483463444180056e-08	1.0372053847290484e-08	9e-08	1.694207868510693e-10	1.534064403380358e-11	8.655367625242354e-12	1.6583201489884973e-11	0.0	2.49744767969275e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.8488480863170896e-18	9.752448626206628e-09	9.276819163686717e-14	5.893886086967268e-10	8.528005399650916e-11	8.528005399650916e-11	3.475513737933634e-10	1.783944853455884e-08	1.578476974181385e-07	6.087423223428343e-11	5.7413595400481244e-12	2.5523203072466248e-12	1.5154617814753864e-09	6.450896868145817e-10	4.634811214971481e-07	1.5287546989117028e-07
5	3.052171985838041e-06	2.3337137662741776e-07	2.640555007314626e-07	5.009012126491989e-08	9e-08	1.563915076188414e-10	1.8355332941832885e-11	1.2174503429949609e-11	2.3078656009376227e-11	0.0	2.494889969598956e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.605986088819075e-21	9.221258851046413e-09	3.606306911806969e-18	5.385310267816933e-10	1.26215810172674e-10	1.26215810172674e-10	8.787411489535742e-10	1.595994976162094e-08	1.558755001667493e-07	1.3912831439979845e-10	1.1132594064048097e-11	5.110030401040203e-12	3.543202696513668e-09	4.968475418627311e-10	5.552777488643075e-07	2.977084049700301e-07
6	2.840579604589157e-06	2.4608821010779528e-08	5.355259363840869e-07	1.5205924456418208e-07	9e-08	1.4574027397652794e-10	2.096929201253471e-11	1.5102264247879146e-11	2.8188169763058364e-11	0.0	2.489497362741184e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.8939688724013166e-17	7.984009625963188e-09	-1.1113120325432809e-13	4.930499963576607e-10	1.637707008346564e-10	1.637707008346564e-10	2.1159903740367974e-09	1.3575717237432649e-08	1.5333630580944836e-07	2.729462317912989e-10	2.1774340231515398e-11	1.0502637258812984e-11	6.321990132642201e-09	1.0229267886478657e-10	2.8138529814767236e-07	4.073184072144149e-07
7	2.6662819662388817e-06	7.171265879367592e-10	6.036679914358928e-07	2.8988514164304615e-07	9e-08	1.3699433814057867e-10	2.325326357029639e-11	1.7573550513008386e-11	3.217884777611653e-11	0.0	2.479706005223153e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5069403607878826e-31	6.408731934306959e-09	-8.497087431287043e-28	4.5193620389664497e-10	1.983113978142309e-10	1.983113978142309e-10	3.691268065693028e-09	1.0829311264037554e-08	1.503525121789753e-07	4.78427027814618e-10	3.989921469476485e-11	2.0293994776843248e-11	9.166729791314304e-09	3.958944648089475e-12	6.295604174867297e-08	4.437697396398037e-07
8	2.5338127266424834e-06	5.650173299843621e-12	5.273026905518698e-07	4.1622011075253846e-07	9e-08	1.297776734866167e-10	2.5288887542702748e-11	1.9681254322521964e-11	3.52521846481585e-11	0.0	2.462726459640995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.78599468760192e-33	4.954099814442249e-09	-3.0051060752820777e-29	4.1495260467080954e-10	2.3011395635851063e-10	2.3011395635851063e-10	5.145900185557739e-09	7.912607833603316e-09	1.470236704727548e-07	8.406311865911734e-10	6.978044925031137e-11	3.72735403590005e-11	1.2087360842664436e-08	3.132373219249238e-14	7.599423930377814e-09	4.498720932681824e-07
9	2.431851064424737e-06	6.455379584886325e-15	4.324600863518234e-07	5.175370273668029e-07	9e-08	1.2379864434346208e-10	2.7137229931431958e-11	2.149504055978733e-11	3.756908516531852e-11	0.0	2.432383806447052e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.120340636532259e-37	3.624221133449693e-09	-3.244243874517048e-33	3.8150037913898466e-10	2.5943549513591025e-10	2.5943549513591025e-10	6.4757788665502944e-09	5.1215597489016205e-09	1.4343166752970991e-07	1.5574066876054795e-09	1.213002528681139e-10	6.761619355294305e-11	1.4878437005472857e-08	3.245625464113702e-15	5.394058547112561e-10	4.504634707256578e-07
