	A	I1	I2	S
0	1800.0	5400.0	4500.0	15300.0
1	4676.989536539932	15978.703821730047	4646.792786918792	188.57808023992186
2	5105.957501265237	12674.763576472757	4503.882944020977	233.34968171837775
3	4728.120412235926	10546.114949839997	4178.313266009663	277.436621851621
4	4217.8659088959585	9177.024496158601	3802.4682677245137	317.6644392996609
5	3769.9713939910675	8299.002143079146	3442.385003076048	351.8622013949523
6	3422.0715617500186	7738.100440014445	3126.832007704419	379.1895460710121
7	3165.06308494652	7381.386829504425	2864.458734526306	399.94412787291884
8	2979.638569024556	7155.5809131546885	2653.7423086276476	415.09209499106123
9	2847.454203545448	7013.265045715211	2488.6219856289526	425.8429213365013
10	2753.8160506945155	6923.942331944581	2361.5729128023895	433.31361274507844
11	2687.703930219661	6868.088754364046	2265.1783508812678	438.438189839931
12	2641.1057920720873	6833.2903885587575	2192.8440071785976	441.92483348547717
13	2608.2861659804116	6811.6841618905355	2139.0427145547433	444.2864563215561
14	2585.176070684523	6798.31732808066	2099.313197330003	445.88290976791154
15	2568.901349863772	6790.079132060973	2070.1485699440777	446.9619424764951
16	2557.437089416865	6785.024024256324	2048.8448766170613	447.69106668549017
17	2549.35858416191	6781.9373226429925	2033.3477296083915	448.1845514548485
18	2543.663790777889	6780.058807869583	2022.1140220067152	448.52348989828323
19	2539.647556059398	6778.929483095139	2013.9950665625806	448.7503953936682
20	2536.8142264641706	6778.25307797875	2008.142378297164	448.906135702084
21	2534.814852161128	6777.852625498479	2003.9330164775038	449.01276627714606
22	2533.403169300433	6777.618527507491	2000.9107970889106	449.08588261575807
23	2532.4062321027764	6777.484040086529	1998.7446722355528	449.13615826375985
24	2531.7017886544763	6777.408473161367	1997.1939887336316	449.17080353382306
25	2531.2040590610645	6777.367433199601	1996.0855703442253	449.1947441408726
26	2530.8522531275735	6777.346237496365	1995.2940574557463	449.2113087279002
27	2530.6035979431495	6777.3362155142395	1994.729499696454	449.2227910759854
28	2530.4277608828784	6777.332229052687	1994.3270532058611	449.230783381896
29	2530.3033993481167	6777.331390827409	1994.0403866677595	449.23633718415545
30	2530.215437842013	6777.33203946248	1993.836338188773	449.24021352704835
