	A	I1	I2	S
0	200.0	5000.0	1000.0	3800.0
1	657.1885460788833	6117.716758867139	1012.2420238575799	4216.184933289834
2	1008.0745685333404	7261.7934239550605	1040.839555904461	4434.565540131665
3	1301.7356010869921	8378.096621780916	1085.6628611445935	4510.375158602819
4	1560.1824575857136	9419.979181293256	1146.1136616788199	4497.978887017368
5	1791.8855783777253	10356.73797211678	1221.23685375144	4440.7692948454405
6	1999.4777350081897	11174.418666638094	1309.8766380885754	4368.155475832215
7	2183.76285810092	11872.178270372438	1410.8155621197081	4297.231794488247
8	2345.4945574777967	12457.465814758209	1522.8702397390466	4236.2162668881965
9	2485.9223488066323	12941.773203987892	1644.9435853344805	4187.928186113592
10	2606.7884552915184	13337.854182165931	1776.0433529047332	4152.258163364882
11	2710.1277705379503	13658.044379413364	1915.2810903110199	4127.818983267991
12	2798.0582457776386	13913.497217760518	2061.8606921681408	4112.83864177406
13	2872.6257856695333	14113.93410990185	2215.0634074357704	4105.596524069514
14	2935.7106537369405	14267.66277110428	2374.2329488568425	4104.6036900344825
15	2988.9858917783504	14381.716193367402	2538.7626930172314	4108.647127915323
16	3033.907653177249	14462.035929294623	2708.085198870424	4116.767036685467
17	3071.72855366589	14513.646523401228	2881.6641614110845	4128.2171364687865
18	3103.516124527391	14540.826220674397	3058.9881715333536	4142.40663948041
19	3130.1805952370046	14547.209727672265	3239.5675316261045	4158.886417074671
20	3152.4906913867676	14535.953378023003	3422.929509057224	4177.264959886416
21	3171.1088765815034	14509.701423059347	3608.6215623057196	4197.291017806408
22	3186.5870154659033	14470.811382059124	3796.2042120327783	4218.700008404444
23	3199.408482181319	14421.249821047622	3985.2576595151477	4241.339610457104
24	3209.973417049732	14362.858237950724	4175.371539661055	4264.963509801979
25	3218.6381702703857	14297.122661741223	4366.1589974638355	4289.461929658873
26	3225.7011002932113	14225.3844573822	4557.24758507395	4314.699483973596
27	3231.420954346414	14148.815097993009	4748.282532607711	4340.557360412331
28	3236.0197157565512	14068.43732500342	4938.927522616642	4366.927551915776
