time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	4.526586937354719	6118.247402896104	2216609.6821547626	1561.5538626601087
3.0.2.0	4.012834354563707	9624.51275387837	3710149.4085178366	2870.325570075571
4.0.800000000000001.0	4.024199310720665	11715.929525699474	4593192.447263647	3887.2048278439315
6.0.4.0	4.258117218209637	13309.135479164868	5245669.354874527	4796.184820965614
8.0.	4.594648770537025	14765.525088280816	5831073.431665577	5702.091999296313
9.0.600000000000001.0	4.986313117584651	16227.459410473786	6413828.145690903	6663.196862388058
11.0.200000000000001.0	5.413629643950085	17750.339306963713	7019085.145125737	7715.209554635497
12.0.8.0	5.867541631965214	19354.087107841566	7656061.921059634	8882.694622159974
14.0.4.0	6.342460538295928	21043.00693244092	8327061.3323145555	10183.807092309478
16.0.	6.833507397564493	22813.292808776292	9030893.669226421	11631.89348197801
17.0.6.0	7.335439145069108	24655.770355216162	9764133.129098415	13235.609131265346
19.0.200000000000003.0	7.842289525629424	26556.88306861753	10521568.557452349	14998.320738050106
20.0.8.0	8.34735608291514	28499.14658135407	11296398.577528944	16917.214002195724
22.0.400000000000002.0	8.843392609177874	30461.589798372508	12080402.892189959	18982.408364978575
24.0.	9.322943639823166	32420.409615902205	12864190.975431398	21176.346273857933
25.0.6.0	9.778773514371114	34349.92276296971	13637567.340149693	23473.699277588705
27.0.200000000000003.0	10.20433574649754	36223.804571653	14390013.549150938	25841.978378505926
28.0.8.0	10.59421850692606	38016.52889651155	15111256.185230512	28242.93548734104
30.0.400000000000002.0	10.94450030154393	39704.864492112	15791865.466481205	30634.703078947132
32.0.	11.25296190140701	41269.25076237354	16423814.704047875	32974.46782182379
33.0.6.0	11.519125617642278	42694.87946370987	17000930.357703242	35221.35133245663
35.0.2.0	11.744124966427421	43972.35018843048	17519177.152696826	37339.114962881365
36.0.800000000000004.0	11.930437593336366	45097.836758748126	17976749.319116544	39298.33452258083
38.0.400000000000006.0	12.081533936463163	46072.78096607444	18373970.60808958	41077.79636821514
40.0.	12.201499564258778	46903.199297951694	18713034.252947576	42665.0157665196
41.0.6.0	12.294681587274246	47598.7323660697	18997633.102380216	44055.92920676799
43.0.2.0	12.365393855799354	48171.5799752113	19232536.976207938	45253.92807204097
44.0.800000000000004.0	12.417697735646186	48635.45076496691	19423169.90509708	46268.46261660097
46.0.400000000000006.0	12.455259815260693	49004.623681573146	19575227.924247716	47113.4524234854
48.0.	12.481277378406455	49293.18026872093	19694362.927245244	47805.705928593896
49.0.6.0	12.498457179209408	49514.430974574476	19785943.52193486	48363.496078262
51.0.2.0	12.509031937360291	49680.53078922386	19854892.2284167	48805.37904583118
52.0.800000000000004.0	12.514800509634453	49802.261397627415	19905590.622467615	49149.290138135366
54.0.400000000000006.0	12.517180493319056	49888.94792970345	19941839.969808806	49411.91150586059
56.0.	12.51726507797074	49948.47624734315	19966863.737627108	49608.28112984184
57.0.6.0	12.515878709497217	49987.37913057512	19983339.153376587	49751.599914083956
