	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_7	species_8	species_9
0	6.69999967736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	6.309981427613369e-05	7.493754262451081e-08	5.361106278746161e-07	1.4879431178586835e-07	8.359547786738032e-08	7.082590444947104e-08	2.0572678812436194e-06	6.682116191135789e-07	1.2786817020634003e-07	1.3582503022802857e-07
2	5.947358018441972e-05	1.446114801878946e-07	1.034564901999492e-06	2.8713732686312483e-07	1.6131921821869542e-07	1.3667700486797567e-07	4.592857774543706e-06	7.145782585858245e-07	1.9884046966989584e-07	2.621097247111519e-07
3	5.605571701514009e-05	2.1028180897354142e-07	1.5043769610152903e-06	4.1753086572485905e-07	2.3457679144939974e-07	1.987441646498638e-07	7.073078392127234e-06	6.926880029860429e-07	2.4099615384024437e-07	3.8113783905817314e-07
4	5.2834253832791255e-05	2.7217853680547876e-07	1.947192303755264e-06	5.404316267719383e-07	3.0362477941805723e-07	2.572447716570358e-07	9.442538547848207e-06	6.572201522078902e-07	2.6380496605864605e-07	4.933262647037069e-07
5	4.979790715574752e-05	3.3051846286831603e-07	2.36456193313348e-06	6.56270081625661e-07	3.687050292790307e-07	3.1238372983744747e-07	1.1690775887338971e-05	6.2043449994953e-07	2.7372438738189023e-07	5.990679522940071e-07
6	4.6936041508922065e-05	3.855059356427123e-07	2.757947778490487e-06	7.654519800675017e-07	4.300454989862894e-07	3.643541755745277e-07	1.3818501067911352e-05	5.850033329590238e-07	2.75152316847566e-07	6.987332854524283e-07
7	4.423863223652462e-05	4.3733356741567404e-07	3.128727807270998e-06	8.68359768754809e-07	4.878610543549045e-07	4.1333815299405837e-07	1.5829548520394975e-05	5.514361851802895e-07	2.710787614298549e-07	7.926713758363417e-07
8	4.169623044581265e-05	4.861829078462514e-07	3.4782008437798287e-06	9.653539286378148e-07	5.423542204473937e-07	4.5950725057298157e-07	1.772877731154061e-05	5.197588441896613e-07	2.635316141189494e-07	8.812112839815582e-07
9	3.929992996006414e-05	5.322250789263409e-07	3.8075911117545846e-06	1.0567742357236298e-06	5.937158898949431e-07	5.030232012614688e-07	1.9521410948840493e-05	4.898928123405238e-07	2.538815649422065e-07	9.646631701750045e-07
10	3.704133616592032e-05	5.756213735433391e-07	4.118052516542378e-06	1.1429409495688875e-06	6.421259906152064e-07	5.440384482039178e-07	2.121276609173014e-05	4.617408440233356e-07	2.4305064357998045e-07	1.0433193793553984e-06
11	3.4912536646777425e-05	6.16523819725907e-07	4.410672681770104e-06	1.224155933633538e-06	6.877541152484017e-07	5.826966780259434e-07	2.280811234844996e-05	4.3520601632496937e-07	2.316548362606335e-07	1.1174554638142242e-06
12	3.2906073500070376e-05	6.550757125356787e-07	4.686476754550594e-06	1.3007037113931509e-06	7.307601145013154e-07	6.191333235425e-07	2.431259095863388e-05	4.101957810922462e-07	2.2010160360018575e-07	1.1873311472546664e-06
13	3.101491724210746e-05	6.914121154559963e-07	4.946430992467448e-06	1.372852461885194e-06	7.712946564641591e-07	6.53476037636652e-07	2.573116654764695e-05	3.866226347843614e-07	2.086565474623343e-07	1.2531912335636039e-06
14	2.9232442209602944e-05	7.256603330233045e-07	5.191446144827015e-06	1.4408549581553813e-06	8.094997538475993e-07	6.8584513995885e-07	2.7068599640407182e-05	3.6440403738823526e-07	1.9748897429698816e-07	1.3152664634606435e-06
15	2.755240337223294e-05	7.579403563473505e-07	5.422380639954176e-06	1.5049494518726357e-06	8.455092609762889e-07	7.16354038002536e-07	2.8329432734541257e-05	3.434621747875132e-07	1.8670302339605305e-07	1.3737743220078483e-06
16	2.5968914475425024e-05	7.88365283072464e-07	5.6400435896370855e-06	1.5653605071948316e-06	8.794493422705213e-07	7.451096240231833e-07	2.951798529630661e-05	3.2372369827848877e-07	1.7635892204568073e-07	1.4289197997936708e-06
17	2.4476427437201157e-05	8.170417132436388e-07	5.84519762119246e-06	1.6222997867916495e-06	9.114389138488376e-07	7.722126491841824e-07	3.063835458460698e-05	3.0511947075832123e-07	1.6648748845571352e-07	1.4808961104441057e-06
18	2.3069712927241197e-05	8.440701224575985e-07	6.03856154702539e-06	1.6759667927650016e-06	9.415900597912324e-07	7.977580762340276e-07	3.1694420214671814e-05	2.8758432558826163e-07	1.5710001744546744e-07	1.529885366962651e-06
19	2.1743842060435745e-05	8.69545213600225e-07	6.220812880993865e-06	1.7265495650510191e-06	9.70008424514689e-07	8.218354119447808e-07	3.268985104973719e-05	2.7105683885196994e-07	1.4819500937997016e-07	1.576059219257846e-06
20	2.0494169141065727e-05	8.935562483973977e-07	6.392590210356426e-06	1.774225339739997e-06	9.967935826298608e-07	8.445290204715333e-07	3.3628113468827776e-05	2.5547911457024404e-07	1.3976274141708783e-07	1.6195794550824127e-06
21	1.9316315397395097e-05	9.161873599361777e-07	6.554495431579778e-06	1.8191611696114796e-06	1.0220393875695e-06	8.659184187263233e-07	3.451248037197568e-05	2.407965822055355e-07	1.3178836444839697e-07	1.6605985664809666e-06
22	1.820615364990481e-05	9.375178472471431e-07	6.707095857810099e-06	1.861514509050371e-06	1.0458343002054664e-06	8.860785547974646e-07	3.534604049767366e-05	2.2695780577032963e-07	1.242539931560078e-07	1.6992602837233844e-06
23	1.715979385964218e-05	9.576224529763157e-07	6.850926205365597e-06	1.9014337653861133e-06	1.0682616986015776e-06	9.050800703863001e-07	3.613170777270045e-05	2.139143038795448e-07	1.1714010886668967e-07	1.735700078587892e-06
24	1.617356950622104e-05	9.76571625116296e-07	6.9864904661870646e-06	1.939058818580186e-06	1.0894001699839414e-06	9.229895481777942e-07	3.6872230513251006e-05	2.0162038012173894e-07	1.1042649381522276e-07	1.7700456387513112e-06
25	1.5244024747895255e-05	9.944317637107543e-07	7.114263672786329e-06	1.9745215110770365e-06	1.1093237859485387e-06	9.398697450089573e-07	3.7570200363297474e-05	1.9003296315885448e-07	1.0409284628885024e-07	1.8024173149433675e-06
26	1.4367902318850698e-05	1.0112654533941135e-06	7.234693561858249e-06	2.007946109529682e-06	1.1281023618674575e-06	9.55779811649649e-07	3.822806090137745e-05	1.7911145599772009e-07	9.811917882845575e-08	1.832928542427142e-06
27	1.3542132121428315e-05	1.027131682578925e-06	7.348202142368995e-06	2.039449740013272e-06	1.1458017014001613e-06	9.707754999636838e-07	3.8848115877448694e-05	1.6881759390823246e-07	9.24860693097232e-08	1.8616862382783396e-06
28	1.2763820473411936e-05	1.0420860500569265e-06	7.455187173600548e-06	2.0691427982475355e-06	1.1624838269642715e-06	9.849093581741982e-07	3.943253706177695e-05	1.5911531049308614e-07	8.71748125985743e-08	1.8887911758517292e-06
29	1.2030239972797516e-05	1.0561809597359005e-06	7.556023558317535e-06	2.0971293362619398e-06	1.1782071969714166e-06	9.982309149157774e-07	3.998337170126017e-05	1.4997061144216918e-07	8.216750534017641e-08	1.914338337743608e-06
30	1.133881994461309e-05	1.0694658041930946e-06	7.651064655926644e-06	2.123507426855265e-06	1.1930269105875622e-06	1.010786852716753e-06	4.050254958734146e-05	1.4135145553139384e-07	7.744708609040151e-08	1.9384172484841753e-06
31	1.0687137436388683e-05	1.0819871376869607e-06	7.740643520219804e-06	2.1483695071238503e-06	1.2069949007337215e-06	1.0226211715182137e-06	4.099188974523e-05	1.3322764245087546e-07	7.299734592129406e-08	1.9611122881230026e-06
32	1.0072908730789034e-05	1.093788839232202e-06	7.825074066029279e-06	2.1718027022597693e-06	1.2201601160019356e-06	1.0337753428015277e-06	4.1453106757563765e-05	1.2557070707108237e-07	6.880291979380981e-08	1.9825029878041566e-06
33	9.493981345726801e-06	1.104912266308443e-06	7.904652168874762e-06	2.19388913075133e-06	1.2325686921227272e-06	1.0442884548633959e-06	4.188781673761204e-05	1.1835381977795056e-07	6.484926568439259e-08	2.002664308364667e-06
34	8.948326493975015e-06	1.1153963997401436e-06	7.979656701448692e-06	2.2147061920534026e-06	1.2442641135837686e-06	1.054197349746563e-06	4.229754296810889e-05	1.1155169252904987e-07	6.112263619289205e-08	2.0216669029307944e-06
35	8.434031975901852e-06	1.1252779802545675e-06	8.050350510565521e-06	2.2343268377338687e-06	1.2552873659651198e-06	1.0635367523051868e-06	4.268372122215784e-05	1.0514049030278522e-07	5.761004581680763e-08	2.03957736443068e-06
36	7.949295480463125e-06	1.1345916371955424e-06	8.116981337992755e-06	2.252819827044793e-06	1.2656770795239811e-06	1.072339391856392e-06	4.304770478257535e-05	9.909774763138001e-08	5.4299236024368084e-08	2.0564584588893016e-06
37	7.492418271013647e-06	1.1433700098433683e-06	8.179782688385635e-06	2.2702499678125252e-06	1.275469664531338e-06	1.0806361168436537e-06	4.3390769175697096e-05	9.340228992608311e-08	5.117863954157761e-08	2.072369345321997e-06
38	7.061799233843043e-06	1.1516438617653903e-06	8.238974647362496e-06	2.286678343489642e-06	1.284699438834067e-06	1.0884560029132367e-06	4.371411663515932e-05	8.803415931972868e-08	4.823734478008212e-08	2.0873657829959925e-06
39	6.655929268608784e-06	1.1594421885974064e-06	8.294764652583673e-06	2.3021625271633082e-06	1.2933987480889074e-06	1.0958264547819035e-06	4.401888031055621e-05	8.297454476751249e-08	4.5465061001023156e-08	2.101500326785265e-06
40	6.273386001034029e-06	1.1667923196331275e-06	8.347348220532594e-06	2.3167567832690368e-06	1.301598079089094e-06	1.10277330225241e-06	4.430612823521012e-05	7.82057161616874e-08	4.2852084585358754e-08	2.1148225113024315e-06
41	5.912828799364272e-06	1.173720013577258e-06	8.396909631542838e-06	2.330512257715872e-06	1.3093261665803048e-06	1.1093208907128526e-06	4.4576867066604904e-05	7.371096222987258e-08	4.0389266629514334e-08	2.1273790244521473e-06
42	5.5729940771384935e-06	1.1802495487973732e-06	8.44362257546903e-06	2.3434771570884973e-06	1.3166100939398187e-06	1.1154921664366456e-06	4.4832045612344495e-05	6.947453199986224e-08	3.806798198348185e-08	2.1392138710135163e-06
43	5.252690865831701e-06	1.186403808390524e-06	8.487650760261791e-06	2.355696917553593e-06	1.3234753880713223e-06	1.121308756981732e-06	4.507255815382172e-05	6.548157962626164e-08	3.588009978074799e-08	2.1503685268241463e-06
44	4.950796641869237e-06	1.1922043603623812e-06	8.529148485577306e-06	2.3672143640617512e-06	1.329946108847578e-06	1.1267910469704961e-06	4.529924757912492e-05	6.171811238600479e-08	3.381795546485068e-08	2.1608820841056345e-06
45	4.666253393402933e-06	1.1976715331996297e-06	8.56826118342974e-06	2.3780698604023365e-06	1.3360449334141026e-06	1.131958249515687e-06	4.551290833607678e-05	5.817094166086849e-08	3.187432428852613e-08	2.1707913884392714e-06
46	4.3980639130777205e-06	1.2028244871002156e-06	8.605125927779504e-06	2.388301450636671e-06	1.341793235649025e-06	1.1368284735424362e-06	4.571428921569413e-05	5.482763673552332e-08	3.004239624324528e-08	2.1801311678715607e-06
47	4.145288303807808e-06	1.2076812811108566e-06	8.639871914841678e-06	2.397944992404782e-06	1.3472111610573523e-06	1.1414187872420999e-06	4.5904095975780186e-05	5.16764812494921e-08	2.8315752365989285e-08	2.1889341546016174e-06
48	3.907040685326803e-06	1.2122589364069116e-06	8.672620915796495e-06	2.407034282572494e-06	1.352317697361903e-06	1.1457452778801178e-06	4.6082993813812423e-05	4.8706432150655455e-08	2.668834236401535e-08	2.197231199676549e-06
49	3.6824860899785155e-06	1.216573495936209e-06	8.703487703487202e-06	2.4156011756588836e-06	1.3571307410381028e-06	1.149823108167331e-06	4.625160969776934e-05	4.590708100668041e-08	2.515446349550414e-08	2.2050513810964796e-06
50	3.4708375368774483e-06	1.2206400806357022e-06	8.732580454599613e-06	2.4236756954588176e-06	1.3616671600256546e-06	1.1536665693921695e-06	4.64105345630476e-05	4.326861753898725e-08	2.3708740643261275e-08	2.2124221057077886e-06
51	3.2713532741921044e-06	1.2244729424178403e-06	8.760001128731866e-06	2.431286140251506e-06	1.3659428528367056e-06	1.1572891314997899e-06	4.6560325383155825e-05	4.0781795251634435e-08	2.2346107519319773e-08	2.219369205241427e-06
52	3.0833341798926632e-06	1.2280855141122263e-06	8.785845825682014e-06	2.4384591819635445e-06	1.3699728042675335e-06	1.1607034902935589e-06	4.6701507121431916e-05	3.843789903482401e-08	2.106178893985179e-08	2.2259170268326625e-06
53	2.9061213118592136e-06	1.2314904565374836e-06	8.81020512220483e-06	2.4452199596337606e-06	1.373771137908877e-06	1.1639216119242024e-06	4.683457457061619e-05	3.6228714629631725e-08	1.9851284111903116e-08	2.232088518339297e-06
54	2.7390935987694943e-06	1.2346997028682043e-06	8.833164389417367e-06	2.4515921675072377e-06	1.3773511656388362e-06	1.1669547748224491e-06	4.6959994086721064e-05	3.414649984707233e-08	1.8710350875880913e-08	2.2379053087571983e-06
55	2.5816656636779667e-06	1.2377245004523878e-06	8.854804091965069e-06	2.457598138067085e-06	1.3807254342717016e-06	1.169813609222048e-06	4.707820522326877e-05	3.218395744074574e-08	1.7634990850301114e-08	2.2433877840148135e-06
56	2.4332857726625086e-06	1.2405754502258443e-06	8.875200069996339e-06	2.4632589202948008e-06	1.3839057695261172e-06	1.1725081344116026e-06	4.718962227162046e-05	3.0334209538090825e-08	1.662143542793179e-08	2.248555158412165e-06
57	2.2934339013529264e-06	1.243262543861639e-06	8.894423804933338e-06	2.468594353433377e-06	1.386903317466596e-06	1.1750477938457154e-06	4.7294635712791495e-05	2.8590773540725854e-08	1.56661325750876e-08	2.253425541954579e-06
58	2.1616199125681893e-06	1.2457951987847046e-06	8.912542669970027e-06	2.4736231365115317e-06	1.3897285835635605e-06	1.1774414882384358e-06	4.739361358583815e-05	2.6947539409492522e-08	1.4765734388393525e-08	2.2580160038170166e-06
59	2.0373818386783664e-06	1.2481822911742925e-06	8.929620166174955e-06	2.4783628938726415e-06	1.3923914695087412e-06	1.179697606754947e-06	4.7486902777609e-05	2.5398748254665e-08	1.3917085365817483e-08	2.262342632161336e-06
60	1.9202842626739006e-06	1.2504321870698723e-06	8.945716145025978e-06	2.48283023693792e-06	1.3949013079149093e-06	1.181824056410763e-06	4.757483023837905e-05	2.393897215635109e-08	1.3117211351154588e-08	2.266420590516046e-06
61	1.8099167922705704e-06	1.2525527716894592e-06	8.960887018156478e-06	2.487040822420235e-06	1.397266895021506e-06	1.1838282897814307e-06	4.7657704127625084e-05	2.256309514441766e-08	1.2363309113423347e-08	2.270264170916056e-06
62	1.7058925245524874e-06	1.2545514789297412e-06	8.975185968402208e-06	2.491009410898902e-06	1.399496523603078e-06	1.1857173328840581e-06	4.773581494689661e-05	2.1266310416756723e-08	1.1652739514667803e-08	2.273886847371949e-06
63	1.6078469930406571e-06	1.256435311596952e-06	8.98866309453496e-06	2.4947499069896513e-06	1.4015980055375304e-06	1.187497804298169e-06	4.780943640543885e-05	2.0044044549135094e-08	1.098300799480778e-08	2.277301312538635e-06
64	1.5154365752875983e-06	1.258210872003117e-06	9.001365630151161e-06	2.4982754200958567e-06	1.403578705937322e-06	1.1891759440832089e-06	4.7878826514944625e-05	1.889202448110928e-08	1.0351767827005478e-08	2.2805195331713485e-06
65	1.4283373980059496e-06	1.2598843830027545e-06	9.013338094170514e-06	2.5015983061785354e-06	1.4054455666166479e-06	1.1907576336610133e-06	4.794422846599287e-05	1.780621515687722e-08	9.75680703902565e-09	2.2835527882548738e-06
66	1.3462442020420727e-06	1.2614617098011088e-06	9.024622446854271e-06	2.5047302110582898e-06	1.4072051304192953e-06	1.192248416427478e-06	4.800587147394921e-05	1.6782811710118924e-08	9.196040705557883e-09	2.286411708531182e-06
67	1.2688692725791937e-06	1.2629483805090718e-06	9.035258236857187e-06	2.507682111228702e-06	1.4088635641483853e-06	1.1936535171796819e-06	4.806397158080109e-05	1.5818227561478294e-08	8.667503671922533e-09	2.289106313755428e-06
68	1.1959414308216796e-06	1.2643496055168163e-06	9.045282739828409e-06	2.510464352324186e-06	1.4104266801783446e-06	1.1949778604265376e-06	4.811873241194581e-05	1.4909082173679316e-08	8.169343688015633e-09	2.2916460478108507e-06
69	1.1272050836274328e-06	1.2656702957540213e-06	9.054731089046952e-06	2.5130866853770847e-06	1.4118999568248333e-06	1.1962260876471223e-06	4.817034588972349e-05	1.4052189278098954e-08	7.699814931412923e-09	2.2940398118056097e-06
70	1.0624193277583426e-06	1.2669150799006748e-06	9.063636398549489e-06	2.5155583009910544e-06	1.4132885575440033e-06	1.1974025735571667e-06	4.8218992905999266e-05	1.3244545725379826e-08	7.257271898977367e-09	2.2962959952675327e-06
