	VENUS
0	1.0
1	0.9301528736057744
2	0.862477661378663
3	0.7970941154199874
4	0.7341219056758214
5	0.673682580254002
6	0.6158985005876942
7	0.5608882533485123
8	0.5087655571118621
9	0.45963131396677476
10	0.413578291793598
11	0.3706751567298317
12	0.33096537148619837
13	0.2944656092767331
14	0.2611561515681158
15	0.23099379592097916
16	0.20388333227274597
17	0.1797041185919768
18	0.15830297515429792
19	0.1395010127859914
20	0.1231026445409074
21	0.1088933320040048
22	0.09665876567313483
23	0.08618526093201019
24	0.0772659904686831
25	0.06970324181313504
26	0.06331747452837849
27	0.05794516466975734
28	0.053438973918221964
29	0.049669572205840534
30	0.04652318042251838
31	0.043902035294776404
32	0.04172214301590266
33	0.03991193206245432
34	0.03841023837527834
35	0.03716577737891023
36	0.03613520934364966
37	0.03528225384907198
38	0.034576790088778016
39	0.033993637739268966
40	0.03351183888518095
41	0.03311395644863969
42	0.03278543798772397
43	0.03251420272240707
44	0.03229026829632558
45	0.032105414928490714
46	0.03195285510022307
47	0.0318269687468377
48	0.03172309722815596
49	0.03163738974891254
50	0.031566670987926225
51	0.03150832450168859
52	0.03146019042356891
53	0.03142048340528941
54	0.031387727879467225
55	0.031360706324760394
56	0.03133841468616625
57	0.031320025714972326
58	0.0313048571215126
59	0.03129234532402094
60	0.03128202485069757
61	0.03127351178255928
62	0.03126648968552494
63	0.031260697584640645
64	0.031255920074220615
65	0.03125197938578617
66	0.031248728915662917
67	0.031246047792467743
68	0.031243836319438105
69	0.03124201223282788
70	0.03124050766291581
71	0.031239266636652198
72	0.031238242996247636
73	0.03123739866853914
74	0.031236702243183378
75	0.03123612780943088
76	0.031235653997447443
77	0.031235263182798498
78	0.031234940827910684
79	0.03123467494043594
80	0.0312344556283632
81	0.03123427473298942
82	0.031234125525158196
83	0.031234002454327787
84	0.031233900941981196
85	0.031233817211580656
86	0.031233748148247226
87	0.031233691182806066
88	0.031233644188117318
89	0.031233605421468382
90	0.031233573448147298
91	0.031233547079579836
92	0.03123352533178592
93	0.031233507409946064
94	0.03123349262742946
95	0.031233480426435176
96	0.03123347036850753
97	0.03123346201466462
98	0.031233455123137906
99	0.031233449448099037
100	0.031233444775365434
