	A	I1	I2	S
0	500.0	10000.0	2000.0	2500.0
1	1651.9878216932518	9791.81650469956	1738.4694847761286	2330.5898996643364
2	2003.948014238758	9502.501734587804	1524.967771875177	2306.729067230012
3	2072.9840209886597	9249.944514651335	1349.940377673587	2310.7554119826123
4	2050.600055201083	9051.317180426544	1206.4552023733982	2313.747148436106
5	2005.1093368950667	8899.279164546839	1088.968637091219	2311.134947269805
6	1959.2280373341457	8782.806844120307	992.8963598766445	2304.397874098237
7	1919.373420806499	8692.582123676579	914.4204123201815	2295.699943122126
8	1886.40580320843	8621.738970097991	850.3699023655852	2286.6159776254394
9	1859.5996016125525	8565.427201497383	798.1200380179013	2278.0391783159853
10	1837.8907737522331	8520.230444329438	755.5111650480424	2270.3811570275266
11	1820.3001147181378	8483.69147799958	720.7687194698882	2263.7671983627984
12	1806.0214932119702	8454.012125999077	692.4462615619586	2258.168273061048
13	1794.408154878881	8429.820037163876	669.3566108215452	2253.490498043625
14	1784.947367315575	8410.058538573863	650.5331051535234	2249.614070445384
15	1777.2311460485776	8393.893952232615	635.1875273984513	2246.419178321404
16	1770.9315292703668	8380.65824998783	622.6753115829841	2243.7954857851014
17	1765.7856055247055	8369.815641317458	612.4728409651397	2241.645834903446
18	1761.5804255317435	8360.930770498539	604.1532906596567	2239.88766928883
19	1758.1431109947246	8353.649223270113	597.3685052636321	2238.4511826192993
20	1755.3331785400444	8347.681849048955	591.8352067116318	2237.278443324408
21	1753.0354843030127	8342.790806902794	587.3213784505399	2236.321438544299
22	1751.156372573669	8338.781927294023	583.6385216542282	2235.540707256574
23	1749.6198716516583	8335.497078819351	580.6340549031364	2234.9040703696433
24	1748.3638094817904	8332.806433976071	578.1834098765474	2234.3851178315904
25	1747.3370772128035	8330.602946060604	576.1844587181008	2233.962146316412
26	1746.4977665217314	8328.798561416408	574.5537017892757	2233.6173959504204
27	1745.8116420842098	8327.321118515109	573.2231319349376	2233.3363903447093
28	1745.2507672733923	8326.11155653042	572.1374189037093	2233.107340728938
29	1744.792317136286	8325.12149020276	571.2514861950398	2232.920639175642
30	1744.417617258404	8324.31123255432	570.5285558711768	2232.768450428755
31	1744.1113847068289	8323.648225876917	569.9386094829028	2232.6443863407135
32	1743.861118730058	8323.10577869094	569.4571565264417	2232.5432414480956
33	1743.6565996392583	8322.662023705909	569.0642247288522	2232.46077523513
34	1743.4894736027857	8322.299050855458	568.7435262409515	2232.39353311801
35	1743.3529110721772	8322.002191123418	568.4817742295068	2232.338700371126
36	1743.241328095135	8321.759430272492	568.2681274194439	2232.293983405391
37	1743.1501593865237	8321.560930126618	568.0937393980652	2232.25751320779
38	1743.0756730226697	8321.398636552982	567.951391734296	2232.2277666694195
39	1743.0148186887602	8321.26595746863	567.8351944024166	2232.203502465206
40	1742.965103344861	8321.157498289118	567.7403410522465	2232.1837088245366
41	1742.9244894775031	8321.068844920095	567.662909322033	2232.1675610029893
42	1742.8913119277802	8320.99638599863	567.5996980568829	2232.154386648527
43	1742.864209920339	8320.937167327651	567.5480946050961	2232.1436375908947
44	1742.8420714949373	8320.8887726315	567.5059665725865	2232.1348668626224
45	1742.8239880630517	8320.849225855101	567.4715734912677	2232.1277099820363
46	1742.8092172459408	8320.816911134734	567.4434947352704	2232.1218697060667
47	1742.7971524929744	8320.790507272975	567.4205707041452	2232.1171036068813
48	1742.7872982489162	8320.76893410633	567.4018548339689	2232.113213947622
49	1742.7792496582667	8320.751308612924	567.386574440019	2232.1100394312502
50	1742.7726759774189	8320.736908993771	567.3740987618461	2232.1074484756996
51	1742.7673070172277	8320.72514528253	567.3639128838585	2232.1053337324893
52	1742.7629220630938	8320.715535301282	567.355596450484	2232.1036076181936
53	1742.7593408206872	8320.707684993344	567.3488062942332	2232.102198671091
54	1742.7564160175637	8320.701272338467	567.3432622569787	2232.1010485803276
55	1742.754027358089	8320.696034199265	567.3387356170268	2232.1001097632916
56	1742.7520765842598	8320.691755565695	567.3350396426973	2232.0993433899
57	1742.7504834402448	8320.688260761282	567.3320218814218	2232.098717771197
58	1742.7491823754472	8320.685406254031	567.3295578653532	2232.098207044966
59	1742.7481198510593	8320.683074779714	567.3275459731618	2232.0977901035185
60	1742.7472521397224	8320.681170538355	567.3259032355505	2232.0974497189827
61	1742.746543528275	8320.6796152714	567.3245619111011	2232.097171826149
62	1742.7459648491124	8320.678345043778	567.3234666908627	2232.0969449498816
63	1742.745492280539	8320.677307627706	567.3225724162113	2232.0967597245963
64	1742.745106367391	8320.676460363647	567.3218422157564	2232.0966085028076
65	1742.7447912211985	8320.675768407807	567.3212459843201	2232.0964850399228
66	1742.7445338665163	8320.675203299008	567.3207591411268	2232.096384238356
67	1742.744323706734	8320.674741789284	567.3203616159228	2232.0963019375486
68	1742.7441520878608	8320.674364889766	567.3200370211918	2232.0962347414365
69	1742.7440119424737	8320.674057091244	567.3197719763197	2232.096179877497
70	1742.7438974989902	8320.673805726878	567.3195555558127	2232.0961350820817
71	1742.7438040441536	8320.67360045131	567.3193788387857	2232.0960985070788
72	1742.7437277289723	8320.67343281521	567.3192345411264	2232.096068643709
73	1742.7436654102273	8320.673295917884	567.3191167151609	2232.096044260212
74	1742.7436145210677	8320.67318412355	567.3190205044335	2232.096024350937
75	1742.7435729653464	8320.67309282957	567.3189419434879	2232.0960080948066
76	1742.743539031322	8320.673018277077	567.3188777943878	2232.095994821432
77	1742.7435113211689	8320.672957396324	567.318825413236	2232.095983983467
78	1742.743488693409	8320.672907680357	567.3187826411844	2232.0959751340197
79	1742.7434702159019	8320.672867081857	567.3187477154426	2232.095967908215
80	1742.7434551274573	8320.67283392889	567.3187191966141	2232.095962008135
81	1742.7434428064878	8320.672806856082	567.3186959093663	2232.095957190531
82	1742.7434327454064	8320.672784748425	567.318676893984	2232.0959532567904
83	1742.7434245297204	8320.672766695367	567.318661366813	2232.0959500447448
84	1742.7434178209578	8320.672751953325	567.31864868796	2232.0959474219826
85	1742.7434123427247	8320.672739915073	567.3186383349195	2232.0959452803886
86	1742.7434078693202	8320.672730084741	567.3186298810376	2232.095943531684
87	1742.7434042164402	8320.672722057398	567.3186229779291	2232.0959421037874
88	1742.7434012335846	8320.67271550237	567.3186173411178	2232.095940937843
89	1742.7433987978575	8320.672710149622	567.3186127383135	2232.095939985793
90	1742.7433968089035	8320.67270577865	567.3186089798378	2232.0959392083964
