	A	E	G	R
0	1.0	0.0	100000000.0	0.0
1	2.828935293670904	3759.529602981951	1370987.2283386274	879.2550450486524
2	2.487872981718434	5959.217147598856	2296726.3123111157	1553.7606626241377
3	2.4664979664022484	7238.920639314779	2839432.735768762	2037.4146156923832
4	2.579142102653003	8174.974058455868	3224904.0660623237	2442.625051829404
5	2.7515949653465763	8997.909397380989	3557200.8488354646	2826.303240046897
6	2.953936431483208	9799.968815387263	3877979.687805393	3216.815497721339
7	3.17370964817253	10617.555209962524	4203734.81465948	3629.1971713397133
8	3.405295167813484	11464.146934854012	4540660.483412632	4072.1467747214956
9	3.6456720542150087	12343.473688811826	4890598.827651372	4551.075636534537
10	3.8927250844576298	13254.799400363212	5253424.060458728	5069.408258322643
11	4.144576188411026	14195.050945337765	5628002.060769006	5629.114281924814
12	4.399333829929333	15159.697077247647	6012584.427893646	6230.900107003894
13	4.655017859611906	16143.14644078245	6404983.617025721	6874.252703585712
14	4.909562052062187	17138.976403746237	6802669.624130882	7557.429262395611
15	5.160853732104434	18140.118677511127	7202845.062854366	8277.443915146347
16	5.406792096563797	19139.050538019306	7602520.882166674	9030.082944487775
17	5.6453551316225274	20128.006843126976	7998600.027862205	9809.968503675913
18	5.874667974912846	21099.212117768544	8387969.363420015	10610.682065337633
19	6.0930667080243675	22045.123678644213	8767596.565503925	11424.950481285445
20	6.299152362643829	22958.672370226803	9134626.789722027	12244.889302668324
21	6.49183095414212	23833.485716219006	9486473.074717024	13062.290398789672
22	6.670336761043288	24664.078729394296	9820894.522695018	13868.934805295115
23	6.834237751008518	25445.999982091274	10136057.148022551	14656.908014138025
24	6.9834238015410115	26175.924412350254	10430573.768147793	15418.894152929342
25	7.118079927772029	26851.689140769027	10703521.19706446	16148.427785037915
26	7.238647897763409	27472.27358978477	10954435.010129143	16840.086928919027
27	7.345780262897289	28037.72974901208	11183284.005003966	17489.617479123077
28	7.440290927275922	28549.071933992673	11390427.944814082	18093.986397644974
29	7.52310601040175	29008.137535249924	11576563.101198662	18651.367734409567
30	7.595218043232512	29417.430934419084	11742660.458502969	19161.070895187546
31	7.6576456565406605	29779.962152298936	11889901.255893905	19623.4240755238
32	7.711400016071916	30099.090186404675	12019613.944154622	20039.627321220745
33	7.757458449993852	30378.378782374682	12133215.771796819	20411.589459777973
34	7.796745072961697	30621.46994744389	12232161.245573353	20741.76157973944
35	7.83011776117112	30831.97816666296	12317898.762225594	21032.977325683485
36	7.858360569802362	31013.406253800356	12391835.878293002	21288.307504466076
