time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0.0.	0.424204224794	1.62849759451	0.000211704687286	28.461052736	28.461052736	0.983803981325	0.0161960186755	5.0	14.9991737489	0.000826251102268	0.00122834645669	5.5275590551200005e-05	0.0	0.0	-2.524354896707238e-29	0.0	0.0	0.0	0.826703614971	0.173296385029	0.153433031575	0.9150712019089999	0.00026669174188800003	0.0133264213401	0.848408327994	0.299987669186	1.23308144553e-05	0.0	0.0457534151559	0.00365791495212	0.06365333131999999	0.182873595049
900.0.	0.278272464655591	1.630516836752356	0.000213736067646	30.40518085829328	28.734158899358526	0.981176318178351	0.018823681822149	3.801159402589782	14.999076183279488	0.000923816722786	0.0010859391370050002	4.886783856260393e-05	1.3991741910207542e-09	3.4779393074910844e-05	3.263182760740925e-08	1.9220736184292757e-07	0.01802833295914	0.009435896714562	0.8014043159797261	0.19859568402027303	0.18033121303144	0.7885510925608301	0.000466819090383	0.023332857443135003	0.556545035888458	0.299955300986377	4.4699014077423126e-05	2.275610036043489e-05	0.039427242760952004	0.0065144476067630006	0.155104943296311	0.325655275782394
1800.0.	0.016194927772957002	1.7719252283414861	0.000298217998547	80.64587415852026	40.09198923754207	0.975084708687279	0.024915291313222003	2.889762558225627	14.998812464691813	0.0011875353104320002	0.0006645047446560001	2.990396663433666e-05	2.627232974557124e-09	0.00013770571850400001	6.330496487796691e-08	3.792519593903764e-07	0.034938976622211	0.018398643574516	0.7441384608648821	0.255861539135117	0.38090644046952604	0.390530927951796	0.004286340060296	0.21431291033212602	0.032389787256341	0.299910578399535	8.942160092031941e-05	6.982821993190312e-05	0.019526266821195	0.010574275602836001	0.138887657885595	0.528640194113949
2700.0.	0.017760702374380002	3.301856334468896	0.0008409471577320001	237.32045179920104	113.05577309609545	0.9699912980125801	0.030008701987921	2.196889621982736	14.998574313743422	0.0014256862588320001	0.000135207846181	6.0857656157355386e-06	2.226172345555859e-09	0.000266976227661	9.166851472660685e-08	5.547975012939479e-07	0.050575822920590006	0.026807795458210004	0.6984782245738591	0.30152177542614	0.694512264215819	0.199908052751153	0.007543347797665001	0.377162225805917	0.035521211348331	0.29989857094212	0.000101429058335	0.000290798449327	0.009995177554787	0.007871937854908001	0.09589316315599501	0.39355035761282403
3600.0.	0.07300845749383901	7.194558017097687	0.001568420575286	292.14159813775467	210.85517418051123	0.9736176691737111	0.026382330826791003	1.6701455272220551	14.998684942176261	0.001315057825991	7.000005566901639e-06	3.158663111545231e-07	4.795135411146673e-10	0.00029828942166100004	1.1747657127829951e-07	7.172211423063727e-07	0.06480333758536701	0.034585626109015	0.728807947653886	0.27119205234611204	0.7385125087711181	0.41910022732907104	0.0033996739382050004	0.169977954731709	0.14601650213272502	0.29996153619285604	3.846380759943461e-05	0.0012098515185480002	0.020954743654657	0.005421818840369	0.10264226044192001	0.271055822796459
4500.0.	0.20735241978586802	10.707971311922293	0.0017097668285530002	204.40384234799924	229.8566196948966	0.9770486392806961	0.022951360719805	1.2696978737749212	14.998838346202016	0.0011616538002420002	3.3535636925609996e-06	1.5176895191824088e-07	4.5258217988826433e-10	0.00029918000780500005	1.40548753234306e-07	8.651056306160272e-07	0.077522146451279	0.0416644537273	0.758971064942593	0.24102893505740502	0.548322877442196	0.6308255132988371	0.000874088794463	0.043700328392679004	0.41470450678354004	0.299971571584563	2.8428415892076856e-05	0.0023835307980180002	0.031541041236208	0.005041028714957	0.114589207081944	0.25201461633516903
5400.0.	0.3407624743882	11.466593421996363	0.0014182913321090001	132.61716805675132	190.6711348514445	0.9788162216057871	0.021183778394714	0.9652648015679681	14.998921994436145	0.0010780055661160002	2.1940393258450758e-06	9.958955091588218e-08	4.484511139800118e-10	0.00029946320096	1.607939158581017e-07	9.974010566492844e-07	0.088682101494226	0.04799439503621301	0.775306973771401	0.22469302622859702	0.41816419574927705	0.7014666037057391	0.00048293886160800004	0.024141526625807003	0.6815246577799351	0.29997227665324805	2.7723347207348524e-05	0.0036099450405280005	0.035073097384002	0.005466573028521	0.13039095055754601	0.27328932849722304
6300.0.	0.44520893045789006	10.194594193948774	0.001064676391691	90.79286360015946	143.13206239396956	0.9797176236638231	0.020282376336678003	0.7338250749297771	14.998966871141569	0.0010331288606910002	1.629272213238669e-06	7.417486283566311e-08	4.4707005359533687e-10	0.00029960113491000003	1.782232037304464e-07	1.1135622030500669e-06	0.09828946350758101	0.053549907767985	0.78406626220773	0.21593373779226802	0.35409849136423505	0.726640603449031	0.000357878812293	0.017887718574263002	0.8904176025659991	0.299972371797367	2.7628203088508986e-05	0.004846317144537001	0.036331796952717	0.005869579079228001	0.13922238719387	0.29343847583410604
7200.0.	0.511152828229512	8.235867795363298	0.000784726143392	68.16524431442683	105.49635744675011	0.9801763415969941	0.019823658403507003	0.557877216198099	14.998990886525656	0.001009113476603	1.3013598998740381e-06	5.9418776580217694e-08	4.464524612488818e-10	0.000299681221342	1.929487251331463e-07	1.213626377693403e-06	0.10640615457301601	0.058333443101860005	0.7887530261473341	0.21124697385266403	0.32482454495357604	0.7357651945157181	0.00030805416876700004	0.015396097791133	1.022305430527422	0.299972401421491	2.759857896418851e-05	0.00605918696216	0.036788026331721006	0.006110297932853	0.14346104475624302	0.305473970131089
8100.0.	0.533640409801998	6.405703254203682	0.0005965272846990001	56.486497747821744	80.19547129660195	0.9804096960974351	0.019590303903065	0.42411604478630804	14.999003729897725	0.000996270104526	1.0909725071300671e-06	4.995135396071431e-08	4.4614289388867416e-10	0.00029973260446800005	2.0516822117955117e-07	1.2982096197934329e-06	0.113141290900635	0.06237516880937	0.791259439962636	0.20874056003736302	0.311761147718982	0.738895617322601	0.000293467053392	0.014666566996968002	1.067280626311006	0.299972415247626	2.7584752829900235e-05	0.007222542026715	0.036944547566027004	0.006234727548518001	0.14505774005101302	0.311695296030359
9000.0.	0.5134893872835501	5.00341213521332	0.00048161418082400003	50.90968604285144	64.7469122188456	0.9805284635686461	0.019471536431854	0.32242653802200705	14.999010599310951	0.0009894006912990001	9.469940078338213e-07	4.3472359459337185e-08	4.460197990234984e-10	0.000299767768434	2.1514002069608868e-07	1.368422308929307e-06	0.118637365610867	0.065728840211301	0.792600084777582	0.20739991522241702	0.306150629839035	0.7394159904406731	0.00030371495680400003	0.015178889067048002	1.026978610361185	0.29997242282383	2.757717662526071e-05	0.008317257023913	0.036970566581791	0.006293227936452	0.14477106819558802	0.31462029224791305
