time	AC_PKA_cyto_mem	AC_active_cyto_mem	AC_cyto_mem	AMP_cyto	ATP_cyto	BAR_G_cyto_mem	BAR_cyto_mem	B_Raf_active_cyto	B_Raf_cyto	GRK_bg_cyto	GRK_cyto	G_GDP_cyto	G_a_s_cyto	G_protein_cyto	MAPK_active_cyto	MAPK_cyto	MEK_active_cyto	MEK_cyto	PDE4_P_cyto	PDE4_cyto	PDE_high_km_cyto	PKA_cyto	PP2A_cyto	PP_PDE_cyto	PTP_PKA_cyto	PTP_PP_cyto	PTP_cyto	R2C2_cyto	bg_cyto	c2_R2C2_cyto	c3_R2C2_cyto	cAMP_cyto	c_R2C2_cyto	iso_BAR_G_cyto_mem	iso_BAR_cyto_mem	iso_BAR_p_cyto_mem	iso_extra
0.0.	0	0.0	300.0	3010000.0	3010000.0	0.0	94.0	0.0	120.4	0.0	0.602	0.0	0.0	2167.2	0.0	216.72	0.0	108.36	0.0	240.8	301	0.0	60.2	120.4	-7.854549544476363e-90	60.2	120.4	120.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6020.0
7.0.	0	15.52231706138195	284.4776829386179	3010145.1393465353	3009842.063155125	0.5888342622903671	0.011532800086114	1.537475372752654e-06	120.39999846252475	0.006624521259730001	0.5953754787402771	0.017972533212919	0.075223138126217	2145.2702078891975	5.355178997018902e-09	216.7199999946448	7.235729209536089e-08	108.35999992764283	2.215979646671475e-06	240.79999778402052	301	5.638530879786809e-07	60.2	120.4	6.87471242080112e-08	60.2	120.399999931253	120.33663877833706	3.191034562355796	1.32597810078303e-05	2.8603067466700726e-06	12.734116437525955	0.06334453772215701	93.07183087363923	0.32777387405748204	2.8189926911535225e-05	5851.880660712275
14.0.	0	31.17718908296075	268.82281091703913	3010475.634610092	3009501.535438277	0.5888301901245141	0.011543663115031001	0.00020279344007000002	120.39979720656005	0.018114697705597	0.58388530229441	0.057161232125054	0.14958381556962802	2142.0257911767067	2.195575397397446e-06	216.71999780442454	1.8982782850711104e-05	108.35998101721725	0.000272206946355	240.79972779305393	301	3.6966197211059384e-05	60.2	120.4	8.704304236834644e-06	60.2	120.39999129569587	120.19110308660524	6.424068166581238	9.406503690950937e-05	5.051311170621495e-05	22.62074871929228	0.208715369048999	93.07129960489647	0.32826861083239	5.793103171145003e-05	5851.880672935828
21.0.	0	46.609817479407766	253.390182520592	3010986.1739451936	3008980.8012112984	0.5888260609501901	0.011554448090179002	0.0029335329326570002	120.39706646706746	0.029937683093716003	0.5720623169062911	0.100657230264812	0.231864187866366	2138.813598220126	6.150081670161739e-05	216.7199384991832	0.000425606265791	108.35957439373432	0.0036548004951400003	240.79634519950514	301	0.000340145845043	60.2	120.4	0.00012051081840400002	60.2	120.39987948918173	119.96436902736757	9.624547230919015	0.000253515892304	0.00019696824648600002	32.587544636393574	0.434840342648655	93.07075826834453	0.328759869100258	0.00010135351492100001	5851.880684916271
28.0.	0	61.794705081573994	238.20529491842578	3011674.0566506875	3008282.5821062564	0.588821895991533	0.011565098298584	0.016693215464152002	120.38330678453597	0.041286521894496005	0.5607134781055111	0.13594783406740102	0.323207338227443	2135.6500975034924	0.00055105632889	216.71944894367095	0.0033385762192840005	108.35666142378082	0.019295579148358003	240.78070442085186	301	0.0013966119260910002	60.2	120.4	0.000655466416081	60.2	120.39934453358401	119.65648496143112	12.776809666715144	0.00047530973318000004	0.00043508272051600005	42.61219269858275	0.741208034189145	93.07020964348759	0.329245079296812	0.000158282925577	5851.88069658972
35.0.	0	76.70255128452672	223.29744871547305	3012536.2732780725	3007409.9169119075	0.588817707978959	0.011575588635887	0.05856951506123	120.3414304849389	0.052036169580749005	0.549963830419258	0.160624151045849	0.42494140977306205	2132.542229543311	0.002685675186156	216.71731432481369	0.014948233558986002	108.34505176644112	0.063080998473794	240.7369190015264	301	0.003851740851349	60.2	120.4	0.002201462188014	60.2	120.3977985378121	119.2678836953482	15.874039648143501	0.000753333397205	0.0007539145198410001	52.663877322465154	1.126757315883445	93.06965548683901	0.329723109229666	0.00022810731656800002	5851.880707933903
42.0.	0	91.29967457167422	208.70032542832558	3013569.4609245523	3006366.2089580107	0.588813503323638	0.011585912656482001	0.15507304818543402	120.24492695181472	0.062197326785834006	0.5398026732141741	0.178418183512976	0.5386031409206551	2129.4914617095724	0.009103882785569001	216.71089611721422	0.047869353294837005	108.31213064670526	0.156667837985411	240.64333216201481	301	0.008493517833259	60.2	120.4	0.005597544533368	60.2	120.39440245546675	118.79945828466442	18.914758911982638	0.001086079429411	0.001154365731559	62.700700350807644	1.589807752341347	93.06909675497033	0.330193664300418	0.00031016474927000003	5851.88071894876
49.0.	0	105.54740288321948	194.45259711678034	3014769.851568876	3005155.280409925	0.5888092884417341	0.011596063471176001	0.34275725819767705	120.0572427418025	0.07180431854979401	0.530195681450214	0.19364272637589802	0.66595758355273	2126.49945037453	0.024401717316884	216.6955982826829	0.12325626697986101	108.23674373302023	0.32709697738153604	240.4729030226187	301	0.016255067205849003	60.2	120.4	0.011925852019450001	60.2	120.38807414798067	118.25265336962487	21.897276568022736	0.0014719862184830001	0.001639305314997	72.66715876259187	2.127980271635814	93.06853440603699	0.33065642129272604	0.00040382075749500004	5851.880729633438
56.0.	0	119.40147777867269	180.5985222213271	3016133.213157418	3003781.433608937	0.588805072643079	0.011606025472944	0.668414792687388	119.73158520731279	0.080886804641134	0.521113195358873	0.20893230464852802	0.809007893309715	2123.5704092781416	0.055600275889205006	216.6643997241105	0.272611290645638	108.08738870935443	0.606394087715003	240.19360591228522	301	0.028198063188859004	60.2	120.4	0.022501076877501	60.2	120.37749892312264	117.62956928892696	24.817348949051656	0.001908896694341	0.0022112539369150003	82.4918773318839	2.738112497252926	93.0679697681803	0.331110657919757	0.000508475784008	5851.880739976604
63.0.	0	132.81155659661803	167.18844340338177	3017654.7835732563	3002249.5188535536	0.5888008680737931	0.011615774629939	1.18853026853491	119.21146973146524	0.089465149394905	0.5125348506051021	0.225493109992342	0.969985136095566	2120.7109693544207	0.11250879934431401	216.6074912006554	0.5390846451391671	107.82091535486087	1.030821980432005	239.76917801956824	301	0.045484420619884	60.2	120.4	0.038847916903156005	60.2	120.36115208309698	116.93307316338071	27.66832441601663	0.0023940208506890003	0.002872203415435	92.08605465699542	3.4161761917332942	93.0674045327511	0.33155526862109	0.0006235559241410001	5851.880749956862
