	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
0	1e-05	1e-05	0.0	1e-06	0.0	0.0	5e-06	0.0	0.0	0.0
1	1.5422954612837435e-10	7.112693472689002e-06	2.887306526893429e-06	5.008348639292131e-06	1.7799660885565007e-11	9.91642730750466e-07	-1.0460887285478662e-17	2.1125300734394024e-06	4.175538925622809e-16	1.63399260070499e-10
2	1.3844494070207798e-13	7.112693479409304e-06	2.88730651976658e-06	4.064705139092726e-06	1.597795296022418e-14	1.935458116550481e-06	1.0804397341210579e-14	2.112530069343213e-06	8.241008004078598e-16	1.6339926170420406e-10
3	1.184626727029084e-15	7.1126934883575646e-06	2.8873065104280345e-06	3.298745879831263e-06	1.3671799961276497e-16	2.701417541172037e-06	2.3073572857458985e-14	2.1125300660329294e-06	1.214386063790681e-15	1.6339925107291485e-10
4	-1.7920795765244365e-18	7.112694012824679e-06	2.887305985586247e-06	2.677121628918871e-06	-2.0682433945511839e-19	3.323042785137539e-06	1.014880328915835e-12	2.112529598770276e-06	1.5890601742795387e-15	1.633991740833108e-10
5	-1.5004928059492864e-22	7.1126994857793155e-06	2.8873005122719217e-06	2.17264296763439e-06	-1.7317215612369778e-23	3.827526150743585e-06	5.718615424021295e-12	2.1125303674013478e-06	1.948747540746818e-15	1.6339976255294155e-10
6	-3.704111745567192e-26	7.112693472313899e-06	2.8873065253920375e-06	1.7632203539491702e-06	-4.27492232353117e-27	4.236943045888917e-06	1.6761872798429195e-17	2.1125300724758173e-06	2.2940476386665505e-15	1.6339982132969723e-10
7	8.85311735210751e-26	7.112693471233559e-06	2.8873065261408896e-06	1.4309513945565898e-06	1.0217399366154767e-26	4.569212003136411e-06	-2.1276146335503677e-15	2.112530073540563e-06	2.6255359612959198e-15	1.6339982061878194e-10
8	-1.158502390619111e-25	7.112693461771303e-06	2.8873065352849177e-06	1.1613010625050676e-06	-1.3370297851991286e-26	4.838862318216143e-06	-1.9096430096681658e-14	2.112530081050095e-06	2.943764904851246e-15	1.633998176453411e-10
9	6.082948186510134e-27	7.1126934296320825e-06	2.8873065671186385e-06	9.424617899956422e-07	7.020341928533949e-28	5.057701465633097e-06	-1.4474771796426496e-13	2.1125301740033446e-06	3.2492649101543802e-15	1.634003764625632e-10
