	APC_PS_VIIIa_l	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_XIa_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	IX_f	IX_l	IXa_AT_f	IXa_VIIIa_X_l	IXa_VIIIa_l	IXa_f	IXa_l	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VIII_IIa_l	VIII_Xa_l	VIII_f	VIII_l	VIII_mIIa_l	VIIIa_f	VIIIa_l	VIIIai_f	VIIIai_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	XI_IIa_l	XI_f	XIa_IX_l	XIa_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
0	0.0	0.0	0.0	0.0	0.0	0.0	3400.0	1400.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	170000.0	60.0	0.0	300.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2600.0	0.0	0.0	0.0
1	2.5006880617028605e-19	2.1354618046566345e-17	7.682173828489693e-11	1.2004290072802969e-12	6.166955764877769e-12	2.4439515096334747e-13	3399.9999993101255	583.6703304590914	816.3296695363346	5.277274964994312e-12	4.357405436204894e-11	1.442114158119108e-10	3.738034958175911e-10	0.6319448624405548	89.36774965820756	2.6931915415239667e-09	5.455564340913928e-13	1.0296541441344398e-12	9.843766349606654e-07	0.0001425505292188399	32525.912680048812	24.853260941788623	35.14673905808329	3.644545874500762	296.3554541254248	1.6877544018473148e-11	3.5136159358871078e-06	2.4999964863671917	1.2518984736678794e-10	0.000939301276510914	0.00016194173635925756	0.0	0.00014742653941617927	0.00018597909191246317	0.00046906708333678706	0.0030962841303969783	0.9999999998122161	1.6115224100844906e-12	4.408528840773299e-06	0.004277928366194032	0.6957175081355159	1.1324957640927181e-11	3.007291217011957e-09	1.519476486472244e-07	5.9145918156246395e-22	3.3896081182494333e-20	1.2839604404899317e-06	0.3899652084426037	9.609061793197444	0.0013638747747764502	0.09770412375509933	8.589447357733904e-11	0.00021287244549838156	0.17674158025536835	19.823032342792278	5.510594778426194e-10	1.156248800145489e-07	1.3087063482259993e-05	2.2771888788624967e-20	2.8817007025902287e-18	8.711245404260036e-11	29.99999999983851	1.553388989233791e-11	5.861765827766992e-11	62.68663652375245	107.312591692407	6.871884841166783e-07	4.6204930727421546e-10	6.466142736578116e-10	7.303376173751412e-11	5.39198463613403e-05	0.00016137143212526195	1.4771461232650135e-12	3.1986778545839097e-07	2599.9999996801407	9.54026027300545e-13	7.042887821454794e-11	2.635264743499824e-09
2	1.4861677593665102e-15	1.424977217147937e-13	3.587518887392412e-08	3.3198656301326945e-10	1.6152278295441867e-09	1.20181448651875e-10	3399.999994625078	583.67052707259	816.3294723866371	1.1961799165953918e-09	8.725885714921696e-09	2.6597108172558026e-08	3.826881579666416e-08	0.6319419486354052	89.36728308120487	2.0762054664212977e-08	3.410593167926188e-11	6.218916849703607e-11	3.555433963001513e-06	0.0005082910300198267	32525.893336993555	24.85326956825755	35.14673038519369	3.644548009980304	296.35545195414664	4.412961464819594e-10	2.7355382986344378e-05	2.4999726441757204	7.141717294199776e-10	0.001502207589021753	0.0002630979144450322	0.0	0.00023094801352251286	0.0003249016595738126	0.0007329292512067948	0.00194591441676219	0.9999999646770081	1.7363960289507937e-10	1.727775672401398e-05	0.004277845572116756	0.6957035328777974	1.491497304101707e-09	2.6606918097716485e-08	1.3154250117823725e-06	8.609623624760638e-18	4.513960012000858e-16	4.57229097657257e-06	0.38993501853086404	9.608312685697737	0.0013586320231109802	0.09733500587404183	9.715819590608315e-09	0.0009184777754523821	0.1767344940883023	19.822219096604606	7.55415978352381e-08	1.1420237541199786e-06	0.00012663762209355554	3.705755806028858e-16	4.3277541215374414e-14	9.516355714125684e-09	29.999999972340866	4.923522564359204e-09	1.3099097955993537e-08	62.68610507830606	107.3115951292571	5.352580362588664e-06	2.6125444558182844e-08	3.633791677362337e-08	4.164990804704732e-09	0.00019565284841982055	0.0005726948291056109	3.348191138303762e-10	2.491482420189931e-06	2599.999997508193	2.7549164654316973e-10	9.230699925599091e-09	3.2938665631828836e-07
3	1.464115892724453e-13	1.4634571604322026e-11	9.349462774118034e-07	6.702578756629489e-09	3.205967340089624e-08	3.4718675232401343e-09	3399.999983264026	583.670760688342	816.3292322629069	2.2225148984199206e-08	1.3919404952223408e-07	4.1329173566687e-07	4.459522872126295e-07	0.6319384146532303	89.36671993995458	6.457191411630902e-08	3.1780162265060733e-10	5.732276738459595e-10	7.087164197442913e-06	0.001009087439323707	32525.870583241063	24.853279311343588	35.146719575738715	3.644550514869136	296.35544855017184	2.646244555341484e-09	8.49997391162962e-05	2.499914997614642	1.7221486390556257e-09	0.0018368680845408333	0.00032530270520856713	0.0	0.0002823725876761717	0.0004102449791716032	0.0008954131110417849	0.001249794163967816	0.9999994475142167	2.055752066055442e-09	3.511193322998841e-05	0.004277721434456823	0.6956827862737601	2.0068658138860152e-08	8.694656483922756e-08	4.270396331836599e-06	1.4008539021670729e-15	7.138568522748219e-14	9.01162927262606e-06	0.38990220473387754	9.607495512959474	0.0013606047045131673	0.09748246013679922	1.168671983314015e-07	0.0019292500607100528	0.17672303525164773	19.820914523718674	1.0300339145819702e-06	3.880160324799931e-06	0.0004276140616433471	6.291042389613701e-14	7.161894248989356e-12	1.1316712036201611e-07	29.999999541774805	1.0262112819110997e-07	2.389651083545975e-07	62.68540349626901	107.31030505010987	1.6639825131542873e-05	2.1577363302290462e-07	2.99561822692e-07	3.448873679829176e-08	0.00038793875960477925	0.0011275842056659117	6.220974446594747e-09	7.745391756713849e-06	2599.9999922483967	5.893441133657546e-09	1.2401087776879592e-07	4.3594797221789606e-06
4	3.12827301577186e-12	3.166826044865471e-10	8.177617322292854e-06	5.0420443072977444e-08	2.392230220842543e-07	3.394084636674046e-08	3399.999963563863	583.6710025779265	816.3289580879955	1.591811628175749e-07	8.610484132327586e-07	2.5250780293491525e-06	2.2974975998181427e-06	0.6319344761859347	89.36609543413114	1.4047726808426007e-07	1.4303465372837116e-09	2.5667431426288636e-09	1.1215508729306438e-05	0.0015937817691065036	32525.846209479252	24.853286855495195	35.14670381587543	3.6445531250491405	296.35543869701576	8.87614551183708e-09	0.00018408835825739912	2.4998159027656004	2.983066872372101e-09	0.002033338672268921	0.0003641713329043996	0.0	0.0003145491375177166	0.0004634439714434011	0.0009970988512460267	0.0008273861754071205	0.9999966138735589	1.0669863735876934e-08	5.5743783367577245e-05	0.004277564766395399	0.6956567252122565	1.1365872384012103e-07	1.968766472904099e-07	9.64103036236277e-06	4.227922479704699e-14	2.1255797208832547e-12	1.4096848283224858e-05	0.3898606144944435	9.60646019781462	0.0013694635539379292	0.09812301346408969	6.11170022828376e-07	0.003112563189293133	0.17670780037042974	19.819185926184737	5.8710001513496006e-06	8.882615670265707e-06	0.0009761363735885179	1.9291004610018263e-12	2.169689753697026e-10	5.886188416512208e-07	29.999996912240285	7.765983810888737e-07	1.6886016731263564e-06	62.684595700904595	107.30883297942253	3.605613050336845e-05	8.670708953715375e-07	1.2027326547207213e-06	1.3875714193536028e-07	0.0006086475256478956	0.0017631257183418326	4.455591944940399e-08	1.6783160525472745e-05	2599.9999831722926	4.641989217411049e-08	7.018315673714048e-07	2.4497491986688032e-05
5	3.0946192604688395e-11	3.107926834289224e-09	4.070735119814439e-05	2.2749742388299994e-07	1.0743668149769724e-06	1.882448709019969e-07	3399.9999342165006	583.6712293338621	816.3286291925264	6.949559465099908e-07	3.286465898519174e-06	9.5704286060119e-06	7.795901939347404e-06	0.6319302607028802	89.365428741174	2.524801061503056e-07	4.440794066458297e-09	7.946423652265008e-09	1.5728091695988587e-05	0.0022325468558668537	32525.820679304034	24.85328351556446	35.14667118561497	3.6445555601093793	296.35540372940267	2.186382992651472e-08	0.0003287828957675659	2.499671195240405	4.361474427915261e-09	0.0021459953829215265	0.00038896222838678563	0.0	0.00033510947689774617	0.0004972666285686186	0.001062091780218887	0.0005705482777020515	0.9999871431054974	3.635596011615175e-08	7.787048273954628e-05	0.004277377266649001	0.6956256212063181	4.1215877981585427e-07	3.7417171777810834e-07	1.829591216945e-05	5.40442489218105e-13	2.6964227114776645e-11	1.9523767261903628e-05	0.3898066836168115	9.605119656040277	0.0013849711632930818	0.09923971369003129	2.0913620238253218e-06	0.004388662125122489	0.17668886564198977	19.81704136861199	2.136727847733848e-05	1.672111641332736e-05	0.001834745521258941	2.461426944526939e-11	2.7494029174764082e-09	2.008101183761419e-06	29.999987010832836	3.4960803671741257e-06	7.296740769771129e-06	62.68372078739364	107.307245431066	6.443082022292097e-05	2.4238019257247007e-06	3.3605226995124885e-06	3.8813631100843586e-07	0.0008444687513770234	0.002441472649233411	1.9452302459470102e-07	2.99908166886977e-05	2599.9999698146703	2.1701094483952418e-07	2.5440601192901585e-06	8.844304221945099e-05
6	1.9678429141186917e-10	1.9228945696523453e-08	0.00014457917094262557	7.549399100981632e-07	3.554709142856666e-06	7.397092800985602e-07	3399.999893679884	583.6714180042319	816.3281900333303	2.252687722152626e-06	9.441792064368198e-06	2.7375724225017218e-05	2.0682408268774744e-05	0.6319258343610431	89.36472657852165	4.032592383721296e-07	1.1161847437842145e-08	1.994023486949272e-08	2.0514136277700706e-05	0.0029098674593604607	32525.793067305833	24.85324938041285	35.14659226954899	3.6445573660637987	296.3552980353417	4.4554455077979824e-08	0.0005211441627134439	2.4994788112828346	5.771726391251406e-09	0.0022077738997764583	0.00040522811375105457	0.0	0.0003486340151001841	0.0005193608498134712	0.001104859983092144	0.0004140928122851894	0.9999631824837123	9.669793745793355e-08	0.0001007025319132584	0.004277152477102476	0.6955883856831999	1.1475474883467278e-06	6.514757542590754e-07	3.1832076141313865e-05	4.17696022606014e-12	2.0742191639680651e-10	2.5107664465426747e-05	0.3897384142676653	9.603424754142821	0.0014069362443590472	0.10081888049294548	5.5770660493512895e-06	0.005709232854474022	0.1766656743631872	19.81441683868116	5.962464202991925e-05	2.8282377345190882e-05	0.0031007034108735403	1.8684105839854976e-10	2.0780272841932385e-08	5.345277112138172e-06	29.999958914182805	1.1543047073370319e-05	2.345778375691563e-05	62.682803808774366	107.30558115907078	0.00010218408710408731	5.508590013266892e-06	7.635353833085184e-06	8.824651268168201e-07	0.001087334382821067	0.0031396797612214273	6.305430335474586e-07	4.75639487665523e-05	2599.9999518055183	7.403849082207763e-07	7.081742443741916e-06	0.00024557484110769123
7	9.54681622116098e-10	8.914463735583649e-08	0.0004120698046881575	2.0495050206995425e-06	9.631036118151389e-06	2.3127477933358743e-06	3399.999839539716	583.6715429535985	816.3275378161186	6.011108392254703e-06	2.2648751083555696e-05	6.548183366520706e-05	4.694738875940833e-05	0.6319212090006979	89.36398329401207	5.949172460085821e-07	2.4785442748451106e-08	4.4235821050668246e-08	2.5544827249459528e-05	0.003621806945143038	32525.760742211696	24.853145207228387	35.146408303575015	3.644557718556356	296.3550301215416	7.99597239031966e-08	0.00076195236909579	2.4992379676711853	7.165891603636681e-09	0.0022386539322420307	0.00041632628398939224	0.0	0.0003578938435205471	0.0005343456687526905	0.0011341569284034653	0.0003185362174763373	0.9999118694152527	2.1985324748108417e-07	0.0001237547702607917	0.004276872930361563	0.6955420954008321	2.699487099957554e-06	1.0890736969360916e-06	5.319732087759775e-05	2.3515093465121356e-11	1.1641651110136148e-09	3.073468873431753e-05	0.38965476964619483	9.601349396864382	0.001435190284497086	0.10284844473363756	1.2701098220291642e-05	0.007044600027199198	0.17663678602478255	19.811147701418317	0.00014046049632104285	4.5118207320842294e-05	0.0049442731859632655	1.01699152900867e-09	1.127871766956571e-07	1.2159683839858116e-05	29.999892206590445	3.1154992717172456e-05	6.21659852291475e-05	62.6818623659622	107.30386109114261	0.00014948679388786064	1.1058779783602952e-05	1.5325795546291813e-05	1.7720178930465594e-06	0.0013322858351970666	0.0038436383059841203	1.6825512481497473e-06	6.95820888532362e-05	2599.999928735369	2.0547278061813975e-06	1.66572478565558e-05	0.0005766752290966243
8	3.8992417152396315e-09	3.430292100813044e-07	0.0010099374855762442	4.847675695256969e-06	2.2748370135510257e-05	6.161315971074058e-06	3399.9997676706007	583.6715714137667	816.3264980212522	1.4037279598621384e-05	4.8232470466959405e-05	0.0001391855503855764	9.621260111527588e-05	0.6319163338661361	89.36317772437178	8.296622947386262e-07	5.124813654501463e-08	9.141662159746298e-08	3.087669029512442e-05	0.004376522646878518	32525.718658963775	24.852900469656987	35.14601341741232	3.644555158334385	296.35443455725346	1.3109514322785116e-07	0.0010511894165726153	2.4989486794882905	8.519060676741146e-09	0.002250754631487962	0.00042430045258530383	0.0	0.0003645767080599851	0.0005450303740058932	0.00115531424959354	0.00025988397006338024	0.9998125819791492	4.5102534972732485e-07	0.00014671770355084113	0.004276504865670385	0.6954811118737242	5.680276941852287e-06	1.7933090056941617e-06	8.758896277070495e-05	1.0750681962413465e-10	5.31148155307155e-09	3.6331901125389567e-05	0.3895553198740627	9.5988816526706	0.0014695743461926336	0.10531700517805996	2.608318822240338e-05	0.008375861747593357	0.1765994319427045	19.80691809123392	0.00029582239336749814	6.992726676043138e-05	0.0076614792913531835	4.433147105887969e-09	4.906997119470378e-07	2.4955391813604284e-05	29.999751288649666	7.326964565599509e-05	0.00014432499691607748	62.680911134080795	107.30209360044589	0.0002063543955295891	2.0606974205500022e-05	2.8555331769045864e-05	3.3024681752137767e-06	0.001576159760698653	0.004544335399380043	3.929132686085081e-06	9.605243093515466e-05	2599.999900018446	4.946757112045159e-06	3.50492405179026e-05	0.0012120702023925487
9	1.4227439675762205e-08	1.1696726339780663e-06	0.002225002062980366	1.0404048019004502e-05	4.877376005902614e-05	1.4616139861827745e-05	3399.9996709610273	583.6714554403753	816.3247785126086	2.9843305183595458e-05	9.486097020350377e-05	0.00027340045977094915	0.00018431760698050314	0.6319110712265352	89.36226603085503	1.1106103803321968e-06	1.0198502008192209e-07	1.8187476323958138e-07	3.6677634208049685e-05	0.005197991488495931	32525.6580172694	24.852394056709304	35.145225718548986	3.64454718626105	296.3532266277777	2.0095881286398298e-07	0.001388307843663647	2.4986114911975337	9.818312668075784e-09	0.0022514142299757257	0.00043040139286685007	0.0	0.0003697160027786234	0.0005531332110604346	0.0011715966810700333	0.00022352770512276896	0.9996317385700272	8.645728631527892e-07	0.00016937328312648	0.004275988871425116	0.6953955203279906	1.1093422923781435e-05	2.9460646922271923e-06	0.00014389387475821663	4.2702388233604e-10	2.1067975432697823e-08	4.1847625138799356e-05	0.3894400461307231	9.596018571859279	0.0015099294213077072	0.1082131326686508	5.002908258572902e-05	0.00968975929373864	0.17654874123939485	19.801172691283043	0.0005780318269056514	0.00010730911635055575	0.011756774608681101	1.661600840339355e-08	1.8367803221088333e-06	4.785256030601752e-05	29.999475792805807	0.00015643293308889177	0.00030530556095441255	62.67996563347015	107.30027651578428	0.00027269925990909723	3.6780720328105523e-05	5.0964761981635905e-05	5.894998166127708e-06	0.0018167273383268385	0.00523539946103149	8.35334981494723e-06	0.00012693418480647892	2599.9998647124758	1.0769669189350725e-05	6.84532867360567e-05	0.002365501155471404
