	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
0	1e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3.546913399877909e-10	3.512145648694141e-11	9.865041515937705e-14	2.8510768235826684e-17	3.634544236777765e-12	3.7125520315831435e-13	3.984583695722328e-16	2.1489263774123456e-15	3.7550386254654775e-11	1.6780959828973227e-12	1.4946592921055492e-07	8.214492605687875e-10	2.5728759291949454e-13	4.4609084470610125e-14	1.3040070542817006e-10	3.5114957144230954e-08	3.9354923619854376e-09	4.94151192633483e-12	1.2395336397140494e-12	8.334419266014474e-10	2.430171442034683e-11	4.725005369905923e-12	5.556024424376573e-09	2.0801611010613954e-10	6.091338923058383e-14	8.165965287270596e-10	9.051380903831081e-13	9.498124624534692e-10	7.576622785934389e-11	3.041988131669689e-09
2	3.546913403690813e-10	6.235345788900384e-11	3.016592496256248e-13	9.547777333099549e-17	1.3849086266307338e-11	1.557355124706894e-12	2.108727446449601e-15	1.0243090629605732e-14	7.451987092990619e-11	3.5541348955869053e-12	1.1583787752215979e-07	1.08490046451289e-09	3.7222927887379784e-13	4.112837153101172e-14	1.1052623975649719e-10	6.24718866862397e-08	7.3768693124407974e-09	1.1628492707716395e-11	1.8451614390652525e-12	1.0163511803751018e-09	5.433172701203401e-11	6.391932034909527e-12	5.947881626404004e-09	5.789768919361141e-10	1.8440510668378418e-13	3.0600872108655317e-09	4.209108632808017e-12	3.4423050350874324e-09	2.011525814537069e-10	2.35756467490052e-09
3	3.5469134037398874e-10	8.34584404748873e-11	5.290633243357622e-13	1.761163069889888e-16	2.8917909069660153e-11	3.349531273474672e-12	5.183606728888118e-15	2.462958614999454e-14	1.1088412520137994e-10	5.400808250163856e-12	8.977572690860915e-08	1.0907632500173187e-09	3.9845621574082456e-13	3.581772024562427e-14	9.093697531345495e-11	8.247309154113334e-08	9.845615000486045e-09	1.8104796490267006e-11	2.3883218364209965e-12	1.137481782468476e-09	8.51344208589834e-11	7.997947043826417e-12	6.1956901508510425e-09	9.828413645290014e-10	3.2858682341178046e-13	6.340112823865479e-09	9.92659591468275e-12	6.954972841361812e-09	3.7823652977076336e-10	1.8271403263716245e-09
4	3.5469134037035013e-10	9.981487270825696e-11	7.44384393288728e-13	2.567668551269706e-16	4.750519529823782e-11	5.569366661488651e-12	9.550052443781944e-15	4.5389199421366924e-14	1.464796502112191e-10	7.209364868773338e-12	6.9577217030344e-08	9.848726856750755e-10	3.7776653272371534e-13	3.012008699860556e-14	7.342354581975743e-11	9.681447399627063e-08	1.1554140211329452e-08	2.4116329461671288e-11	2.8693046513407424e-12	1.2131859040914998e-09	1.1598406838792826e-10	9.532367148771934e-12	6.333734738023272e-09	1.3605624372161373e-09	4.708366244780491e-13	1.0347349174745078e-08	1.791589493346635e-11	1.113702960215768e-08	5.892687413614802e-10	1.416054573577763e-09
5	3.5469134037092393e-10	1.1249107365037917e-10	9.330931249051693e-13	3.305961125808131e-16	6.858396685894532e-11	8.07930571118847e-12	1.5099419550726656e-14	7.247359800707104e-14	1.8120118020131215e-10	8.974162757776404e-12	5.392309200273257e-08	8.413621641651149e-10	3.3556331189729323e-13	2.4753493104960604e-14	5.855324795621673e-11	1.068089337976639e-07	1.2684317056774656e-08	2.9558725753009886e-11	3.291917391799627e-12	1.2558354377219459e-09	1.463470521335874e-10	1.0988146823000982e-11	6.388548339337216e-09	1.6891961878442262e-09	5.999945116918345e-13	1.4843405767329615e-08	2.7976956766223958e-11	1.5739543797634913e-08	8.216351088168473e-10	1.0974575453311735e-09
6	3.546913403708938e-10	1.223149412876878e-10	1.0915919370990394e-12	3.948195188025043e-16	9.136636958173775e-11	1.077574575543288e-11	2.1711192935317498e-14	1.0574015697218472e-13	2.1498475121974968e-10	1.0691743511634146e-11	4.1790996253938326e-08	6.959906776218911e-10	2.8644809068830644e-13	2.0026558663798667e-14	4.630777843775482e-11	1.1347255323637366e-07	1.3383210233559499e-08	3.4413202101461716e-11	3.661784406759872e-12	1.2746803020333713e-09	1.758373301639871e-10	1.2361049790381772e-11	6.380632335337445e-09	1.9636923905457287e-09	7.116625169881018e-13	1.964853594025188e-08	3.989104975954927e-11	2.0586419207301667e-08	1.0664118357724794e-09	8.505418037806221e-10
7	3.5469134037089307e-10	1.2992817946670867e-10	1.2213509724170445e-12	4.489073780770502e-16	1.1524946653278417e-10	1.3582030347254178e-11	2.9266254368589556e-14	1.4497877688987269e-13	2.477955322349587e-10	1.2360189022842028e-11	3.2388507315204344e-08	5.644113781792986e-10	2.382499688887671e-13	1.6026614812527306e-14	3.6418241680978534e-11	1.1759159364160361e-07	1.3765662685812192e-08	3.870671402869921e-11	3.985038855086359e-12	1.276572106542301e-09	2.0418187197030032e-10	1.3648973602914422e-11	6.325816573959226e-09	2.1872200671338423e-09	8.05184396866667e-13	2.462943753892062e-08	5.344290025022811e-11	2.55535939513686e-08	1.3173117393329512e-09	6.591797700180013e-10
8	3.54691340370893e-10	1.358281756228708e-10	1.3258899408785559e-12	4.934875762772201e-16	1.3977338520669892e-10	1.6442295582402118e-11	3.765359891214141e-14	1.8993233720799112e-13	2.796191615428367e-10	1.3978664233710306e-11	2.5101419635393185e-08	4.5200812268258465e-10	1.9472192880969207e-13	1.2728705194629147e-14	2.853370916675674e-11	1.1977423054023201e-07	1.3919320827693226e-08	4.248791027399069e-11	4.267617785636771e-12	1.2665481063877095e-09	2.311940336900904e-10	1.4851414513724802e-11	6.2363123439171634e-09	2.366201263118481e-09	8.8180575547566e-13	2.9688634570857952e-08	6.843185897014131e-11	3.055421638693417e-08	1.5699331117678696e-09	5.108709631513478e-10
9	3.5469134037089307e-10	1.4040025624815387e-10	1.4092660546938958e-12	5.296998603500421e-16	1.6458908989612822e-10	1.9316448853173896e-11	4.677322004020559e-14	2.4031221231111845e-13	3.104555843216526e-10	1.5547091862709026e-11	1.945391137171242e-08	3.59173870031266e-10	1.572686300408466e-13	1.0057271423338757e-14	2.2302549848276214e-11	1.2049040003448052e-07	1.3909949559345227e-08	4.581307006445468e-11	4.514919142812415e-12	1.248286284131615e-09	2.56753101352447e-10	1.5969057962082697e-11	6.121523111510369e-09	2.5078334646862848e-09	9.43595589076871e-13	3.475584802524489e-08	8.467665239274683e-11	3.552807748043286e-08	1.8212242574801365e-09	3.9593133041968774e-10
