	A	I1	I2	S
0	200.0	5000.0	1000.0	3800.0
1	657.188420001452	6117.716546454432	1012.2420078931685	4216.185313281032
2	1008.0746368942595	7261.793448335456	1040.8395364276691	4434.56573013149
3	1301.7357399914042	8378.09684521746	1085.6628422542333	4510.375152201155
4	1560.182512568325	9419.979294676657	1146.1136474846933	4497.978944356827
5	1791.885547360637	10356.737833255405	1221.2368428980612	4440.76957241844
6	1999.4776488211655	11174.418053320978	1309.8766317364561	4368.156205683206
7	2183.7639894096787	11872.186268273357	1410.8155686641621	4297.223103787292
8	2345.495666357897	12457.468551439712	1522.870362943496	4236.212022727631
9	2485.923539549987	12941.77706303371	1644.9437849735675	4187.922789995211
10	2606.789568849556	13337.85622657359	1776.0436218359928	4152.254045245933
11	2710.1285649212796	13658.043973169024	1915.2814055655258	4127.81702943681
12	2798.058706187512	13913.496163337362	2061.861006103601	4112.837238358236
13	2872.6257268990876	14113.932955602706	2215.06366834807	4105.595479118659
14	2935.710017465958	14267.659962261407	2374.2331825972724	4104.60473127379
15	2988.984381624639	14381.711198621713	2538.7629322626503	4108.651056283339
16	3033.905726835626	14462.029584768645	2708.085412596458	4116.773266861047
17	3071.7263631134697	14513.643791159726	2881.6642085284034	4128.220984444694
18	3103.5147452004476	14540.82446912106	3058.98814480811	4142.410084483257
19	3130.1792887723946	14547.215347104899	3239.5672299445037	4158.883371788773
20	3152.4917013544828	14535.940369599408	3422.930015869876	4177.278769934018
21	3171.108111242615	14509.69019619558	3608.622035995555	4197.304819445056
22	3186.587376406934	14470.791798778971	3796.2050379531593	4218.722358988259
23	3199.406549891858	14421.26458002488	3985.256780571295	4241.331081556432
24	3209.9737602092105	14362.865878924455	4175.371211998592	4264.95978158287
25	3218.6388681681296	14297.128154375085	4366.158885760539	4289.459328506213
26	3225.70227061081	14225.389634371004	4557.247504176332	4314.697624292249
27	3231.4221871630807	14148.81980929126	4748.2825049133635	4340.555991886961
28	3236.020716354112	14068.440828512457	4938.927627633025	4366.926590694664
29	3239.6888964882764	13985.145615443775	5128.865414707192	4393.710567334876
30	3242.5909608392917	13899.713331267121	5317.797613709992	4420.816732002214
31	3244.8679381616475	13812.822677926883	5505.4454604780785	4448.1606098742905
32	3246.6407182696366	13725.063425067445	5691.549830500075	4475.663759226871
33	3248.0126776132747	13636.946464767121	5875.87125360903	4503.253278010623
34	3249.0719403464586	13548.912635842755	6058.189792713996	4530.861442119656
35	3249.893335192872	13461.340511279175	6238.304791817599	4558.425434020019
36	3250.5400965815725	13374.553304670133	6416.034502015707	4585.887131586703
37	3251.065349267912	13288.825021899653	6591.215596699033	4613.192935190577
38	3251.5134083796656	13204.385960789758	6763.702588898447	4640.293617148454
39	3251.920921078341	13121.427642750572	6933.367164747703	4667.144182199975
40	3252.3178714685805	13040.107245623003	7100.097447490934	4693.703731118173
41	3252.7284667292765	12960.551595005696	7263.797206419337	4719.935322183932
42	3253.1719195130486	12882.860761921655	7424.385024689496	4745.8058272581
43	3253.6631392924432	12807.111307159968	7581.793439220899	4771.285780709098
44	3254.2133434057787	12733.35920661505	7735.968064895587	4796.349220605514
45	3254.830596998151	12661.642487234629	7886.866714125237	4820.973522432121
46	3255.5202897706745	12591.9835993951	8034.458521607765	4845.139226198653
47	3256.2855564058	12524.391548547885	8178.723082793778	4868.829858225369
48	3257.1276466647855	12458.863806560224	8319.649613285887	4892.031749146138
49	3258.0462504444663	12395.388021284978	8457.236135126665	4914.733849802268
50	3259.0397824774373	12333.943541309636	8591.488694719721	4936.927546726063
51	3260.1056308505367	12274.502771495734	8722.42061603634	4958.60647887385
52	3261.240373098817	12217.032373865315	8850.05179171383	4979.766357155697
53	3262.4399632578506	12161.494327383212	8974.408013762422	5000.404788166751
54	3263.699892938839	12107.84685931694	9095.520344798473	5020.521103350488
55	3265.0153292108052	12056.04526005428	9213.424530039296	5040.116194635731
56	3266.3812318241194	12006.042592499085	9328.160449725616	5059.192357396075
57	3267.7924520868773	11957.790306455487	9439.771611152813	5077.753141384108
58	3269.2438154939396	11911.238767665236	9548.304679150704	5095.803210119051
59	3270.730190030403	11866.337710537657	9653.809043520365	5113.3482090256975
60	3272.2465418916113	11823.036622901995	9756.336421756758	5130.3946424721735
61	3273.787980199407	11781.285070464768	9855.940495232277	5146.94975972578
62	3275.349792152723	11741.032968058906	9952.67657690539	5163.021449709081
63	3276.9274699014454	11702.230804111823	10046.601308619194	5178.618144363497
64	3278.5167303070516	11664.829824203425	10137.772386015977	5193.7487303280595
65	3280.1135286355848	11628.782179039741	10226.248309131604	5208.422468589262
66	3281.7140671078278	11594.04104159522	10312.088156800262	5222.648921702151
67	3283.3147991348424	11560.56069771822	10395.351383056863	5236.437888158214
68	3284.912429966877	11528.296614006005	10476.097633819774	5249.799343449989
69	3286.5039143992285	11497.205486347691	10554.386582208215	5262.743387368357
70	3288.0864520919845	11467.245272094484	10630.277780988188	5275.280197081158
71	3289.657480994694	11438.375208502208	10703.830530691008	5287.419985531465
72	3291.2146692944534	11410.555819716428	10775.103762093613	5299.172964721959
73	3292.7559062511814	11383.748914307618	10844.155931804844	5310.549313454183
74	3294.279292225802	11357.917575059295	10911.044929840287	5321.559149127506
75	3295.783128163445	11333.026142498611	10975.827998127312	5332.212503214667
76	3297.2659047496973	11309.040193439434	11038.561658969214	5342.519300054769
77	3298.726291420562	11285.926515606448	11099.301652592301	5352.489338638108
78	3300.1631253757078	11263.65307926064	11158.102882962712	5362.132277074625
79	3301.575400716124	11242.18900659313	11215.01937113323	5371.457619466084
80	3302.9622578015315	11221.504539528065	11270.104215435975	5380.474704923557
81	3304.3229729033706	11201.57100647064	11323.409557899391	5389.192698495758
82	3305.656948211479	11182.360788439526	11374.986556332033	5397.620583799025
83	3306.9637022361785	11163.847284945588	11424.88536154061	5405.767157152019
84	3308.242860635866	11146.004879909042	11473.155099214038	5413.64102304452
85	3309.4941474887587	11128.808907849605	11519.843856032996	5421.25059078245
86	3310.7173770205486	11112.235620537054	11564.998669619048	5428.604072172168
87	3311.9124457893854	11096.26215424627	11608.66552194182	5435.70948011409
88	3313.0793253269935	11080.866497729334	11650.889335861839	5442.574627996708
89	3314.218055228329	11066.027460987607	11691.713974497505	5449.207129789255
90	3315.328736679504	11051.724644904112	11731.182243138543	5455.6144007442335
91	3316.4115264093375	11037.93841177515	11769.335893440113	5461.803658628705
92	3317.466631050912	11024.649856769765	11806.215629671722	5467.7819254155265
93	3318.494301895189	11011.84078032956	11841.861116793363	5473.556029369037
94	3319.494830018432	10999.493661507491	11876.310990164377	5479.132607470384
95	3320.4685417652677	10987.591632240928	11909.602866702688	5484.518108132816
96	3321.4157945702013	10976.118452557024	11941.773357319596	5489.718794160918
97	3322.336973097342	10965.058486683012	11972.858080482907	5494.740745916091
98	3323.2324856802115	10954.396680044667	12002.891676762012	5499.589864652369
99	3324.102761044515	10944.118537133709	12031.907824225998	5504.271875991768
100	3324.9482452950206	10934.210100213388	12059.939254574352	5508.792333511605
