	I	Ip	S	Sp
0	149400.0	16600.0	667200.0	166800.0
1	141108.07451494096	16173.455639455093	658245.2053643716	168983.37561252015
2	133413.17798645273	15750.999246250556	651563.5500628795	171184.6724772194
3	126283.35243038765	15328.345246778865	646899.3855714385	173406.6816725749
4	119683.94251274946	14903.870817210056	644022.2858746015	175650.3287252172
5	113579.08989265107	14477.67479491056	642724.9401748824	177915.02639378048
6	107932.87130408527	14050.900171745066	642821.0990216511	180198.99626906044
7	102710.13641927719	13625.25490061368	644143.6158611318	182499.55490574986
8	97877.09863761235	13202.681066174551	646542.6102181042	184813.36279856157
9	93401.72729122368	12785.13409675609	649883.7665703552	187136.6365398373
10	89253.98405088353	12374.442621250597	654046.7740328027	189465.3259633328
11	85405.94017647216	11972.226493735852	658923.9056872699	191795.2590495095
12	81831.80517469111	11579.855902655578	664418.7322216486	194122.25792462996
13	78507.89174056594	11198.438696510317	670444.9619749513	196442.22951876136
14	75412.53677162058	10828.82634729149	676925.3980897578	198751.23444220924
15	72525.9938488101	10471.631527890897	683791.0029112453	201045.53747023185
16	69830.30889076329	10127.252249522548	690980.0597639971	203321.64275422186
17	67309.18767082866	9795.899008737468	698437.4225920757	205576.31655079062
18	64947.86147242658	9477.622527083182	706113.8445177495	207806.59991327394
19	62732.95526596977	9172.340508401963	713965.3770533704	210009.81344769627
20	60652.361336352194	8879.86245326226	721952.8324259759	212183.55591217117
21	58695.120194437586	8599.912008994788	730041.302198937	214325.69814417997
22	56851.309797381684	8332.146639305309	738199.7260687171	216434.37353877485
23	55111.943519758905	8076.1746027687295	746400.5053651384	218507.96607298576
24	53468.87690884995	7831.569360984097	754619.1563808562	220545.0966767879
25	51914.722981022256	7597.881615259485	762833.9991975111	222544.60858634676
26	50442.77563835769	7374.649211034399	771025.8781630768	224505.55217789114
27	49046.94067931184	7161.405163634592	779177.9106103339	226427.16966713997
28	47721.67382363901	6957.684056217533	787275.2607931187	228308.87996646613
29	46461.9251547833	6763.027047256949	795304.9363601076	230150.26391684433
30	45263.08939050485	6576.9857052642665	803255.6049888097	231951.05005125795
31	44120.96141637379	6399.124865783464	811117.429070413	233711.10099821558
32	43031.69655041118	6229.0246822343715	818881.916572342	235430.400596137
33	41991.77504619047	6066.282019297813	826541.7864137348	237109.04175981288
34	40997.97038295156	5910.511316092426	834090.8468727987	238747.21511733782
35	40047.320932741255	5761.3450268507	841523.8857073738	240345.19841857138
36	39137.104634558316	5618.433729377425	848836.5708130895	241903.34670323535
37	38264.816343494735	5481.445976290981	856025.3603702639	243422.08320727947
38	37428.14755795664	5350.06795082848	863087.4215422621	244901.89097942502
39	36624.968260476264	5224.002977675638	870020.5568874525	246343.30517528736
40	35853.31063697455	5102.970929709423	876823.137734629	247746.90599363385
41	35111.3544656558	4986.70756348248	883494.0438489914	249113.31221772556
42	34397.4139907488	4874.963809581795	890032.6087861225	250443.17532427458
43	33709.92611722713	4767.505038432311	896438.5703917665	251737.17412263708
44	33047.43978160982	4664.110317560383	902712.0259605055	252996.00988768283
45	32408.60637057771	4564.571672601177	908853.391614896	254220.40195090664
46	31792.17107399039	4468.693361310823	914863.3655104287	255411.0837158134
47	31196.965071879582	4376.291167406711	920742.894510243	256568.79906519508
48	30621.898466524937	4287.191719105684	926493.1440083176	257694.2991296444
49	30065.953880932775	4201.231835682094	932115.470611181	258788.3393884592
50	29528.18065389487	4118.257904141575	937611.3974156291	259851.67707582517
51	29007.689569775535	4038.125287154835	942982.5916452878	260885.06886697808
