	A	I1	I2	S
0	1800.0	5400.0	4500.0	15300.0
1	4662.144556591084	17163.719804354045	3500.389888621695	191.39770068371945
2	5107.496793460683	14457.0016374748	2756.868598573059	227.1537923610895
3	4735.060941016081	12568.74286503359	2189.5021346482786	261.38448890426247
4	4226.507331447233	11253.140268941026	1759.0689813036834	292.2267619217449
5	3778.948616374292	10338.172937182388	1434.183413814557	318.50257386581615
6	3430.746633511343	9703.198640775207	1190.0755885969713	339.81255118904363
7	3173.0660300292607	9263.51879471324	1007.4094549896785	356.39612900797874
8	2986.7662031094374	8959.706498704385	871.2249305324309	368.8804361626561
9	2853.6384913899738	8750.157807419877	770.0346561975675	378.04035069489584
10	2759.0915706102073	8605.83872107617	695.0756272221936	384.63264006726337
11	2692.1705051528174	8506.55811772661	639.702028461933	389.3103596325639
12	2644.89222559911	8438.319066231443	598.8997790222172	392.5959132128142
13	2611.526090874592	8391.44523076437	568.9035810650616	394.88700936588475
14	2587.9914009089866	8359.261525871869	546.8977334830738	396.4765589990726
15	2571.3956984505203	8337.171118513252	530.7846765608789	397.57547844802434
16	2559.6940672775786	8322.011996344363	519.0070963618573	398.33333780637616
17	2551.4429777247997	8311.610971622864	510.41229644651975	398.855098666042
18	2545.624220739243	8304.47519699078	504.1493602103513	399.21389972949794
19	2541.5202142287076	8299.580101226018	499.5918819087841	399.4604320564948
20	2538.625044398443	8296.222189259968	496.2795761244997	399.6297337859068
21	2536.5822507428493	8293.918858425415	493.875051836457	399.7459529671957
22	2535.1405702871502	8292.338943804903	492.13139532128093	399.8257122798654
23	2534.122931660749	8291.255313520218	490.8682632493311	399.88043710051716
24	2533.4043803662557	8290.511973444074	489.95402833122444	399.91798595746496
25	2532.8969546005856	8290.002150529308	489.2929316106955	399.9437433305003
26	2532.5385370391973	8289.652481918765	488.81526503950937	399.96141139519904
27	2532.2853036011966	8289.41263838214	488.47038734382375	399.9735311716996
28	2532.1063434213092	8289.248118447675	488.2215578932342	399.98184514502407
29	2531.9798555504376	8289.135283511847	488.0421523603676	399.987547444087
30	2531.8904238601954	8289.057878637279	487.91287149119904	399.9914593251284
31	2531.827196547592	8289.004801477313	487.8197817415627	399.9941417832407
32	2531.782466992816	8288.968378796799	487.7527711121355	399.9959825639388
33	2531.750821319061	8288.943392392215	487.7045595567048	399.9972453648063
34	2531.7284379317143	8288.926263354182	487.66990077569807	399.99811107652545
35	2531.7126138103963	8288.914531551089	487.6450110608972	399.99870400381167
36	2531.7014129423474	8288.90648348486	487.62713054729943	399.99911075853373
37	2531.6934792735146	8288.900958767437	487.6142853193867	399.9993899801009
38	2531.6878576275362	8288.897165732498	487.6050586338295	399.9995816839207
39	2531.683882303897	8288.894568840902	487.59844649595885	399.999712930254
40	2531.681066085364	8288.892787007351	487.5937029330146	399.9998029863351
41	2531.6790681258785	8288.891562291614	487.59029721055634	399.9998648842251
42	2531.6776524861307	8288.890722147593	487.58785578129164	399.9999073457692
43	2531.6766499589207	8288.890146421732	487.58610706945893	399.99993644332557
44	2531.6759385503515	8288.889750724178	487.5848529798585	399.99995644271115
45	2531.675436056481	8288.889480748352	487.5839574097181	399.9999700850175
46	2531.675080038964	8288.889295662999	487.5833165406264	399.99997944127585
47	2531.674826778739	8288.889168034864	487.58285650727566	399.99998589183923
48	2531.6746474610177	8288.889080661012	487.5825277183401	399.99999030755066
49	2531.67451986449	8288.889020460269	487.5822917403193	399.99999335038217
50	2531.6744297871915	8288.888979421017	487.5821236537157	399.9999954244858
51	2531.6743663002812	8288.88895151057	487.5820041451153	399.99999683513425
52	2531.674321017802	8288.888932214813	487.5819182779716	399.9999978100054
53	2531.674288390679	8288.888918678973	487.58185603160064	399.99999849415065
54	2531.6742649226735	8288.888909209072	487.58181098574073	399.9999989730812
55	2531.674248225965	8288.888902694225	487.5817787090197	399.9999993023238
56	2531.67423646893	8288.888898284868	487.58175579875837	399.99999952503885
57	2531.674228211872	8288.888895312975	487.58173958044574	399.999999675315
58	2531.6742223841543	8288.888893292966	487.5817280542705	399.9999997774698
59	2531.67421824415	8288.888891904375	487.5817198186142	399.9999998475822
60	2531.674215296153	8288.888890946102	487.581713922871	399.9999998959971
61	2531.674213202586	8288.888890288525	487.5817097122966	399.99999992927906
62	2531.674211722282	8288.88888984137	487.58170671690334	399.99999995187346
63	2531.6742106779016	8288.88888953864	487.58170459055674	399.9999999671459
64	2531.6742099401845	8288.888889333055	487.58170308006936	399.99999997754867
65	2531.6742094175784	8288.888889192558	487.58170200474603	399.9999999846626
66	2531.6742090466496	8288.888889096186	487.5817012381086	399.99999998952137
67	2531.6742087834527	8288.888889030151	487.5817006917195	399.9999999928546
68	2531.6742085970077	8288.8888889851	487.58170030287835	399.99999999514034
69	2531.674208465107	8288.888888954487	487.5817000265095	399.9999999966873
70	2531.6742083718973	8288.88888893371	487.581699830334	399.99999999773405
71	2531.674208305946	8288.888888919559	487.5816996909656	399.9999999984494
72	2531.6742082591695	8288.88888890987	487.58169959175416	399.9999999989398
73	2531.674208225947	8288.88888890323	487.5816995210464	399.99999999927536
74	2531.6742082023616	8288.888888898686	487.5816994706743	399.9999999995047
75	2531.6742081856355	8288.888888895584	487.5816994348283	399.99999999966155
76	2531.674208173778	8288.888888893467	487.5816994093327	399.9999999997686
77	2531.674208165368	8288.888888892021	487.5816993911928	399.9999999998417
78	2531.6742081593984	8288.888888891031	487.581699378279	399.99999999989177
79	2531.67420815516	8288.888888890355	487.58169936908445	399.999999999926
80	2531.674208152152	8288.888888889891	487.58169936254023	399.99999999994935
81	2531.6742081500174	8288.888888889574	487.58169935788425	399.9999999999654
82	2531.6742081485027	8288.888888889358	487.5816993545721	399.99999999997635
83	2531.6742081474276	8288.88888888921	487.58169935221554	399.99999999998386
84	2531.6742081466646	8288.888888889109	487.58169935053866	399.9999999999889
85	2531.6742081461225	8288.88888888904	487.58169934934546	399.9999999999924
86	2531.674208145738	8288.888888888992	487.5816993484966	399.99999999999477
87	2531.674208145465	8288.88888888896	487.5816993478928	399.9999999999964
88	2531.674208145271	8288.888888888938	487.5816993474633	399.99999999999756
89	2531.6742081451334	8288.888888888923	487.58169934715784	399.99999999999835
90	2531.6742081450357	8288.888888888912	487.5816993469405	399.99999999999886
91	2531.6742081449665	8288.888888888905	487.58169934678597	399.9999999999992
92	2531.6742081449174	8288.8888888889	487.58169934667603	399.9999999999995
93	2531.6742081448824	8288.888888888896	487.5816993465979	399.99999999999966
94	2531.6742081448574	8288.888888888894	487.5816993465423	399.9999999999997
95	2531.6742081448397	8288.888888888892	487.5816993465027	399.99999999999983
96	2531.674208144827	8288.888888888892	487.5816993464746	399.9999999999999
97	2531.6742081448183	8288.888888888892	487.58169934645457	399.9999999999999
98	2531.674208144812	8288.88888888889	487.58169934644036	399.99999999999994
99	2531.6742081448074	8288.88888888889	487.58169934643024	400.0
100	2531.674208144804	8288.88888888889	487.581699346423	400.0
