	y1	y2	y3	y4	y5	y6
0	0.014	0.006	0.0	0.0	0.0001	0.0
1	0.8773229033471522	1.771421649838835	3.9263965010863916e-06	0.17156368153418702	7.880486475079103e-07	0.09732765544858075
2	0.8233071105926445	3.8486664900916447	3.3794381568746967e-06	0.3920329931712812	1.0474689772655012e-08	0.17312650972644258
3	0.7219646528456932	5.6629534709249825	2.64126229416526e-06	0.6045579569972246	2.399113953861435e-10	0.2321587167939549
4	0.6211734562630903	7.179015147888429	2.057364335957146e-06	0.8019162115023198	9.177268413050752e-12	0.27813304588456567
5						
6						
7						
8						
9						
10						
11						
12						
13						
14						
15						
16						
17						
18						
19						
20						
21						
22						
23						
24						
25						
26						
27						
28						
29						
30						
31						
32						
33						
34						
35						
36						
37						
38						
39						
40						
41						
42						
43						
44						
45						
46						
47						
48						
49						
50						
51						
52						
53						
54						
55						
56						
57						
58						
59						
60						
61						
62						
63						
64						
65						
66						
67						
68						
69						
70						
71						
72						
73						
74						
75						
76						
77						
78						
79						
80						
81						
82						
83						
84						
85						
86						
87						
88						
89						
90						
91						
92						
93						
94						
95						
96						
97						
98						
99						
100						
