	AA	Cn	DFG	E1	E2	FA	Fru	Glu	Gly	MG	Man	Mel	_1DG	_3DG
0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.035770563246668684	0.26489610716929723	8.361389131402204	0.07665893832713389	0.21721668116543905	0.004406611022940955	0.0031734566751573483	0.009552435714268068	0.3445344921117141	0.004285189372668824	0.005975085543257581	0.00020075699351938722	0.018839965190995567	0.006205456921797591
2	0.15314995429614978	0.503237566868148	7.768092022970085	0.11650403160053771	0.34005807746812583	0.017365410372533002	0.010805642689778969	0.03185169082627509	0.7736309938034686	0.016566479364015015	0.019937010122467073	0.00171487415779526	0.034774664737867736	0.01907553325426955
3	0.32368838514941917	0.7164583345997693	7.216893356954897	0.13498813161003873	0.4039250113730244	0.03825965952808393	0.020877493775367992	0.0604401794096002	1.2382429819460496	0.036025029018644246	0.037859385664276254	0.005950518116007456	0.04341630262039574	0.033268270217784966
4	0.5240249973742934	0.9053395429200484	6.704805964147924	0.14121227999379066	0.43127184751571995	0.06629694841433918	0.03213217032925921	0.09159149024445695	1.7085622112513659	0.06187526132000966	0.05741749728740434	0.01414769709121875	0.047408935211952094	0.046225890789622644
5	0.7393321697932738	1.0705412620283248	6.229054635198557	0.14052727105867696	0.43631827664526707	0.10061249930743338	0.04379596956122188	0.12318632894349522	2.1668558736980392	0.09335357236465887	0.07728803930645299	0.02724394339947853	0.048547039269864874	0.05690613785263485
6	0.9603090843205505	1.2128444901884714	5.78706108062886	0.1360703292844297	0.4280478879988446	0.14033111757275826	0.05540083352283623	0.15404895022492224	2.60297936301907	0.12971888568316414	0.09673572064563166	0.04584133906880164	0.04796779566131962	0.06506025656576579
7	1.1811609008370363	1.3332358573655663	5.376429958036765	0.12967273928768885	0.4121163420116771	0.18460398878895137	0.06667151093683267	0.18355558296355806	3.0115551144358803	0.17025814100857534	0.11536931276313192	0.07022584622799155	0.04638799196832449	0.07082810982108041
8	1.3983152456555203	1.4329105483710685	4.994935890763744	0.12239588902781104	0.3920655496205782	0.2326300021979456	0.07745386059215476	0.21140349962769972	3.3901912569653794	0.21429302788064608	0.13299777411967317	0.10041141362248965	0.04425728788429274	0.07451606639769429
9	1.6096089093854722	1.513236424215552	4.640511407675863	0.11484781484188096	0.37009616156468045	0.2836674225798814	0.08766933186922214	0.23747495559390108	3.7383514473016657	0.26118611127877633	0.14954547605550106	0.13619316861592232	0.04185578564029168	0.0764792532406334
10	1.8137727132974204	1.575703422548107	4.311235738698736	0.1073700906613406	0.3475589524225789	0.33703945506524424	0.09728609842800305	0.26175714544308065	4.0566343380517935	0.3103455359314541	0.16500232610224824	0.17720088016556435	0.039356099943777305	0.07706261315537605
11	2.010105278299218	1.6218712601229113	4.005324405385372	0.10014813322566693	0.3252673070165854	0.39213589933130927	0.10630078380466411	0.28429522654758205	4.346312158046312	0.36122807028915116	0.17939449186368975	0.22294799632607498	0.03686283366836821	0.07657445469773534
12	2.198266373613185	1.6533220026964066	3.7211195501032344	0.09327627377085311	0.30369586097984114	0.4484122854967037	0.11472692157457688	0.3051648545970608	4.609034264087017	0.413340553369458	0.19276728092548334	0.2728740510590648	0.03443767487548992	0.0752774236775895
13	2.378145897406741	1.671620341797042	3.4570809514312715	0.0867961153098947	0.28310669838626107	0.5053873976077524	0.12258769545063458	0.32445622508911265	4.846636506437124	0.46623995171501126	0.20517518931329076	0.32637972843545104	0.03211534410377639	0.07338836738381527
14	2.5497806539287162	1.6782823228752635	3.211777677074999	0.08071911481562793	0.26362945735639176	0.5626397901185772	0.12991139745037522	0.342264892872452	5.061019011196181	0.5195322873994362	0.21667617313276394	0.3828547395568023	0.02991371990390318	0.07108234831359317
15	2.7133013160667843	1.6747521480862797	2.9838803290639073	0.07503985204552603	0.24531211433138933	0.6198037118259815	0.13672861046074058	0.3586865781704394	5.254068566051998	0.5728707019044611	0.22732840429606319	0.4416991385071831	0.02784026068149961	0.06849823836869036
16	2.8688984451093464	1.6623861328309748	2.77215383920442	0.06974380175215368	0.2281531201578843	0.6765647262112049	0.14307048314477044	0.37381431126777825	5.427610314027583	0.6259528989065335	0.23718848375973878	0.5023389248579496	0.02589607083178027	0.06574455977854086
17	3.0168005458793172	1.6424426873774585	2.5754507757442964	0.06481186357781918	0.21212168022693412	0.7326552315906614	0.1489676952678311	0.3877369436028445	5.583378833530917	0.6785181757612846	0.24631050655050019	0.5642368469200375	0.024078469017334705	0.06290493000626265
18														
19														
20														
21														
22														
23														
24														
25														
26														
27														
28														
29														
30														
31														
32														
33														
34														
35														
36														
37														
38														
39														
40														
41														
42														
43														
44														
45														
46														
47														
48														
49														
50														
51														
52														
53														
54														
55														
56														
57														
58														
59														
60														
61														
62														
63														
64														
65														
66														
67														
68														
69														
70														
71														
72														
73														
74														
75														
76														
77														
78														
79														
80														
81														
82														
83														
84														
85														
86														
87														
88														
89														
90														
91														
92														
93														
94														
95														
96														
97														
98														
99														
100														
