id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	223.96249999999802	227.7759313583374	74	110	0.0	
{Bungay2006}_{Bungay2006}	148.9120000000015	152.6501178741455	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	91.4444999999983	94.28524971008301	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	46.57888412475586	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	2003.0466318130493	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	15.744499999999961	16.43991470336914	45	166	0.0	
{Hui2014}_{Hui2014}	20.73500000000004	21.335482597351074	65	113	0.0	
{Lai2014}_{Lai2014}	30.7214999999998	31.54611587524414	195	27	0.0	
{Leber2015}_{Leber2015}	259.2560000000008	259.72449779510504	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	28.395499999984327	32.236337661743164	86	300	0.0	
{Liu2011}_{Liu2011}	580.9929999999713	584.0663909912108	42	89	0.0	
{ODea2007}_{ODea2007}	6.842500000000037	7.202625274658202	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	96.20049999999992	96.58992290496826	90	20	0.0	
{Pathak2013}_{Pathak2013}	5.173000000000066	5.778789520263673	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	4.8595000000000015	5.473732948303223	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	0.0	30.598878860473643	25	87	-1.0	
{Proctor2010a}_{Proctor2010a}	0.0	160.17830371856692	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	63.63725662231445	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	157.4958562850952	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	222.72800000000146	224.66933727264404	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	57.19849999999995	59.54015254974365	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	62.34860420227051	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	12.712500000000064	13.17918300628662	50	56	0.0	
{Ueda2001}_{Ueda2001}	3.1995	3.5114288330078125	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	172.6536750793457	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	27.152419090271	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	10.383500000000176	11.859893798828125	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	3.1829999999999226	4.3997764587402335	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	3.1585000000001986	4.330873489379884	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	3.0685000000002622	4.177570343017578	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	3.07650000000028	4.216432571411134	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	3.4360000000000905	4.596948623657227	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	3.2579999999998996	4.377484321594238	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	3.455000000000439	4.586338996887207	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	2.5695000000000268	3.68046760559082	4	8	0.0	
{bachmann2011}_{bachmann}	558.6140000000064	561.8640184402467	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	611.1164999999967	613.4306192398071	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	5.140999999999053	6.315827369689941	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.5770000000001332	2.6650428771972656	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	2.269999999999073	3.371000289916992	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.745999999999789	2.8553009033203125	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	717.4469999999893	721.3866710662842	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	11.927499999999116	13.155817985534668	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	8.334000000000124	10.51485538482666	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	38.22949999999811	39.76607322692871	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	21.01049999999913	22.64249324798584	5	13	0.0	
{borghans1997_fig8-user}_{model0_borghans2}	13.5874999999981	15.555620193481445	4	17	0.0	
{brands2002_fig2-user}_{model0_brands1}	2.0259999999996	3.2118558883666988	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	252.0259999999921	254.86958026885983	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	137.9079999999998	141.04783535003662	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	86.96400000000034	89.44272994995117	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	155.01699999999232	158.39827060699463	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	5.079999999999249	6.772041320800781	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	1.910999999998692	3.039479255676268	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	351.917499999997	358.6019277572632	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	351.34649999997964	359.0012788772583	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	3.445999999999959	4.854440689086914	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	7.085500000001672	8.575081825256348	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	3.5189999999999446	4.740715026855469	7	14	0.0	
