id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	62.320000000006296	65.31178951263428	74	110	0.0	
{Bungay2006}_{Bungay2006}	76.02799999999831	79.21791076660156	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	36.18350000000311	38.641095161437995	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	72.63099999999993	73.28939437866211	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	255.56149999999963	329.0616273880005	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	4.375499999999967	4.968762397766113	45	166	0.0	
{Hui2014}_{Hui2014}	11.045000000000133	11.562824249267578	65	113	0.0	
{Lai2014}_{Lai2014}	21.258999999999983	22.077322006225586	195	27	0.0	
{Leber2015}_{Leber2015}	0.0	0.7991790771484375	23	51	-2.0	
{Levchenko2000a}_{Levchenko2000a}	21.20699999998778	24.97982978820801	86	300	0.0	
{Liu2011}_{Liu2011}	31.72049999999935	34.06500816345215	42	89	0.0	
{ODea2007}_{ODea2007}	1.6630000000000038	1.9423961639404297	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	22.846999999999863	23.19610118865967	90	20	0.0	
{Pathak2013}_{Pathak2013}	4.4970000000000425	5.061864852905273	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	4.297499999999999	4.9033164978027335	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	5.005499999999978	5.359411239624023	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	244.7750000000019	245.85676193237305	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	81.0320000000001	81.69126510620117	75	131	0.0	
{Qi2013a}_{Qi2013a}	246.4910000000013	247.58875370025643	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	17.492999999999967	18.49555969238281	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	52.44249999999977	54.62372303009033	240	272	0.0	
{Singh2006}_{Singh2006}	110.231	110.89003086090088	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	7.230500000000003	7.597565650939941	50	56	0.0	
{Ueda2001}_{Ueda2001}	4.697999999999982	5.005240440368652	13	66	0.0	
{Ung2008}_{Ung2008}	85.15299999999962	87.29135990142822	194	313	0.0	
{Yang2007}_{Yang2007}	18.174500000000023	18.545150756835934	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	10.344499999998646	11.737346649169922	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	0.0	1.5186071395874023	5	12	-2.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	0.0	1.8514394760131843	5	13	-2.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	7.669500000000751	8.8653564453125	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	7.521499999996895	8.649349212646483	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	7.403499999997635	8.544087409973145	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	7.177500000001771	8.322238922119139	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	7.328000000001451	8.465766906738281	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	4.553000000001148	5.623340606689453	4	8	0.0	
{bachmann2011}_{bachmann}	18.96599999999819	20.70856094360352	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	16.07049999999532	17.815113067626953	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	10.445499999997724	11.61181926727295	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.5859999999991992	2.6502609252929688	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	5.022500000000804	6.11424446105957	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.6070000000000118	2.6901960372924805	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	14.838499999998643	16.794800758361813	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	20.35299999999887	21.567821502685547	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	17.160499999999534	19.320368766784668	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	46.791500000002316	48.13182353973389	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	32.40299999999969	34.006714820861816	5	13	0.0	
{borghans1997_fig8-user}_{model0_borghans2}	23.06749999999729	25.043487548828125	4	17	0.0	
{brands2002_fig2-user}_{model0_brands1}	2.5294999999996577	3.722071647644043	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	187.37600000000407	189.50176239013672	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	67.47049999999922	70.81484794616698	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	35.55100000000132	38.21170330047608	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	76.96049999999707	80.40475845336914	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	4.219999999998842	5.989193916320801	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	2.5650000000005093	3.67891788482666	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	39.276999999994466	45.52865028381348	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	39.47199999999813	45.77910900115967	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	4.5080000000016165	5.877852439880371	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	13.485999999999112	14.982461929321287	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	5.475500000000206	6.693601608276367	7	14	0.0	
{essunger1994_fig4}_{model0_essunger2}	8.584999999997336	9.817719459533693	7	16	0.0	
{essunger1994_fig5}_{model0_essunger3}	7.766999999997097	9.138822555541992	7	17	0.0	
{essunger1994_fig6-user}_{model2_essunger3}	12.089499999997173	13.364315032958984	7	17	0.0	
{essunger1994_fig8}_{model0_essunger6}	8.473500000000358	9.750723838806152	7	17	0.0	
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	2.293500000000675	3.8453340530395512	6	29	0.0	
{fisher2006_fig3a}_{fisher1}	3.4269999999992233	4.906415939331055	14	22	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	21.555499999997405	23.096919059753407	6	8	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	20.864499999998586	22.371888160705566	6	8	0.0	
{fuentes2005_fig1a-user}_{model0_fuentes1}	1.4284999999997527	2.485036849975586	4	4	0.0	
