id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	49.68149999998997	52.65927314758301	74	110	0.0	
{Bungay2006}_{Bungay2006}	43.496500000004566	46.42963409423828	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	22.582500000010608	25.04706382751465	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	45.92399999999986	46.55587673187256	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	0.0	1920.9382534027102	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	3.6010000000000204	4.2198896408081055	45	166	0.0	
{Hui2014}_{Hui2014}	5.886499999999997	6.378650665283202	65	113	0.0	
{Lai2014}_{Lai2014}	22.0709999999998	22.86076545715332	195	27	0.0	
{Leber2015}_{Leber2015}	16.364000000000033	16.687393188476562	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	15.012499999991505	18.92077922821045	86	300	0.0	
{Liu2011}_{Liu2011}	31.248500000009074	33.59925746917725	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	1.6756057739257812	49	141	-4.0	
{ODea2007}_{ODea2007}	1.6900000000000404	1.9944906234741209	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	18.3070000000001	18.672585487365726	90	20	0.0	
{Pathak2013}_{Pathak2013}	1.5270000000000021	2.1059513092041016	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	1.032499999999997	1.609086990356445	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	16.088999999999746	16.544938087463382	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	225.52149999999972	226.40585899353027	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	0.0	58.753132820129395	75	131	-1.0	
{Qi2013a}_{Qi2013a}	224.43399999999986	225.314736366272	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	27.742999999999824	28.88786792755127	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	21.223000000000027	23.330211639404297	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	61.81979179382324	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	4.7579999999999885	5.1174163818359375	50	56	0.0	
{Ueda2001}_{Ueda2001}	1.028999999999998	1.3161897659301758	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	137.41981983184814	194	313	-1.0	
{Yang2007}_{Yang2007}	30.996999999999872	31.409621238708496	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	3.115999999999397	4.385948181152344	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	1.7789999999999218	2.904891967773437	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	1.7955000000002062	2.9217004776000977	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	1.6119999999999541	2.6848316192626958	5	7	0.0	
