id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	195.18750000003	197.8422403335572	74	110	0.0	
{Bungay2006}_{Bungay2006}	125.8364999999963	128.52418422698977	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	58.800499999995615	61.06698513031006	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	1982.115499999989	1982.926845550537	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	0.0	19588.2169008255	1396	4704	-4.0	
{Holzhutter2004}_{Holzhutter2004}	45.03449999999947	45.705199241638184	45	166	0.0	
{Hui2014}_{Hui2014}	9.659999999999988	10.115861892700195	65	113	0.0	
{Lai2014}_{Lai2014}	31.240499999999088	31.8981409072876	195	27	0.0	
{Leber2015}_{Leber2015}	79.39599999999976	79.73146438598633	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	24.157000000000373	27.6111364364624	86	300	0.0	
{Liu2011}_{Liu2011}	170.88049999998654	173.0867624282837	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	2.169728279113769	49	141	-10.0	
{ODea2007}_{ODea2007}	6.136000000000068	6.596088409423827	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	154.09050000000067	154.4555425643921	90	20	0.0	
{Pathak2013}_{Pathak2013}	3.9180000000000064	4.467606544494629	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	3.560000000000024	4.101395606994629	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	119.50250000000015	119.9636459350586	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	0.0	505.3485631942749	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	654.0630000000074	654.8506021499634	75	131	0.0	
{Qi2013a}_{Qi2013a}	0.0	501.3096332550049	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	305.25299999999737	306.21981620788574	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	27.4435000000001	29.15477752685547	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	577.0056247711183	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	15.045999999999907	15.356779098510742	50	56	0.0	
{Ueda2001}_{Ueda2001}	3.065000000000003	3.3550262451171875	13	66	0.0	
{Ung2008}_{Ung2008}	1549.0055000000086	1550.7497787475586	194	313	0.0	
{Yang2007}_{Yang2007}	790.2824999999975	790.7091379165649	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	5.556999999996828	6.831765174865723	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	1.592499999999724	2.7151107788085938	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	1.7370000000000925	2.841949462890625	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	1.4744999999986703	2.538323402404785	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	1.4724999999994508	2.5402307510375977	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	1.845500000000193	2.9245615005493164	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	1.4904999999997646	2.5680065155029297	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	1.8330000000008884	2.9208660125732417	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	1.35599999999942	2.4363994598388667	4	8	0.0	
{bachmann2011}_{bachmann}	58.206999999993066	59.87894535064697	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	43.21649999998414	44.83437538146973	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	2.0835000000002086	3.215312957763672	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.4339999999999424	2.4695396423339844	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	1.5454999999998664	2.6271343231201167	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.4515000000001097	2.523183822631836	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	1523.0604999996908	1525.2724885940552	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	4.209500000000098	5.33902645111084	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	3.7069999999981498	5.697131156921388	4	21	0.0	
