observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
3PG			2.969047619047619	0	NaN			
3PG			2.375396825396826	20	NaN			
3PG			1.8285714285714287	40	NaN			
3PG			1.3246031746031748	60	NaN			
3PG			0.8373015873015873	80	NaN			
3PG			0.5047619047619047	100	NaN			
3PG			0.15396825396825398	120	NaN			
3PG			0.07063492063492063	150	NaN			
stdev			0.1986633337619347	0	NaN			
stdev			0.021325442607213575	20	NaN			
stdev			0.08305698699651512	40	NaN			
stdev			0.030304576336566216	60	NaN			
stdev			0.028059792904228133	80	NaN			
stdev			0.029182184620397175	100	NaN			
stdev			0.017958267458705983	120	NaN			
stdev			0.023570226039551587	150	NaN			
PYR			0.3416666666666667	0	NaN			
PYR			0.9714285714285715	20	NaN			
PYR			1.7694444444444448	40	NaN			
PYR			2.4380952380952383	60	NaN			
PYR			3.043650793650794	80	NaN			
PYR			3.5325396825396824	100	NaN			
PYR			3.6690476190476193	120	NaN			
PYR			3.6793650793650796	150	NaN			
stdev.1			0.0061731544389301545	0	NaN			
stdev.1			0.024692617755720698	20	NaN			
stdev.1			0.023009030181467098	40	NaN			
stdev.1			0.05050762722761004	60	NaN			
stdev.1			0.021325442607213262	80	NaN			
stdev.1			0.04377327693059596	100	NaN			
stdev.1			0.23009030181467002	120	NaN			
stdev.1			0.19754094204576558	150	NaN			
BPG			0.032857142857142856	0	NaN			
BPG			0.03777777777777778	20	NaN			
BPG			0.03420634920634921	40	NaN			
BPG			0.04	60	NaN			
BPG			0.024444444444444442	80	NaN			
BPG			0.0338095238095238	100	NaN			
BPG			0.009682539682539681	120	NaN			
BPG			0.0054761904761904765	150	NaN			
stdev.2			0.0031426968052735427	0	NaN			
stdev.2			0.016611397399303	20	NaN			
stdev.2			0.016723636570919916	40	NaN			
stdev.2			0.011672873848158877	60	NaN			
stdev.2			0.0	80	NaN			
stdev.2			0.015713484026367734	100	NaN			
stdev.2			0.0035916534917411944	120	NaN			
stdev.2			0.007744502841566949	150	NaN			
GAP			0.08313492063492064	0	NaN			
GAP			0.18015873015873018	20	NaN			
GAP			0.16309523809523813	40	NaN			
GAP			0.1876984126984127	60	NaN			
GAP			0.15376984126984128	80	NaN			
GAP			0.12202380952380953	100	NaN			
GAP			0.09742063492063494	120	NaN			
GAP			0.05972222222222223	150	NaN			
stdev.3			0.02609560740093212	0	NaN			
stdev.3			0.08025100770609227	20	NaN			
stdev.3			0.004489566864676496	40	NaN			
stdev.3			0.05219121480186424	60	NaN			
stdev.3			0.05359420444707566	80	NaN			
stdev.3			0.09063313108065665	100	NaN			
stdev.3			0.026095607400932055	120	NaN			
stdev.3			0.02721799911710121	150	NaN			
