	A	E	G	R
0	1.0	0.0	100000000.0	0.0
1	2.828187478436226	3758.6205535345016	1370805.425618619	879.0072681074347
2	2.4870308384364894	5957.177110782552	2295951.0338656553	1553.1815343845985
3	2.466041914180917	7235.832552536149	2838180.377497704	2036.4545938383453
4	2.5786161017060873	8172.412903912241	3223864.094261936	2441.5957927582017
5	2.7506481770923834	8995.365398030643	3556200.955710468	2825.213602177943
6	2.953078701707334	9797.171972710687	3876870.556103104	3215.5722689937543
7	3.1729067881998896	10614.577222356551	4202537.517157507	3627.6530462002265
8	3.4046385909182013	11461.070998066652	4539466.496178479	4070.354972380528
9	3.6446165719195536	12340.02071294624	4889250.376277471	4549.2347961040905
10	3.891672354875058	13251.069590362784	5251962.014807348	5067.324713761536
11	4.143367703679714	14190.733752323375	5626287.739967446	5626.819744405078
12	4.397954320575203	15154.703851052196	6010598.287017925	6228.254727478768
13	4.653621653545359	16137.910521046319	6402899.3931113975	6871.214085021863
14	4.9081616175746	17133.56709645563	6800509.106085482	7553.991071743081
15	5.159472479231008	18134.66204704613	7200663.683731625	8273.66896050848
16	5.405441732702962	19133.59945565802	7600343.222949462	9026.046745075448
17	5.644053320779784	20122.620311561783	7996441.580251105	9805.727017875472
18	5.8734284193451085	21093.95190465183	8385858.491334448	10606.297203201426
19	6.091891356886383	22040.034495872333	8765558.617649188	11420.514941456931
20	6.298052917384134	22953.78402837206	9132658.806852581	12240.438540509647
21	6.490818022124205	23828.812344594495	9484583.659809941	13057.845382875797
22	6.669404800107987	24659.66599643484	9819133.565518646	13864.56269951525
23	6.8333831146095845	25441.874066167213	10134394.134683885	14652.659588864055
24	6.98266033967951	26172.084627679746	10428982.683636785	15414.80182825621
25	7.117392806979173	26848.147075636687	10702131.028459597	16144.53923480206
26	7.238042731950299	27469.105424592304	10953201.675776148	16836.439378218016
27	7.345290711197656	28034.913663656083	11182080.849041773	17486.178975222476
28	7.439894968040298	28546.61308337724	11389443.150051298	18090.857951473256
29	7.522757180506587	29006.023334270227	11575757.702301716	18648.565156751552
30	7.594941240389477	29415.617057529696	11741853.845319722	19158.569026583817
31	7.65743047221122	29778.423703861747	11889254.96044588	19621.26614744177
32	7.71119967510862	30097.799925972497	12019105.624559047	20037.787151652876
33	7.757299931523011	30377.27681200994	12132745.624502227	20409.99739355209
34	7.796611210949006	30620.54037478495	12231804.171974286	20740.43498571871
35	7.829991666205223	30831.1816401617	12317548.390220184	21031.843849464673
36	7.858261359462776	31012.71577492483	12391583.406131689	21287.33418219944
37	7.882076064373265	31168.481337541747	12455035.146590687	21510.11945366839
38	7.902128503824466	31301.578968555026	12509404.93382559	21703.315384566995
39	7.918907457741448	31414.890733299177	12555571.955234602	21870.139326646604
40	7.9329763181951485	31511.006459927667	12594911.984407386	22013.446065117343
41	7.944672230984864	31592.288280648114	12628008.640097668	22136.160628263955
42	7.954508422542643	31661.00769389525	12656053.540716385	22240.868772506292
43	7.962685934094445	31718.822889863713	12679866.989451751	22329.862312563473
44	7.9694411138052095	31767.31769271736	12699465.741374852	22405.274415373326
45	7.975064685855866	31807.888823368645	12716414.642157027	22468.952254020154
46	7.9796472417762345	31841.75769645946	12729727.715654714	22522.61746559109
47	7.983517955242458	31869.940241050896	12742090.151884831	22567.611953472668
