	A	I1	I2	S
0	1800.0	5400.0	4500.0	15300.0
1	4676.989537028435	15978.703823985614	4646.792787097885	188.5780772111066
2	5105.957503255405	12674.762874343394	4503.882945094257	233.35037828587272
3	4728.116522022716	10546.115576525699	4178.312980990046	277.43649106731345
4	4217.861090799363	9177.025650157615	3802.4677256629084	317.66427108460283
5	3769.9683947886906	8299.003425534598	3442.3844181164422	351.8621279227753
6	3422.0711636540505	7738.100169467046	3126.8317741106007	379.1904212853825
7	3165.0632940786686	7381.388237180823	2864.4587189176555	399.942884573287
8	2979.638866561261	7155.579268525626	2653.742101038692	415.0959034721078
9	2847.4544612738828	7013.265122928237	2488.6222970386	425.8429950870872
10	2753.8162634762057	6923.94266691404	2361.5731437370823	433.3134838354973
11	2687.7045454821523	6868.090452273906	2265.178377820629	438.4381787060739
12	2641.107139540821	6833.293130134311	2192.84463320125	441.9246656911316
13	2608.287294404756	6811.686139522982	2139.043455243591	444.2863146663214
14	2585.1766924956796	6798.318227146926	2099.3137916992914	445.8827665948448
15	2568.9015097308998	6790.07942366702	2070.1489014021636	446.96168356079454
16	2557.437048129147	6785.023349705815	2048.84497989129	447.69147788187337
17	2549.3590709453883	6781.936035841098	2033.3484611797792	448.1860193343295
18	2543.664105266522	6780.060766554732	2022.1146309270343	448.5218218165404
19	2539.647958102719	6778.929890500917	2013.9956862632746	448.75022304272625
20	2536.8146202753455	6778.253292418201	2008.1430183742036	448.90612404270826
21	2534.8148128478892	6777.852454821062	2003.9329513788807	449.0128819043934
22	2533.402949268564	6777.61856272754	2000.9104275305235	449.08575444677405
23	2532.4058543286287	6777.4843566347145	1998.7440333774346	449.1357204225803
24	2531.701578724323	6777.408270031405	1997.1935826935398	449.1709233108299
25	2531.2039325253745	6777.3673882155845	1996.085323929579	449.19475203020073
26	2530.852263295601	6777.34625208495	1995.294074270513	449.2113009511707
27	2530.6036660990717	6777.336238117645	1994.729637200224	449.2227844936753
28	2530.4279383816465	6777.332276178238	1994.3274217096223	449.230768101659
29	2530.3035978898056	6777.331434833533	1994.0408000813115	449.23632649959626
30	2530.2157003962457	6777.332094245958	1993.8368898829347	449.2401984603039
31	2530.153330409855	6777.333331185422	1993.6914041986274	449.2429122061319
