	A	I1	I2	S
0	200.0	5000.0	1000.0	3800.0
1	657.1885462578257	6117.716759540109	1012.2420239385578	4216.184931761132
2	1008.0745687645831	7261.793424483408	1040.8395559970743	4434.565538710917
3	1301.7355671485027	8378.096581985306	1085.662861878891	4510.375190584143
4	1560.1825047553584	9419.97927689176	1146.1136595273763	4497.978820979686
5	1791.885566924851	10356.73781217929	1221.2368548321792	4440.769456704847
6	1999.4777155194968	11174.418257834646	1309.8766431961415	4368.155865291832
7	2183.7640749865077	11872.186105963572	1410.81558683076	4297.223084513431
8	2345.4952420789173	12457.48232600544	1522.8702906958556	4236.198428861345
9	2485.924196399363	12941.784320221015	1644.9439063779737	4187.914305175657
10	2606.7903031851365	13337.858663867633	1776.0438472893961	4152.249741827486
11	2710.129018561582	13658.041743546151	1915.2818119855594	4127.814568383517
12	2798.0581842519955	13913.488663438704	2061.86155610371	4112.83638697607
13	2872.623912797514	14113.920331309984	2215.0642709402277	4105.596355143373
14	2935.708001347159	14267.649318878843	2374.2335077961825	4104.605625034179
15	2988.9825604921916	14381.704546443914	2538.7628939435117	4108.65138234701
16	3033.9046746419294	14462.027778232312	2708.085034287884	4116.772579127805
17	3071.726195902614	14513.646074466884	2881.6635451034713	4128.219385387888
18	3103.5153207822564	14540.830581965007	3058.9869833095154	4142.407547206782
19	3130.180684399576	14547.223474418086	3239.5657800545273	4158.880547831669
20	3152.493578430493	14535.949652912563	3422.928350718189	4177.275928138897
21	3171.110343640571	14509.699828222487	3608.6202681821987	4197.302214718218
22	3186.589700136197	14470.80141635472	3796.2032185045955	4218.7200429782615
23	3199.40889379359	14421.273891416027	3985.2549688223985	4241.329085779103
24	3209.9760038006	14362.874761119354	4175.369440124885	4264.958073001823
25	3218.640995349091	14297.136521211958	4366.157184120862	4289.457874017499
26	3225.7042400355226	14225.397461322696	4557.24588915363	4314.6963782713265
27	3231.4240069249254	14148.827084982799	4748.280989565611	4340.554917692312
28	3236.0223793964847	14068.447563466685	4938.926217568149	4366.925654169729
29	3239.690296759215	13985.151383169978	5128.864100893836	4393.70978439864
30	3242.5921247716365	13899.718218769181	5317.796432912748	4420.816051848118
31	3244.868916173638	13812.826773773391	5505.444495032266	4448.159974566928
32	3246.6415351516644	13725.06684436637	5691.549010134464	4475.663203872969
33	3248.0133601543444	13636.94930116857	5875.870574454727	4503.25279016402
34	3249.0725085745257	13548.914990758574	6058.189229432791	4530.861008509118
35	3249.8938075990122	13461.342442415214	6238.304329644528	4558.425064926526
36	3250.5404865261344	13374.554890735055	6416.034122076726	4585.886813757996
37	3251.0656709016585	13288.826315085187	6591.215289966708	4613.192662328927
38	3251.5136718977737	13204.387009915255	6763.702340016296	4640.293387781169
39	3251.9211361685957	13121.4284891403	6933.3669667676195	4667.143988347134
40	3252.3180461529005	13040.107925432161	7100.097290767066	4693.703568025799
41	3252.7286078771017	12960.552135391876	7263.797084539334	4719.935187195912
42	3253.1720327863595	12882.861189588375	7424.384931260102	4745.8057151136745
43	3253.6632297462315	12807.111641698068	7581.793369895919	4771.28568830545
44	3254.2134150161783	12733.359465436357	7735.968014817481	4796.349145515124
45	3254.8306545263054	12661.642689806813	7886.86668050569	4820.973461476729
46	3255.520335822812	12591.9837575458	8034.458499839091	4845.139177735874
47	3256.28559296996	12524.391671784437	8178.723067949081	4868.829821057809
48	3257.1276757649925	12458.863903045598	8319.649605253495	4892.0317192861
49	3258.046273582921	12395.388096337894	8457.23613166662	4914.733826413531
50	3259.039800826927	12333.943598108559	8591.48869508941	4936.927529651522
51	3260.1056453409774	12274.502816527625	8722.420619196508	4958.606464478054
52	3261.2403847326323	12217.03240751947	8850.051797524562	4979.7663462504825
53	3262.43997246062	12161.49435227423	8974.408020456198	5000.404781087805
