	A	I1	I2	S
0	500.0	10000.0	2000.0	2500.0
1	954.2592212555968	8186.483911123665	4332.656922160863	2455.538915366602
2	1136.5754632742037	6762.502309591057	5941.466384550001	2704.149691987253
3	1209.0003424880092	5744.99398964091	7025.993123008546	3050.508828414635
4	1237.6405115305697	5050.242218265539	7748.881647228841	3423.275099024908
5	1249.5220430355103	4595.1907382841755	8229.941073617254	3787.7657566853836
6	1256.0020776870851	4314.14551948108	8554.38619996409	4123.808740175164
7	1262.0296885126108	4157.677239307218	8781.655604466232	4419.331764806681
8	1269.7674050167998	4088.657331486677	8952.356840921557	4668.183811932375
9	1280.0284320920518	4078.8421149465357	9093.358358263094	4869.029466068064
10	1292.8860582148297	4106.55002254968	9221.495988500094	5024.377329135823
11	1307.9781332652794	4155.238013527087	9346.338829510627	5139.506903774248
12	1324.6995108960798	4212.64065448523	9472.328021245177	5221.324071210517
13	1342.3455552119703	4270.164731837071	9600.47775326079	5277.278277610856
14	1360.2222050911432	4322.344612504916	9729.722744341301	5314.476744442018
15	1377.7234311746552	4366.264838590929	9857.95436494535	5339.082892911001
16	1394.3760870161698	4400.945296972123	9982.773242980456	5356.008475693377
17	1409.8547664053106	4426.738402945866	10101.97973568051	5368.859007059431
18	1423.974709327015	4444.79877273844	10213.850326054397	5380.045524800051
19	1436.6699946701806	4456.641544904881	10317.243429031858	5391.004914800595
20	1447.9643247321192	4463.842129229448	10411.587678106223	5402.438015390786
21	1457.9442450367937	4467.832892326164	10496.806863928483	5414.539861560028
22	1466.730456075094	4469.8051561662705	10573.202164465254	5427.196582166984
23	1474.4621712286673	4470.671649154419	10641.33984024971	5440.132204282684
24	1481.2756870816418	4471.077730014131	10701.939049927734	5453.02004157717
25	1487.3038876924709	4471.439041498112	10755.787149786884	5465.547340974323
26	1492.6578153020769	4471.9861689762765	10803.671638110212	5477.458263959356
27	1497.4427105232328	4472.817263564182	10846.335823743811	5488.567064504703
28	1501.7319041962596	4473.937402666774	10884.45311693771	5498.7624655926775
29	1505.6055144382726	4475.300658772196	10918.612899234404	5507.997194662766
30	1509.100657388062	4476.831767584898	10949.321549786737	5516.278103974439
31	1512.2764941123019	4478.452234575132	10977.004957949845	5523.649035174929
32	1515.159821960511	4480.087604137971	11002.019809227877	5530.18003886674
33	1517.7806005941875	4481.677761174489	11024.662812522987	5535.954243527697
34	1520.1627522450738	4483.178674245286	11045.182023583357	5541.0589470791
35	1522.3269360284733	4484.561456498294	11063.788569754337	5545.579293284404
36	1524.2913678877908	4485.811216884526	11080.663206792726	5549.594158952005
37	1526.0725549340325	4486.924443168661	11095.963492689432	5553.17336123386
38	1527.6857418093814	4487.905800433936	11109.829316138552	5556.376976511775
39	1529.1451815203336	4488.76528785982	11122.386902179811	5559.2554720361195
40	1530.464259455659	4489.51581480613	11133.751510777513	5561.8505891486575
41	1531.6555410116096	4490.171332313088	11144.029215559403	5564.196564716361
42	1532.7307775507309	4490.7455021765545	11153.318032079766	5566.3214585615815
43	1533.7008973048394	4491.250849215383	11161.708612840996	5568.2484280266735
44	1534.5759971780024	4491.69830833492	11169.284683311842	5569.996853644731
45	1535.3653448472694	4492.097069425907	11176.123345863642	5571.583270841232
46	1536.0773947933992	4492.454627628801	11182.29533738994	5573.02209854078
47	1536.719818402718	4492.776959359377	11187.865292113533	5574.326179113189
48	1537.2995459728052	4493.068760985974	11192.892035052848	5575.507157256984
49	1537.8228174270776	4493.3337040438355	11197.428913326896	5576.575730774072
50	1538.2952382549245	4493.574676347018	11201.524160895084	5577.54180612169
51	1538.7218374668262	4493.79399123957	11205.221286083	5578.414588198569
52	1539.1071249000806	4493.993557125503	11208.559468928792	5579.20262866537
53	1539.4551458834035	4494.175006410894	11211.573955708407	5579.91385141067
54	1539.7695322545355	4494.339785864589	11214.296442714316	5580.555570839822
55	1540.053547716334	4494.48922055652	11216.755430579291	5581.134502540703
56	1540.310128452741	4494.624553134325	11218.97655158721	5581.656776692249
57	1540.5419211113067	4494.7469540281645	11220.982886792855	5582.127974049936
58	1540.7513129804063	4494.857534645675	11222.795228736459	5582.553149165357
59	1540.9404598814451	4494.957347365789	11224.432324575833	5582.936865105096
60	1541.1113101171788	4495.047382863037	11225.911090344787	5583.283230847144
61	1541.2656254157773	4495.128566550422	11227.246800066883	5583.595940165424
62	1541.404999298312	4495.201755686504	11228.45325253743	5583.878310478842
63	1541.5308733001118	4495.267737948611	11229.542918621162	5584.133320403301
64	1541.6445513992592	4495.327231739325	11230.527071735067	5584.363645084671
65	1541.7472129406215	4495.380888141532	11231.415903904108	5584.571688725716
66	1541.8399242836822	4495.429294234583	11232.21862945074	5584.759614014868
67	1541.9236493517171	4495.472977394785	11232.943578048998	5584.9293684008535
68	1541.9992592191463	4495.512410193476	11233.59827856844	5585.082707329575
69	1542.067540842797	4495.548015545672	11234.189534867131	5585.221214672203
70	1542.1292050201346	4495.580171828131	11234.723494472628	5585.346320635099
71	1542.1848936417466	4495.609217760359	11235.205710914779	5585.459317464149
72	1542.235186294839	4495.635456913814	11235.641200339922	5585.5613732496495
73	1542.2806062677482	4495.659161776591	11236.034492935909	5585.653544113216
