	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0	0.611236783152	1.30377571282	3.80874702187e-05	1.9245997705	1.9245997705	0.872534525609	0.127465474391	5.0	14.9997605114	0.000239488586945	0.00122834645669	5.52755905512e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.796980797261	0.203019202739	1.28871252075e-06	0.963590525844	0.00082800476559	0.0413941344971	1.22247345696	0.299995131634	4.86836593145e-06	0.0	0.048179398361	0.0046464250374	0.0793317319536	0.232300498008
1																																
2																																
3																																
4																																
5																																
6																																
7																																
8																																
9																																
10																																
11																																
12																																
13																																
14																																
15																																
16																																
17																																
18																																
19																																
20																																
21																																
22																																
23																																
24																																
25																																
26																																
27																																
28																																
29																																
30																																
31																																
32																																
33																																
34																																
35																																
36																																
37																																
38																																
39																																
40																																
41																																
42																																
43																																
44																																
45																																
46																																
47																																
48																																
49																																
50																																
51																																
52																																
53																																
54																																
55																																
56																																
57																																
58																																
59																																
60																																
61																																
62																																
63																																
64																																
65																																
66																																
67																																
68																																
69																																
70																																
71																																
72																																
73																																
74																																
75																																
76																																
77																																
78																																
79																																
80																																
81																																
82																																
83																																
84																																
85																																
86																																
87																																
88																																
89																																
90																																
91																																
92																																
93																																
94																																
95																																
96																																
97																																
98																																
99																																
100																																
