	T
0	120.0
1	120.54121682464186
2	121.0848746129546
3	121.63098437411853
4	122.17955716687476
5	122.73060409983347
6	123.28413633171915
7	123.84016507157841
8	124.39870157901223
9	124.95975716440394
10	125.52334318914835
11	126.0894710658817
12	126.65815225871285
13	127.22939828345538
14	127.80322070786083
15	128.3796311518529
16	128.95864128776276
17	129.54026284056545
18	130.1245075881173
19	130.7113873613944
20	131.30091404473225
21	131.8930995760663
22	132.48795594717382
23	133.08549520391662
24	133.68572944648508
25	134.28867082964314
26	134.89433156297437
27	135.50272391112935
28	136.11386019407394
29	136.72775278733872
30	137.34441412226968
31	137.96385668627994
32	138.5860930231026
33	139.2111357330447
34	139.8389974732425
35	140.46969095791772
36	141.10322895863496
37	141.73962430456035
38	142.37888988272144
39	143.021038638268
40	143.6660835747343
41	144.31403775430232
42	144.96491429806636
43	145.61872638629865
44	146.27548725871634
45	146.93521021474953
46	147.5979086138106
47	148.26359587556482
48	148.93228548020195
49	149.60399096870938
50	150.27872594314616
51	150.9565040669186
52	151.63733906505686
53	152.32124472449294
54	153.0082348943398
55	153.69832348617186
56	154.39152447430666
57	155.08785189608793
58	155.78731985216973
59	156.4899425068021
60	157.19573408811777
61	157.9047088884204
62	158.61688126447393
63	159.3322656377933
64	160.05087649493655
65	160.77272838779803
66	161.49783593390327
67	162.22621381670487
68	162.95787678587985
69	163.69283965762833
70	164.43111731497356
71	165.17272470806333
72	165.9176768544727
73	166.6659888395081
74	167.4176758165128
75	168.17275300717375
76	168.9312357018299
77	169.6931392597817
78	170.45847910960225
79	171.22727074944967
80	171.99952974738093
81	172.77527174166713
82	173.55451244111012
83	174.33726762536077
84	175.12355314523825
85	175.91338492305124
86	176.7067789529202
87	177.50375130110135
88	178.304318106312
89	179.1084955800573
90	179.91630000695858
91	180.72774774508306
92	181.5428552262752
93	182.36163895648934
94	183.184115516124
95	184.0103015603576
96	184.84021381948577
97	185.67386909926014
98	186.5112842812286
99	187.35247632307718
100	188.1974622589735
