	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
0	0.00015	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1	7.991278083037202e-05	2.49265336508222e-06	1.8895425789381156e-08	6.0318175653165665e-05	7.257494725590999e-06	0.04327549771516391	0.9520946127628097	0.0021486710054474264	0.002411131297411431
2	8.050587751189304e-05	4.6591878680485695e-06	3.729092488719098e-08	5.7838510852507815e-05	6.959132842663684e-06	0.08027205823045584	0.906229321236069	0.004203764669268898	0.009225361741720096
3	8.12128015312238e-05	6.539239139475482e-06	5.521907108069095e-08	5.551337408380226e-05	6.679366174418285e-06	0.11167258426745039	0.8622279183948831	0.006167939402576377	0.019862770736624583
4	8.202390160401933e-05	8.167322693096346e-06	7.277081494558165e-08	5.3320490738437575e-05	6.415514149501579e-06	0.1380906344995095	0.8199793612068873	0.00804635934432593	0.033815668850885
5	8.293111550683828e-05	9.571973939315768e-06	9.00196812952465e-08	5.124152110218154e-05	6.165369770369705e-06	0.16006545709207703	0.7793883114888815	0.009843449582680375	0.05063571295187038
6	8.392757067707452e-05	1.077706220668991e-05	1.0702500260194672e-07	4.926124090481554e-05	5.927101208818587e-06	0.17807458023617706	0.7403724136772049	0.011563024855816641	0.0699239088014814
7	8.500725781311147e-05	1.1802788142459062e-05	1.238343113878769e-07	4.73669410570056e-05	5.699178676036548e-06	0.19254372132815237	0.7028601223245997	0.013208392408124228	0.09132277119693959
8	8.616482101096896e-05	1.2666423665393273e-05	1.404851124642645e-07	4.5547951951946486e-05	5.48031825922779e-06	0.20385466655752274	0.666788943012594	0.01478243542318967	0.11451011982770767
9	8.73953596816771e-05	1.3382904222230997e-05	1.570062239568504e-07	4.379529046597482e-05	5.269439406160974e-06	0.212351592614992	0.632103988015039	0.016287681678064013	0.1391941330515891
10	8.869425353066532e-05	1.3965295083094601e-05	1.7341880247147375e-07	4.210140019302074e-05	5.065632390748756e-06	0.21834617713625126	0.5987567744249915	0.01772636082138826	0.1651093818709006
11	9.005706878242841e-05	1.442514180671198e-05	1.8973712226093937e-07	4.045992041116154e-05	4.868131877437989e-06	0.22212175686681154	0.5667042110270525	0.019100452803319245	0.19201363637160102
12	9.147944335299316e-05	1.4772767273756532e-05	2.059691958884538e-07	3.886552342623586e-05	4.6762967511266265e-06	0.22393672937898368	0.5359077336529889	0.02041172934614541	0.2196852870652369
13	9.295700647823296e-05	1.5017504813996303e-05	2.2211727418839327e-07	3.731377771723869e-05	4.489593716344371e-06	0.2240273489436501	0.5063325586553126	0.021661789879642936	0.24792125952787414
14	9.448531594004119e-05	1.5167885233650613e-05	2.3817826638680587e-07	3.5801036579022e-05	4.307583980900219e-06	0.22261003343789398	0.4779470315353923	0.02285209301319809	0.27653532732945657
15	9.605979870894436e-05	1.5231795203250599e-05	2.541441178082617e-07	3.43243495627555e-05	4.1299124072421e-06	0.21988327494246113	0.4507220533253236	0.023983984352587695	0.3053567471783368
16	9.767572001648087e-05	1.5216596078718453e-05	2.7000215972776685e-07	3.2881383535828035e-05	3.9562982092455975e-06	0.2160292277475024	0.4246305717070049	0.025058721261401618	0.3342291550041083
17	9.932815708826845e-05	1.5129223180860022e-05	2.857354611847322e-07	3.1470357228103735e-05	3.786527041583556e-06	0.2112150339531051	0.3996471271695326	0.026077495008056145	0.3630096720263949
18	0.00010101198134697596	1.4976267399433196e-05	3.0132319930420935e-07	3.0089984025014216e-05	3.6204440292726087e-06	0.20559393588353703	0.3757474472111334	0.02704145061068132	0.391568178275997
19	0.00010272186188052911	1.476403222905714e-05	3.167410536212206e-07	2.87394175157796e-05	3.4579473210129795e-06	0.1993062165399339	0.35290808365524723	0.027951704593641418	0.419786717073061
20	0.00010445226492227598	1.4498586636544359e-05	3.319616459039912e-07	2.7418204576771926e-05	3.2989822185040216e-06	0.1924800027425819	0.33110608979220046	0.02880936079089895	0.44755899893924445
21	0.00010619749809158919	1.4185779805287897e-05	3.4695500414849283e-07	2.6126231900941128e-05	3.1435351980334803e-06	0.18523196041155648	0.31031873534746074	0.029615524271274115	0.474789977467804
22	0.00010795171828967235	1.3831278857952812e-05	3.6168909866687186e-07	2.4863685243078035e-05	2.9916285106301495e-06	0.17766790716533568	0.2905232581530173	0.03037131341871637	0.5013954729812229
23	0.00010970898776623902	1.3440567883538894e-05	3.761303973727812e-07	2.3630999505211367e-05	2.843314447638067e-06	0.16988336371993557	0.27169665206657645	0.031077870172373567	0.5273018230288835
24	0.00011146332415642109	1.3018948838631644e-05	3.9024446292387807e-07	2.2428812762848105e-05	2.6986697791752446e-06	0.16196406230136337	0.25381549101359824	0.031736368416609165	0.5524455415925896
25	0.00011320875395797753	1.2571538680633717e-05	4.03996583704143e-07	2.1257920602100472e-05	2.557790175583944e-06	0.15398642734952508	0.23685578911335683	0.03234802051115542	0.5767729717799243
26	0.00011493938373679178	1.2103250499289364e-05	4.173524028622707e-07	2.011922872920712e-05	2.4207846318491467e-06	0.14601804090773016	0.22079289678910527	0.03291408195821491	0.6002399197286904
27	0.00011664945947999794	1.1618782704942058e-05	4.3027856093546777e-07	1.9013709191849753e-05	2.28777006227428e-06	0.13811810253564247	0.20560143237590386	0.033435854226306266	0.62281126032163
28	0.00011833344068631985	1.1122594621780233e-05	4.4274330657256736e-07	1.7942355386241227e-05	2.158865999085702e-06	0.13033789098159854	0.19125524834025484	0.03391468577482902	0.6444605083440057
29	0.00011998606372283995	1.0618888362472594e-05	4.54717079411386e-07	1.6906141214032367e-05	2.0341896212433728e-06	0.12272123241618968	0.17772743064645674	0.034351971355630145	0.6651693516454477
30	0.00012160240597522031	1.0111587356145175e-05	4.661730357696168e-07	1.5905982501856244e-05	1.9138511310084046e-06	0.11530497783555695	0.16499032918321757	0.03474914970267776	0.684927145684524
31	0.00012317794355768736	9.604317305493105e-06	4.77087506359909e-07	1.4942702035011172e-05	1.797949595448212e-06	0.10811949020080451	0.15301561650647943	0.035107699756811446	0.703730371479463
32	0.000124708586749989	9.100400413747868e-06	4.87440386808659e-07	1.4017003015423589e-05	1.6865694340302473e-06	0.10118914007924835	0.14177437159424253	0.035429135602898766	0.7215820613103613
33	0.00012619074982968227	8.60282027495674e-06	4.972153957221062e-07	1.3129437235654242e-05	1.5797772639842092e-06	0.0945328070677822	0.1312371848570132	0.0357150003216941	0.7384911985033424
34	0.00012762134822138333	8.114238510069614e-06	5.064002950328491e-07	1.2280393187542925e-05	1.477619785971075e-06	0.08816438321074735	0.12137428012164722	0.03596685898502803	0.7544720990308004
35	0.00012899783062955662	7.636981135357116e-06	5.149869690266697e-07	1.1470079184177082e-05	1.3801220818825587e-06	0.08209327374862725	0.11215564931022624	0.03618629102437598	0.7695437837474012
36	0.00013031818285742967	7.173042688674246e-06	5.229714228689038e-07	1.069851632009571e-05	1.2872867109312829e-06	0.07632489021282084	0.10355119517110561	0.036374882219980025	0.783729350578952
37	0.00013158092441062176	6.724092237107626e-06	5.303536880364781e-07	9.965536218300762e-06	1.1990934459331657e-06	0.07086113067006962	0.09553087787249305	0.0365342165337944	0.7970553558480544
38	0.00013278509092606432	6.291487590740499e-06	5.371376504058957e-07	9.270784199163146e-06	1.1154996336259446e-06	0.06570084223279248	0.08806486121796996	0.03666586801103878	0.8095512136291256
39	0.00013393021324734634	5.876288379152907e-06	5.433308033771807e-07	8.613726487598873e-06	1.0364410825243647e-06	0.06084026133763721	0.0811236547888923	0.036771392945453445	0.8212486211412664
40	0.0001350162826757679	5.479278187422037e-06	5.489439506403737e-07	7.993661757525322e-06	9.618334286439663e-07	0.05627342796502876	0.07467824875037847	0.03685232247958552	0.8321810170876854
41	0.00013604371552793456	5.1009844184443196e-06	5.539908610038479e-07	7.409735332952855e-06	8.915738596642167e-07	0.051992570744776805	0.06870023865161654	0.03691015577924872	0.8423830785398861
42	0.00013701331270560166	4.741700454009551e-06	5.584878953553266e-07	6.860955825655749e-06	8.255431193773361e-07	0.047988460740001036	0.06316193813714274	0.03694635388953393	0.8518902605460286
43	0.00013792621085634927	4.401514221836962e-06	5.62453623539265e-07	6.346213586739842e-06	7.636077115343922e-07	0.04425073251432345	0.0580364779727182	0.03696233435347546	0.8607383813703395
44	0.00013878383990120627	4.080329857757702e-06	5.659084307733128e-07	5.864299621975377e-06	7.056221882871182e-07	0.04076817198616789	0.053297890602628524	0.03695946663109986	0.8689632546200046
45	0.00013958787419779062	3.777895216577789e-06	5.688741377005623e-07	5.413924973554094e-06	6.514314743767874e-07	0.03752897124961434	0.048921179745292614	0.03693906834095199	0.8766003685383381
46	0.0001403401939459206	3.4938199489884996e-06	5.713736280009668e-07	4.993739346322006e-06	6.008731307679353e-07	0.03452095122783615	0.04488237512336662	0.0369024023150039	0.8836846115277386
47	0.00014104283035626668	3.2276098109954573e-06	5.7343051725039e-07	4.6023497601132365e-06	5.5377955537427e-07	0.03173175356898387	0.04115857281060171	0.036850674437360585	0.8902500420134091
