time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0.0.	0.558324605594	3.25063374483	0.00010034209876400001	6.14376241097	6.14376241097	0.978556576452	0.0214434235477	5.0	14.9743063733	0.0256936267029	0.00122834645669	5.5275590551200005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.7592117481089999	0.240788251891	0.224261963132	0.850457308929	0.00033608526337900005	0.0167998336585	1.11664911619	0.299997133252	2.86674751329e-06	0.0	0.042522754567600005	0.00435648346261	0.07303688343220001	0.21780505273599998
900.0.	0.354393443636972	3.262444597344139	0.000109426621043	7.929072400160635	6.7000110976823635	0.9755965773519031	0.024403422647796002	3.6225883032474	14.971470537836492	0.028529462166393002	0.0011070551364430001	4.981797379372053e-05	1.191588371559206e-09	2.9622342390072744e-05	2.9393078064393058e-08	1.6655645562744448e-07	0.017528375797711	0.008818964511778	0.725922750164494	0.274077249835504	0.25166354328684404	0.692301851047168	0.000611746847339	0.030582777791324	0.708787058694614	0.29998850696872503	1.1493030787543032e-05	1.9010281535157894e-05	0.034614831665363	0.007995663796841001	0.1995914979028	0.39972336741127
1800.0.	0.024602016700999003	3.677959518952394	0.000285770978839	32.74178218139843	17.497481135350725	0.9686952719135061	0.031304728086193	2.624629200244719	14.964319637084992	0.035680362917899	0.000746433633896	3.3590597963490804e-05	2.2730227641345084e-09	0.00011769640211900001	5.673367267888348e-08	3.2688442066940296e-07	0.033800813473049	0.017118784760072	0.657007255094751	0.342992744905248	0.396913758093554	0.361470027515642	0.003534523970461	0.176723937677934	0.049204030092977004	0.299980676631501	1.9323368011780214e-05	5.3782765588412586e-05	0.018073293799058	0.011946621070293002	0.20328541298570102	0.5972739034147
2700.0.	0.023799157765819003	7.14332460834883	0.0011223743422040001	102.77380123492625	68.72147568562508	0.9618376795121311	0.038162320487567	1.9015902062623842	14.957888652819824	0.042111347183059006	0.000248735005725	1.119453571586432e-05	2.5229308441199762e-09	0.00023924929511200002	8.161766455095046e-08	4.752475532364375e-07	0.048610552129556006	0.024796108327201003	0.6006646785234251	0.399335321476574	0.6506451552310111	0.16589584606420202	0.007374529799524	0.36872279047730605	0.047598202132132006	0.29997886465803303	2.1135341479068045e-05	0.00017914205190900002	0.008294651657507	0.009691984489059	0.120365717954274	0.48456655534830406
3600.0.	0.102491024834459	15.465975651224001	0.0018030368251490002	112.38359544319603	110.39666566115731	0.9638211978729131	0.036178802126786	1.377735686327388	14.959620848319068	0.040379151683817005	1.236361737636015e-05	5.572684495702995e-07	5.739494120429603e-10	0.00029697940420100004	1.0375698017530841e-07	6.097685248767796e-07	0.06178620368985101	0.031753873386861	0.629252855242596	0.370747144757402	0.7848077204961601	0.32789563585251	0.004579065327201	0.22894732247013502	0.204981673596999	0.29999297656003	7.023439483276019e-06	0.000819891221117	0.016394597332088	0.00610499788232	0.112202775105792	0.305228500457604
4500.0.	0.26598414484924504	22.37048205334701	0.001235619141687	47.664324952462394	75.65423346660515	0.9689020082183801	0.031097991781319	0.998193835416984	14.965161291748215	0.034838708254664	4.396014530515834e-06	1.98691347064828e-07	4.6238580886659494e-10	0.00029892539517400004	1.229695486640171e-07	7.289426877852251e-07	0.07321952745993801	0.037914634920415004	0.677847739500904	0.322152260499095	0.679899210207481	0.540644690676892	0.001205597400081	0.060277801283167	0.531967994402466	0.299993785180209	6.214819303754587e-06	0.0018576976619110001	0.027032062898315	0.005264046774655	0.12379068536699701	0.26317484691125104
5400.0.	0.422364573403394	23.41407160113196	0.0005731732662740001	20.124224769261616	35.094101862673185	0.9715720261267251	0.028427973872974	0.723209061756334	14.967792223810845	0.032207776192038004	2.710261102793681e-06	1.228309619709721e-07	4.5546658197775854e-10	0.00029933711089000003	1.392130598844355e-07	8.318888365987454e-07	0.08288550303711001	0.043233515732357	0.700104731529961	0.299895268470037	0.5609991032325631	0.608277638685642	0.0006797167982990001	0.033983415432502	0.84472888554415	0.299993835293341	6.164706171801457e-06	0.002968077787245	0.030413709615857	0.0057387685606520005	0.141707109343637	0.286908371866106
6300.0.	0.554802588710414	21.40195678739036	0.000283189100519	11.675303204951621	17.33905599373893	0.9729348905160301	0.027065109483669	0.523977737035447	14.968963918100428	0.031036081902458	1.951360538029006e-06	8.868015265667585e-08	4.5343077200935884e-10	0.00029952245844800003	1.525935670985018e-07	9.185152953936613e-07	0.090847419256962	0.047706681546945004	0.7100052188272411	0.289994781172757	0.48304507521521806	0.6380029745307311	0.000497795982041	0.024886821528696004	1.109604941477149	0.299993850036941	6.149962571222293e-06	0.004103962392903	0.031899975072703	0.0062848195876520005	0.15086775336944502	0.314209653103152
7200.0.	0.659086298166733	18.647216962656636	0.00017533040729700002	8.599967418829095	10.735123940510269	0.9736279855434351	0.026372014456264	0.37963112387478204	14.969483704471937	0.03051629553095	1.5280853485009008e-06	6.96327135102525e-08	4.52584923336744e-10	0.000299625835497	1.633455582656326e-07	9.895398997069922e-07	0.09724498197949501	0.051372198310683	0.7143966284014831	0.285603371598515	0.43689947695538905	0.651920851754841	0.000411947682556	0.020594033047731	1.318172383362635	0.29999385616241603	6.143837096181209e-06	0.005230971737631001	0.032595868197833	0.006685620702101	0.155641300552147	0.334249059232395
8100.0.	0.734221044695409	15.996230875143167	0.000132842600686	7.231276146938891	8.13369371193968	0.9739801717218711	0.026019828277828002	0.275049453505813	14.969714371811326	0.030285628191561	1.263121732929487e-06	5.7709354481362773e-08	4.5216394521459336e-10	0.000299690547845	1.7179109304445102e-07	1.0463559225595839e-06	0.102269973664041	0.054302929165880004	0.71634581865236	0.28365418134763803	0.410780448274265	0.6585933313237791	0.00036685272770200003	0.018339063758692	1.468441898078441	0.29999385921097704	6.140788535476131e-06	0.0063223804456670005	0.032929491808465	0.006940857294563001	0.15828039491221302	0.34701055424223504
