	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
0	0.0	5e-06	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05
1	4.122423376215059e-11	5e-06	9.711944317465721e-10	4.109689470170766e-09	4.5076406445833004e-23	5.62154735412608e-08	9.726661462875073e-13	1e-05	1e-05
2	4.1224232702914156e-11	5e-06	9.711944067632036e-10	8.15854761403042e-09	4.50733617200833e-23	1.3043507712006256e-07	1.9173997821419588e-12	1e-05	1e-05
3	4.1224231689542845e-11	5e-06	9.711943829032188e-10	1.2092899851345503e-08	4.5073360235024476e-23	2.0391136171757838e-07	2.8354154130117387e-12	1e-05	1e-05
4	4.1224230856631163e-11	5e-06	9.711943632593348e-10	1.5817380049114313e-08	4.507335872522177e-23	2.7331269651825223e-07	3.704460935827641e-12	1e-05	1e-05
5	4.1224230400733684e-11	5e-06	9.71194352497692e-10	1.938293077111539e-08	4.507336673737587e-23	3.40037985779415e-07	4.536422955541774e-12	1e-05	1e-05
6	4.122422815917441e-11	5e-06	9.711942997760216e-10	2.271504459948679e-08	4.5073327234164315e-23	4.025329127028989e-07	5.313916337137652e-12	1e-05	1e-05
7	4.122423042630281e-11	5e-06	9.711943528966624e-10	2.579545788006333e-08	4.50734439875855e-23	4.605628479346283e-07	6.032679722754824e-12	1e-05	1e-05
8	4.122422176414038e-11	5e-06	9.711941497268698e-10	2.8609699429252206e-08	4.507309988734345e-23	5.13650092449621e-07	6.689336080197222e-12	1e-05	1e-05
9	4.1224241194257654e-11	5e-06	9.711946047630688e-10	3.115581778193496e-08	4.507408551762482e-23	5.619239814329189e-07	7.283431111389244e-12	1e-05	1e-05
10	4.1224189571159316e-11	5e-06	9.71193396553122e-10	3.343860118647818e-08	4.507128864825505e-23	6.0515087262307e-07	7.816079400648203e-12	1e-05	1e-05
11	4.122431859638332e-11	5e-06	9.711964132617866e-10	3.5468860778472016e-08	4.507912672016629e-23	6.438895759833657e-07	8.289810317071609e-12	1e-05	1e-05
