	CDK2cycA	CDK2cycA_star_	Cdk2	CyclinA
0	0.0	0.0	1e-07	4e-07
1	2.1305282201868054e-08	1.5655461746558021e-09	7.712917162347615e-08	3.771291716234761e-07
2	2.1076926320302217e-08	3.4541429020512883e-09	7.54689307776465e-08	3.754689307776465e-07
3	2.06781057260983e-08	5.128696802415954e-09	7.419319747148576e-08	3.7419319747148574e-07
4	2.0314366225141864e-08	6.665072898785941e-09	7.302056087607221e-08	3.730205608760722e-07
5	1.998179031069986e-08	8.074778187448743e-09	7.194343150185142e-08	3.7194343150185144e-07
6	1.9677721180787238e-08	9.368355766418905e-09	7.095392305279387e-08	3.709539230527939e-07
7	1.9399661999915045e-08	1.0555459854458602e-08	7.004487814562637e-08	3.7004487814562636e-07
8	1.9145309912146507e-08	1.1644929220396323e-08	6.920976086745719e-08	3.6920976086745717e-07
9	1.891257108495189e-08	1.2644857387653472e-08	6.844257152739465e-08	3.6844257152739463e-07
10	1.8689630115268973e-08	1.3601925285271104e-08	6.770844459945993e-08	3.677084445994599e-07
11	1.848589353499499e-08	1.4476951274309786e-08	6.703715519069523e-08	3.670371551906952e-07
12	1.830088898917599e-08	1.5277032391720126e-08	6.642207861910389e-08	3.6642207861910383e-07
13	1.8132986581324743e-08	1.600817517024455e-08	6.585883824843072e-08	3.658588382484307e-07
14	1.797913762441408e-08	1.6676893572832067e-08	6.534396880275386e-08	3.6534396880275383e-07
15	1.7838789155062722e-08	1.7288565508892743e-08	6.487264533604454e-08	3.648726453360445e-07
16	1.7711199935069654e-08	1.7848035706844746e-08	6.444076435808562e-08	3.644407643580856e-07
17	1.7594079250824628e-08	1.8360141256289243e-08	6.404577949288615e-08	3.640457794928861e-07
18	1.7487043431672693e-08	1.8828552282669462e-08	6.368440428565786e-08	3.636844042856578e-07
19	1.738951516135122e-08	1.9257011276683585e-08	6.335347356196522e-08	3.6335347356196515e-07
20	1.7300347298163635e-08	1.9648945685773407e-08	6.305070701606298e-08	3.630507070160629e-07
21	1.7218869570699478e-08	2.0007475488976408e-08	6.277365494032414e-08	3.62773654940324e-07
22	1.714442627440521e-08	2.0335456280562617e-08	6.25201174450322e-08	3.6252011744503206e-07
23	1.7076386319601473e-08	2.063549821950597e-08	6.228811546089259e-08	3.622881154608924e-07
24	1.7014196684613015e-08	2.0909986750745738e-08	6.207581656464127e-08	3.620758165646411e-07
25	1.6957349738243992e-08	2.116110296688934e-08	6.188154729486668e-08	3.618815472948665e-07
26	1.690538107185153e-08	2.1390841008159662e-08	6.170377791998883e-08	3.617037779199887e-07
27	1.6857868589016103e-08	2.1601024191639497e-08	6.154110721934442e-08	3.615411072193443e-07
28	1.681442706912988e-08	2.179331979771948e-08	6.139225313315067e-08	3.6139225313315056e-07
29	1.6774705013211184e-08	2.1969252494683954e-08	6.12560424921049e-08	3.612560424921048e-07
30	1.6738381771059707e-08	2.2130216610524616e-08	6.11314016184157e-08	3.611314016184156e-07
31	1.670516467398018e-08	2.2277487340084312e-08	6.101734798593554e-08	3.610173479859354e-07
32	1.6674786549175453e-08	2.241223097467073e-08	6.091298247615385e-08	3.6091298247615373e-07
33	1.6647003459600376e-08	2.2535514246023222e-08	6.081748229437645e-08	3.6081748229437634e-07
34	1.6621592637182775e-08	2.2648312861684707e-08	6.073009450113256e-08	3.6073009450113243e-07
35	1.65983506130032e-08	2.2751519302501667e-08	6.065013008449517e-08	3.6065013008449507e-07
36	1.6577091517499907e-08	2.284594994729926e-08	6.057695853520087e-08	3.605769585352008e-07
37	1.6557645534052134e-08	2.293235158351418e-08	6.051000288243372e-08	3.6051000288243363e-07
38	1.6539857492671766e-08	2.3011407357353957e-08	6.044873514997431e-08	3.604487351499742e-07
39	1.652358559003784e-08	2.308374221231035e-08	6.039267219765185e-08	3.6039267219765177e-07
40	1.6508700224015875e-08	2.3149927860487002e-08	6.034137191549716e-08	3.6034137191549704e-07
41	1.6495082932075955e-08	2.3210487327266443e-08	6.029442974065763e-08	3.602944297406575e-07
42	1.648262542395984e-08	2.326589910626524e-08	6.025147546977495e-08	3.602514754697748e-07
43	1.6471228699930547e-08	2.3316600958271787e-08	6.021217034179769e-08	3.602121703417976e-07
44	1.64608022467852e-08	2.3362993384903656e-08	6.017620436831118e-08	3.601762043683111e-07
45	1.6451263304559204e-08	2.3405442805030634e-08	6.01432938904102e-08	3.601432938904101e-07
46	1.6442536197528035e-08	2.3444284459559836e-08	6.011317934291216e-08	3.601131793429121e-07
47	1.6434551723719535e-08	2.347982506794895e-08	6.008562320833155e-08	3.600856232083315e-07
48	1.642724659769354e-08	2.3512345257781563e-08	6.006040814452492e-08	3.600604081445249e-07
49	1.642056294183555e-08	2.354210178688697e-08	6.00373352712775e-08	3.600373352712775e-07
50	1.641445042190082e-08	2.3569329698527478e-08	6.001621987957173e-08	3.600162198795717e-07
51	1.640885687289802e-08	2.3594243995512933e-08	5.999689913158907e-08	3.59996899131589e-07
52	1.6403736702322223e-08	2.3617041160207986e-08	5.997922213746982e-08	3.5997922213746975e-07
53	1.6399052744332598e-08	2.363790106040299e-08	5.996304619526444e-08	3.599630461952644e-07
54	1.6394766816323626e-08	2.3656988373684593e-08	5.994824480999181e-08	3.5994824480999175e-07
55	1.6390845401272963e-08	2.3674453742147835e-08	5.993470085657923e-08	3.599347008565792e-07
56	1.6387257363856842e-08	2.3690435012839202e-08	5.992230762330398e-08	3.599223076233039e-07
57	1.6383974381278406e-08	2.3705058310500876e-08	5.991096730822074e-08	3.599109673082207e-07
58	1.6380970489710997e-08	2.3718439039858722e-08	5.990059047043032e-08	3.5990059047043025e-07
59	1.637822195454346e-08	2.3730682795550093e-08	5.989109524990649e-08	3.598910952499064e-07
60	1.6375707056056207e-08	2.3741886196957542e-08	5.98824067469863e-08	3.598824067469862e-07
61	1.6373405925592292e-08	2.375213765119703e-08	5.987445642321073e-08	3.598744564232106e-07
62	1.6371386282468652e-08	2.3761135781293046e-08	5.986747793623835e-08	3.5986747793623823e-07
63	1.636953122939162e-08	2.3769400517446377e-08	5.986106825316206e-08	3.5986106825316195e-07
64	1.636782740016066e-08	2.377699163755207e-08	5.985518096228732e-08	3.598551809622872e-07
65	1.6366262473421167e-08	2.3783964047522626e-08	5.984977347905626e-08	3.5984977347905617e-07
66	1.6364825124094282e-08	2.379036817763607e-08	5.984480669826969e-08	3.598448066982696e-07
67	1.636350494934069e-08	2.3796250347281454e-08	5.98402447033779e-08	3.598402447033778e-07
68	1.6362292394690237e-08	2.3801653100096953e-08	5.983605450521286e-08	3.5983605450521275e-07
69	1.6361178685048395e-08	2.3806615511801463e-08	5.983220580315019e-08	3.598322058031501e-07
70	1.6360155761115813e-08	2.3811173472925576e-08	5.982867076595865e-08	3.5982867076595856e-07
71	1.6359216220962266e-08	2.381535994848586e-08	5.982542383055192e-08	3.5982542383055184e-07
72	1.6358353266368876e-08	2.3819205216483078e-08	5.98224415171481e-08	3.5982244151714804e-07
73	1.6357560653554855e-08	2.3822737086952018e-08	5.981970225949318e-08	3.598197022594931e-07
74	1.6356832647930814e-08	2.382598110314963e-08	5.981718624891962e-08	3.598171862489195e-07
75	1.6356163982549004e-08	2.3828960726338635e-08	5.981487529111242e-08	3.598148752911123e-07
76	1.6355549819947794e-08	2.38316975055048e-08	5.981275267454747e-08	3.5981275267454736e-07
77	1.6354985717112494e-08	2.383421123323675e-08	5.981080304965081e-08	3.5981080304965073e-07
78	1.6354467593297533e-08	2.3836520088896984e-08	5.980901231780554e-08	3.598090123178055e-07
79	1.635399170047587e-08	2.3838640770120553e-08	5.980736752940362e-08	3.5980736752940355e-07
80	1.635355459620084e-08	2.384058861359333e-08	5.980585679020588e-08	3.598058567902058e-07
81	1.6353153118683077e-08	2.3842377705984075e-08	5.98044691753329e-08	3.5980446917533285e-07
82	1.635278436390159e-08	2.384402098583322e-08	5.980319465026523e-08	3.598031946502652e-07
83	1.6352445664582665e-08	2.384553033713575e-08	5.980202399828162e-08	3.5980202399828165e-07
