time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
0.0.	0.0	0.0	0.0	0.0	638.6434569983305	237.3986823746695	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	100.0	0.0	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-5.739718509874451e-42	0.0	0.0	0.0	0.0	0.0
3.0.	2.101472969123076	5.29497387356344	0.52775025196138	8.41312873308735	606.7421459945577	229.09923581078024	442.88818540145036	168.86314541481204	3.650907470327621	0.05579213860543	0.33729144897870805	99.97178871799288	0.036352501170467004	15.076489625162857	5.843809637821033	18.43486451293283	0.22166657447743301	0.130919768095141	0.09621934046840201	15.73884562206274	4.251348298558726	0.040813699667139006	0.020266135634824
6.0.	3.229166068783163	7.722791924136284	0.9313475620147631	9.36750567074714	535.4594335836899	207.38254383277996	402.7167177278669	168.6996681617531	2.723085089481994	0.05421309700322301	0.31059130497610105	99.94233106429371	0.075801159163437	12.781379131738053	5.0968861398433845	13.429017647090234	0.32209222286384004	0.218136284513286	0.22488605094205202	46.52621527134899	23.18302160021151	0.33707142076186003	0.454950720689104
9.0.	3.698016228095679	9.07829315657809	1.17731742519885	9.725714366100812	457.4124436990375	183.36422307171748	358.09932191115917	173.00581719512618	2.391923357823632	0.052079082550609	0.28964481975913203	99.91200755526248	0.10303590400609201	11.815672009189187	5.067753470678537	10.975008885403934	0.36367057641502304	0.282930374791906	0.334518593611613	74.22934342272158	52.70540789750962	1.056616232792173	2.439133715463922
12.0.	3.809501935668853	9.829674310623805	1.315581059110144	9.899741167036956	393.11092094079555	163.91500667507506	321.1090328200547	182.67438249915116	2.244221214363414	0.050093270663564005	0.294785942221782	99.88135584214328	0.11909978158468701	11.598354897718536	5.250124099414487	9.80968446570092	0.373826113995878	0.32649198780487104	0.407137620512986	91.50033843809513	82.47543074494702	2.123506222485209	6.856736645184589
15.0.	3.764994878682449	10.259042752738159	1.3935304302333391	9.999635374773122	347.07178277315586	150.22060647987126	295.20263809336944	194.93205061241727	2.170182678618648	0.050065240546547006	0.36613194620809403	99.8505013889771	0.128197187629658	11.749277386995049	5.504017817516779	9.272224087020268	0.37030021492889403	0.35212561707702705	0.447280721037534	99.45258698691045	106.12605498742045	3.296128272842804	13.531517400768537
18.0.	3.663001995066991	10.516938447498921	1.439136450783249	10.066783851545884	316.30556235058026	141.08730418065448	279.2386950910431	206.57769445266615	2.130413811800395	0.05467459622521	0.525002759433298	99.81948598647944	0.13342793255059202	12.064152213385302	5.7768736605441156	9.034542959820833	0.36172579159337503	0.364384926513706	0.46662550410828	101.5476972591089	122.21807660742785	4.332360457312061	21.665999984580665
21.0.	3.546894739262517	10.680588865492101	1.467249903487026	10.120971786718146	296.1814948515512	134.97705280458553	270.6252098827519	215.78432264039515	2.108826270634488	0.06593980850924	0.7544492989033631	99.7883242995831	0.136572699635263	12.439431138048766	6.045928463653652	8.937107803474458	0.351907571430003	0.36798137582710005	0.474698646316615	100.71739802348546	131.89901730752774	5.096634546763653	30.443394895095828
24.0.	3.434085460909454	10.788748863542818	1.4854442718944472	10.17354215069232	282.7865969408761	130.70178804013952	266.85689721343624	222.10044203909172	2.098606219419647	0.084230755930292	1.019671893515043	99.75701444119633	0.138572684321418	12.824133926391795	6.301219031144752	8.90306540636655	0.34238383539405204	0.366734872547394	0.47731981832490106	98.75680492835063	137.04070943773186	5.568729786856371	39.257855814183195
27.0.	3.330530851925149	10.860781004394848	1.497517510727637	10.231659735057942	273.43855390631535	127.50678066212049	266.0219630771764	225.87262972222783	2.096870608237818	0.1084827471109	1.28982771605461	99.72554100620955	0.13990904064218002	13.193906438236997	6.538901110903949	8.895485478039163	0.33369147286730605	0.36318628775959105	0.47761471657200005	96.55991678249602	139.33216631882487	5.797355231011922	47.72773390866183
30.0.	3.23742590219659	10.906614247635364	1.505389097343597	10.299886142709585	266.5038242940569	124.96413160747818	266.82964502402535	227.73739515626804	2.102374191488767	0.13691599597318402	1.545372843428626	99.69387781136118	0.140825957730937	13.537788947780465	6.75814121986242	8.896586847463611	0.325948235382707	0.358779287731443	0.47711110721578504	94.48736844272717	139.9971336706238	5.852266643722194	55.64495891751551
33.0.	3.154154332421226	10.931720918758522	1.510074632857906	10.380930649683428	261.06315429773974	122.8484716508887	268.47684316294294	228.32497711583613	2.11450298265087	0.16765306067739602	1.776712889554953	99.66199105179084	0.141449980892702	13.851594866560085	6.959563071219598	8.897797736605261	0.31910946422191605	0.35423099318988704	0.47647064097817604	92.63888245474276	139.81212740918932	5.796771559384691	62.918186535383605
36.0.	3.079534524848214	10.939502781584904	1.512165168412459	10.476137110051475	256.6247059652298	121.04529169623545	270.49534439833485	228.13618038509418	2.132849884928906	0.199064597446546	1.980680094417874	99.62984241110475	0.141850654620509	14.134596694462768	7.144453922631176	8.89503556414475	0.313077067287094	0.349851546217647	0.47592186303931705	91.00906452428302	139.22355753006687	5.678311237985549	69.52695993914807
