	A	I1	I2	S
0	500.0	10000.0	2000.0	2500.0
1	955.098749896049	8189.26396521817	4331.607111875977	2453.9072594954737
2	1136.5976736514408	6763.44503148473	5940.98995516921	2703.6001720197733
3	1210.193845206389	5746.974151783935	7026.176665454994	3048.368086199799
4	1238.4523955504892	5051.123396315698	7749.32307835168	3421.8566188778173
5	1249.5832095024484	4595.95893429593	8229.891958449783	3786.7926972549494
6	1255.751851656741	4315.479655863428	8553.434427450667	4123.037627556485
7	1262.1626880864421	4158.067684737653	8781.690056278472	4418.531091353987
8	1269.825082244886	4088.525088818741	8952.407809872466	4667.888839344604
9	1279.9006689854218	4079.8891348674983	9092.133248874696	4868.879538379409
10	1292.6827660417339	4109.313493105151	9218.851640743149	5024.042084505164
11	1307.8543508169328	4159.537226381042	9343.183696308468	5138.252418472887
12	1324.7372207846886	4217.820755720969	9469.623346835428	5218.7602642108095
13	1342.5427047052103	4275.200589512917	9598.774003316641	5273.772548569483
14	1360.5155059453095	4326.219414969828	9729.085689227246	5310.915477105483
15	1378.0248851233168	4368.423492523441	9858.10455259844	5336.30811470869
16	1394.6007436367604	4401.328474394868	9983.306152663856	5354.523132241339
17	1409.9600352275309	4426.093581463701	10102.512159917778	5368.351886869501
18	1423.9855611268586	4444.16276802888	10214.184681439361	5379.721279911941
19	1436.648664709338	4456.461321904391	10317.399300451458	5390.40644043172
20	1447.951878649659	4463.787130648983	10411.658955818968	5401.796307039214
21	1457.9324765221913	4467.466795451627	10496.807640587687	5414.292312372743
22	1466.6938944366648	4469.220074679023	10573.074904778936	5427.345176904443
23	1474.3998638466774	4470.346146823679	10641.070524994062	5440.235953650806
24	1481.2194578111387	4471.238145529369	10701.616356311359	5452.750919385715
25	1487.2766568441261	4471.776907134661	10755.521964757449	5465.071300263273
26	1492.653127851712	4472.057159972113	10803.487800910647	5477.182724520225
27	1497.4283336887547	4472.568481222063	10846.166837848716	5488.6268337560205
28	1501.7009488571437	4473.7152382649265	10884.240276132337	5498.88897441289
29	1505.5683049475656	4475.378898265585	10918.386159071579	5507.8796471913465
30	1509.0873830146218	4477.07799930135	10949.151758509986	5515.952488616921
31	1512.2763449788608	4478.51568770221	10976.905562110504	5523.440015172897
32	1515.1514957185748	4479.851313253549	11001.926101339093	5530.283946596205
33	1517.7527134887691	4481.3978812159285	11024.51417018233	5536.196790328027
34	1520.129451778905	4483.156531061368	11044.997645635533	5541.11935295888
35	1522.3095509698994	4484.773234328362	11063.640750477221	5545.386028016491
36	1524.2920255359097	4485.952950516533	11080.586982631883	5549.397587141894
37	1526.0726223489185	4486.799471864943	11095.915509360279	5553.219744772544
38	1527.6698861391762	4487.662629017594	11109.744992804002	5556.6021478868615
39	1529.120198631016	4488.699016952028	11122.261242410283	5559.375191708625
40	1530.4497027130474	4489.6967246686245	11133.642787648461	5561.719345932248
41	1531.658947131287	4490.366117956814	11143.984132442652	5563.981001354775
42	1532.7387176073457	4490.716172096082	11153.313960726213	5566.282186347687
43	1533.696231162343	4491.047049122674	11161.683494663726	5568.415453964761
44	1534.5589662766156	4491.583025640033	11169.21413790304	5570.143060664715
45	1535.352352220089	4492.212728907372	11176.048018525331	5571.516007617604
46	1536.0799277923131	4492.652110040992	11182.26692712916	5572.819961753733
47	1536.7303405419725	4492.811447641372	11187.881269638963	5574.231335804851
48	1537.3014605026228	4492.905536864554	11192.900052247694	5575.620373172853
49	1537.8092755496539	4493.129439680714	11197.385384350522	5576.801190525495
50	1538.27341343014	4493.455346500687	11201.430988961667	5577.757812972511
51	1538.702613917014	4493.774045838504	11205.11184665681	5578.567465949331
52	1539.0955272723113	4494.027256591634	11208.465096577233	5579.29684587779
53	1539.4498291654493	4494.221418616803	11211.50661624121	5579.971067348417
54	1539.7674132449704	4494.383631772023	11214.253092163424	5580.590810189599
55	1540.0530055001673	4494.530083585703	11216.729370095863	5581.153768329744
56	1540.3109639043375	4494.663281637817	11218.963571510665	5581.662736488044
57	1540.5440979884622	4494.781528008865	11220.980984711949	5582.123879286421
58	1540.7543776620507	4494.885218855729	11222.802425291744	5582.543154832761
59	1540.943781771288	4494.977040944684	11224.44581488871	5582.924789964595
60	1541.1144427944748	4495.059854840221	11225.927848806326	5583.27166615715
61	1541.2683859671665	4495.135455875839	11227.264406142027	5583.58620276385
62	1541.4073521505013	4495.204681033869	11228.470179722222	5583.870856340146
63	1541.532823629389	4495.2679827924485	11229.558354003088	5584.1281586001915
64	1541.6461172148427	4495.325785919984	11230.540631744083	5584.360570823645
65	1541.748433082598	4495.3785389978875	11231.427457531268	5584.570378135015
66	1541.840857788601	4495.426652593485	11232.228225905188	5584.75967455866
67	1541.9243618331604	4495.470469238694	11232.951403459861	5584.930391216651
68	1541.9998101132255	4495.510283958487	11233.604602156021	5585.084318469173
69	1542.0679784666968	4495.546376585972	11234.19465115479	5585.223108974972
70	1542.1295668068049	4495.579028094591	11234.727679901513	5585.348272638554
71	1542.185207412199	4495.608519922776	11235.20920157106	5585.461175673268
72	1542.2354712920996	4495.635126918474	11235.64418562298	5585.563047198022
73	1542.280874418539	4495.659111627235	11236.037117252748	5585.654990408067
74	1542.3218836244253	4495.680721469716	11236.392047217401	5585.737994607273
75	1542.3589216159883	4495.7001874285315	11236.71263560263	5585.812946400451
76	1542.3923711300238	4495.717723092908	11237.002191051788	5585.880639996986
77	1542.4225785810384	4495.733523932441	11237.263705698491	5585.941786951939
78	1542.4498574085158	4495.747767107371	11237.499885977293	5585.997025370102
79	1542.4744911409161	4495.76061196716	11237.713179836115	5586.046928349403
80	1542.4967361580304	4495.772201113785	11237.905801020464	5586.092011467047
81	1542.516824184375	4495.782661788901	11238.079750978193	5586.132739276209
82	1542.5349645685023	4495.792107379637	11238.236838737866	5586.16953090981
83	1542.5513463813109	4495.80063891928	11238.378698983779	5586.20276492702
84	1542.566140341904	4495.808346517561	11238.506808498907	5586.232783522742
85	1542.579500574683	4495.815310682398	11238.622501129328	5586.259896196685
86	1542.5915662075702	4495.821603508104	11238.726981407077	5586.284382964902
87	1542.6024628249022	4495.827289717319	11238.821336947707	5586.306497189181
88	1542.6123037869272	4495.832427557034	11238.906549720614	5586.326468090925
89	1542.6211914253363	4495.837069559839	11238.983506278846	5586.344503004014
90	1542.6292181236051	4495.841263187638	11239.053007029504	5586.36078940835
91	1542.6364672915201	4495.8450513767175	11239.115774622565	5586.37549677496
92	1542.643014243545	4495.848473002035	11239.17246153283	5586.388778245705
93	1542.6489269902258	4495.8515632764365	11239.22365690598	5586.4007721652615
94	1542.654266951051	4495.854354098022	11239.269892735652	5586.411603479287
95	1542.6590895964832	4495.856874356399	11239.311649434063	5586.421385009994
96	1542.6634450262923	4495.859150206226	11239.34936085443	5586.430218618569
97	1542.6673784907223	4495.86120531426	11239.383418818845	5586.438196262738
98	1542.6709308603884	4495.863061084393	11239.414177200715	5586.44540095715
99	1542.674139050164	4495.864736863769	11239.441955606437	5586.451907643901
100	1542.6770364017445	4495.866250132098	11239.467042696557	5586.45778398027
