	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
0	1e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	7.65570733470536e-10	5.0093290539500745e-11	-2.365236163457458e-13	-4.9765375251427597e-17	-7.838093293035278e-12	-2.878069228946426e-12	-2.00745114519207e-14	-1.1668990865195903e-14	-7.143131838141264e-10	7.534219949476073e-10	2.6629112016178475e-07	-1.41653566480269e-09	-2.8405824061019344e-13	-1.0003561508055808e-13	-3.0011977334966076e-10	-4.6578160590689033e-08	-2.9017915371422073e-08	-2.6672056671717543e-10	3.687365821923637e-10	2.7980881593273268e-08	-1.0033688980264066e-10	7.068368875503463e-11	-9.086233142455539e-09	-4.2380596558448874e-10	-8.795399116140699e-14	1.396358195068406e-10	2.168851233290075e-11	2.5687168971741604e-09	-2.8312864849100698e-09	-7.72155515630872e-09
2	-2.5979895363211925e-09	1.4813513157732738e-10	-8.413255428916374e-13	-1.259574923741978e-16	-2.0740013801220604e-11	-5.7516079111296845e-11	-8.47068266464988e-13	-1.1708951986285343e-13	-7.59336112617998e-09	7.66143455555811e-09	4.7495862638221806e-07	-2.9299904801394728e-09	-3.690963248274155e-13	-3.3821943912496463e-13	-7.403200621069996e-10	-6.250100847412614e-08	-2.647148284370693e-07	-4.006717035343164e-09	4.951616815504636e-09	1.9749245492781574e-07	-5.10742990921928e-10	-8.95518525247291e-11	-1.0248764193382125e-07	-1.6570659082060536e-09	-3.256198088307574e-13	-2.244708910871365e-08	3.391502041427225e-10	5.470040172156645e-08	-7.84657321541521e-08	-1.5723932540512748e-08
3	1.7119446984358557e-09	2.6183212059762677e-10	-1.4694733472122142e-12	-1.775386987124072e-16	-2.1863344361032317e-11	-1.5960864890018318e-10	-2.9320184623145057e-12	-2.0925225217323662e-13	-1.6227826812442824e-08	1.630357601817887e-08	5.503125948631364e-07	-3.0401515847474047e-09	-2.494616000939012e-13	-1.924799807343124e-13	-3.5156260681266694e-10	-5.368044770497538e-09	-4.943863578824539e-07	-1.0097798400053165e-08	1.2173181442102227e-08	3.6187959815810154e-07	-4.460324651221479e-10	-5.628323244146263e-10	-1.3476239326488136e-07	-2.8008952431107467e-09	-4.749333084478805e-13	-6.703500832551333e-08	1.0343156000382969e-09	1.7096581121221802e-07	-2.397678741141121e-07	-6.623445526616062e-09
4	7.703478484374712e-10	4.1689510879881697e-10	-2.1856176468949986e-12	-1.4818944773269277e-16	3.990239617862522e-11	-5.666879545513332e-10	-1.620555505659009e-11	-6.949901600234188e-15	-7.899374250386488e-08	7.886545378349644e-08	7.479215505594658e-07	-3.451531558340527e-09	1.4364209384400355e-13	-4.0356690204493385e-13	-7.614065499524825e-10	2.9913774420192184e-07	-1.9687238102988375e-06	-6.422348383950193e-08	7.221372587815545e-08	1.6558130972064904e-06	9.8164680107577e-10	-2.354275784548337e-09	-3.48020143288196e-07	-4.238369312964385e-09	-5.653534774904289e-13	-1.7297259802319657e-07	3.652077261239077e-09	1.2581218308444267e-06	-1.4316812862728235e-06	-1.4845109254150686e-08
5	3.5642839448317235e-10	5.536050700975364e-10	-2.834777350607219e-12	-9.756152989522615e-17	4.941371035970636e-11	-6.515931051256774e-10	-1.650065743438452e-11	-2.059982645986757e-13	-8.75447186214927e-09	8.686356006869672e-09	6.605004765966951e-07	-3.109794220295338e-09	2.4902433904585866e-13	9.708558952731439e-14	3.0183483257309935e-10	4.6510659937378453e-08	-4.0884552743898445e-07	-1.352436286801562e-09	7.950193404041625e-09	1.6769243827125043e-07	-9.655190588297799e-10	-2.9433746295755936e-10	-1.8185538177752663e-08	-5.22582840485829e-09	-4.5301656125400307e-13	-2.5603619294168487e-07	5.866371955365817e-09	-9.362720829686753e-08	-1.6176889411086932e-07	5.261421756778131e-09
6	3.56033782001584e-10	6.292809766835995e-10	-1.976935557970656e-12	1.7577564644132827e-16	9.183803516587861e-11	-6.53056706170015e-10	-1.4689637126877616e-11	-4.425080663731681e-13	5.845310366031792e-09	-5.794356965327921e-09	3.6959374795392935e-07	4.115477554739432e-09	1.3200503783909607e-12	1.828502092189734e-13	6.180676538192609e-10	2.045198079751007e-07	-7.539441171686971e-09	8.8215644837343e-09	-4.6194118508109774e-09	-1.3802712214138347e-07	-1.1505388277771144e-09	1.0108907584815732e-10	4.612286383140826e-08	-3.6723704411936432e-09	5.2459091737405494e-14	-3.0792079468478955e-07	7.47870678997466e-09	-3.938512146024492e-07	8.973680872553335e-08	2.1505845038709906e-08
7	3.5469195204405495e-10	7.114362687887839e-10	-2.0289503140365287e-12	3.9497012250789124e-16	1.340961964742594e-10	-6.753332916317281e-10	-1.4221165450717131e-11	-6.139402995445325e-13	-6.364842088682815e-10	7.898197214053592e-10	3.982588743505956e-07	-2.2643200915927355e-10	1.0649494390751267e-12	1.6919168274607907e-13	3.496944921284902e-10	2.0483475672981233e-07	-1.0638525123769705e-07	2.3535936015805422e-09	7.30351068040264e-10	1.6007232921336385e-08	-8.347456154694762e-10	-4.285781126959109e-11	2.2237194535524277e-08	-3.6644900605123663e-09	4.72792800978897e-13	-3.4191244892064536e-07	8.665446916167987e-09	-3.070106846081931e-07	-2.9900334663996715e-08	-5.259614068899895e-10
8	3.5469847747427454e-10	7.657988114246086e-10	-1.2299817676953302e-12	6.093776746056274e-16	1.977369437944709e-10	-6.838010304043211e-10	-1.3712921958680715e-11	-7.659681055169428e-13	6.963391639962465e-10	-4.3231270163579326e-10	2.6380651456460705e-07	3.8513233414325865e-09	1.0380895598791453e-12	7.448379612670453e-14	1.8532448209867466e-10	3.0780299833273684e-07	-4.172944847229988e-08	2.441301980513092e-09	-2.6891836216195737e-10	-9.537870429934701e-09	-7.359011834720903e-10	-8.675333579025657e-12	2.0226318220078212e-08	-2.3361386177483724e-09	8.56765374017429e-13	-3.631974581063124e-07	9.511214561827693e-09	-3.4577946733960324e-07	-1.0242058057256375e-08	9.72341922112601e-09
9	3.546912977161755e-10	8.170446974911766e-10	-1.0002386642650106e-12	8.439735266151201e-16	2.613556754329865e-10	-6.883746742114998e-10	-1.3419835178199321e-11	-8.840034881231668e-13	2.905733560380971e-10	8.414910931741896e-11	2.4845431178372803e-07	1.1260726648427788e-09	1.1364573988800282e-12	1.067970915714842e-13	2.957018386988339e-10	3.082848369248739e-07	-2.219945927658721e-08	1.4283975734192864e-09	1.0736087827032948e-10	3.113838514965749e-09	-5.729504372789582e-10	-1.4469207681995607e-11	2.3385654680734523e-08	-1.87586448859723e-09	1.2894640183426684e-12	-3.738854080962618e-07	1.0157146207641195e-08	-3.4645822774872257e-07	-1.9144609164477418e-08	1.8175752553703158e-09
10	3.54691378659044e-10	8.54292853880035e-10	-4.200061818251016e-13	1.0069289745184079e-15	3.349319246033253e-10	-6.883882849393956e-10	-1.3204373587236105e-11	-9.771540500725565e-13	4.959925763282865e-10	-9.756609674566747e-12	1.8080744753271122e-07	2.8033490544447458e-09	7.910356055330292e-13	6.72304420891216e-14	1.1687735729284438e-10	3.5626201321078636e-07	-2.435843962210914e-10	1.0430619223194142e-09	1.6688268366171277e-11	1.8530168498795804e-09	-4.5181436034641626e-10	-5.339008532778438e-12	2.020396906516604e-08	-9.053998040734715e-10	1.5968389101620173e-12	-3.7767283399639543e-07	1.0641208238949408e-08	-3.5036256519697286e-07	-1.757286352563693e-08	5.042648994044033e-09
