	Ib	It	Iv	Sb	St	Sv
0	39455.0	36931.0	234800.0	2590800.0	2425100.0	15418000.0
1	41314.487601328576	37490.90241904212	242240.33173750245	2589897.7419838924	2428475.88410008	15434501.572886612
2	43214.89969800851	38075.60644697544	249889.01658413737	2588937.7420893237	2431814.245393492	15450685.42353082
3	45158.38372524406	38686.2774883591	257756.7660342742	2587917.1416356494	2435113.4258255935	15466536.634817658
4	47146.9926763053	39324.001939980735	265853.76674616657	2586833.2428375464	2438371.9050574694	15482041.317385368
5	49182.32643129588	39989.583407581	274187.8915947089	2585683.9996490376	2441588.6011188743	15497189.227521831
6	51265.85551745749	40683.745011335646	282766.3633879876	2584467.554017189	2444762.560720652	15511971.178451443
7	53399.028056960335	41407.19658377271	291596.3062201203	2583182.08237857	2447892.8563180394	15526378.181051193
8	55583.30527496743	42160.657162665535	300684.92956836405	2581825.744565237	2450978.5516531914	15540401.15664352
9	57820.17345188611	42944.86269119369	310039.5911090052	2580396.666531467	2454018.689978538	15554030.839048035
10	60111.148096256526	43760.56882298994	319667.8194572327	2578892.934261223	2457012.2897912455	15567257.739261078
11	62457.77553688534	44608.5521069682	329577.32363866817	2577312.5913825165	2459958.3430542066	15580072.130875977
12	64861.63364679524	45489.61063527012	339775.998139259	2575653.6380219543	2462855.8142395527	15592464.04239168
13	67324.3322622732	46404.56451238625	350271.92644905363	2573914.0300862966	2465703.6396439215	15604423.251832819
14	69847.34927142657	47354.172010930495	361072.5565074465	2572091.8875912973	2468500.836040928	15615940.329876238
15	72432.27769791501	48339.25739015159	372185.95759302785	2570185.1797183203	2471246.3346597576	15627005.048689917
16	75080.93910449823	49360.76664621006	383621.367554129	2568191.581995075	2473938.909212182	15637605.688999284
17	77795.12483546264	50419.63799490747	395387.9132125421	2566108.8034506026	2476577.3435881766	15647730.656368565
18	80576.64842100654	51516.82765333037	407494.86498073314	2563934.5205896473	2479160.398451308	15657368.159157516
19	83427.32509568612	52653.30043268507	419951.54247728665	2561666.4027552363	2481686.8232683814	15666506.326667884
20	86348.99630759729	53830.042179008415	432767.4365528311	2559302.0809968556	2484155.3401149292	15675133.054180712
21	89343.53146026706	55048.06119182537	445952.2217535961	2556839.145503326	2486564.6417227522	15683235.986069826
22	92412.8301722967	56308.38889300835	459515.76508691674	2554275.1430202234	2488913.3905582153	15690802.505480107
23	95558.82949152558	57612.08565510667	473468.17376170453	2551607.5662602317	2491200.211099068	15697819.6686646
24	98783.49988077447	58960.23821264653	487819.7724300392	2548833.859327455	2493423.693113426	15704274.23472048
25	102088.84386883091	60353.959181648075	502581.0976825244	2545951.419264744	2495582.3921800754	15710152.671734363
26	105476.89366226185	61794.385692858115	517762.8854308355	2542957.5991599355	2497674.831390342	15715441.172829308
27	108949.71327073798	63282.681843098086	533376.08918786	2539849.7045043064	2499699.49799274	15720125.629536947
28	112509.40072944769	64820.04096041459	549431.8972941961	2536624.9895827495	2501654.8402669947	15724191.606759677
29	116158.08485806361	66407.68371546466	565941.7156522227	2533280.66170951	2503539.269881059	15727624.36484037
30	119897.92397761472	68046.85774656419	582917.1629278773	2529813.8826305135	2505351.162244692	15730408.864521857
