	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
0	3.4e-06	1.4e-06	0.0	0.0	9e-08	0.0	0.0	0.0	0.0	5e-12	2.5e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-08	1e-08	7e-10	0.0	0.0	0.0	1e-10	0.0	1.6e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3.3999999857931306e-06	1.3999999766784224e-06	2.069308892061036e-14	2.4107204905640073e-15	8.999994187466774e-08	5.247086907388121e-14	4.4081626790545115e-16	8.447733235367013e-23	1.6053605881982838e-22	4.003990635313429e-12	2.499976053250647e-09	9.284573080370176e-13	2.5044496597953977e-14	1.1180367009166346e-16	5.213646676058364e-15	1.3970095667861685e-14	4.207493958162517e-15	1.900452007942473e-14	1.9999960054344397e-08	9.99878485944539e-09	6.99998601902054e-10	1.3596524227121228e-15	3.844527827319047e-17	3.844527827319047e-17	1.0021913118992396e-10	3.994402685007761e-14	1.599995112089586e-07	4.354432232133485e-13	1.1221850304173812e-14	4.942229273018351e-15	8.853134477271347e-19	7.434364376559721e-19	1.9534589653533743e-16	2.1678684040241246e-17
2	3.3999999225438968e-06	1.3999998601852474e-06	9.085375219622529e-14	1.776318745346591e-14	8.999984687395567e-08	1.436413526396725e-13	2.1159617086680536e-15	9.300155929877866e-21	1.7834386242985602e-20	3.2572900183828933e-12	2.499924651759321e-09	1.6226541149437776e-12	3.472941729398037e-14	3.019124978637732e-16	7.368702848895459e-15	1.9590568316655937e-14	5.924493431628394e-15	5.2140772284304996e-14	1.999970566451251e-08	9.99703093332521e-09	6.999896982579379e-10	9.849586813195256e-15	4.521281143677801e-16	4.521281143677801e-16	1.012263566931733e-10	2.9418317082785677e-13	1.599986827835753e-07	1.1634439874901579e-12	5.275680031002223e-14	2.3207468394355193e-14	8.277504847330031e-17	6.954161239027747e-17	2.6610029773590272e-14	4.518241514348041e-15
3	3.3999997620765013e-06	1.3999993651187518e-06	1.9921125239146865e-13	5.142590375659355e-14	8.999974349170484e-08	2.4340991224088665e-13	4.954607991896545e-15	1.1042601257489463e-19	2.1202999254951066e-19	2.66438580541927e-12	2.4998578081125588e-09	2.1720160790632206e-12	3.812587680478704e-14	5.106135374313164e-16	8.143452476659184e-15	2.159083300479117e-14	6.538845820040262e-15	8.868849387380052e-14	1.999914788537519e-08	9.994722544209749e-09	6.999701759881316e-10	2.8187676622702022e-14	1.636012789597857e-15	1.636012789597857e-15	1.0294184159567028e-10	8.503785975436127e-13	1.599977739559597e-07	1.9322481773221667e-12	1.2173805744599162e-13	5.350339356703214e-14	9.43399158011807e-16	7.926281070900459e-16	3.2415714796586187e-13	5.929431600681458e-14
4	3.3999993528282803e-06	1.399997740861179e-06	3.3764849826041627e-13	1.0848174090276891e-13	8.999964085298942e-08	3.420561829088184e-13	8.943666728032401e-15	4.832105103474521e-19	9.301048193907825e-19	2.193444970003232e-12	2.4997796543587796e-09	2.6063762209442816e-12	3.801401933690015e-14	7.187022526475867e-16	8.145747639951771e-15	2.1568234263758722e-14	6.536688441825958e-15	1.251954171174021e-13	1.999820253028956e-08	9.991867944458781e-09	6.999370885601345e-10	5.880422636133735e-14	4.105800188756752e-15	4.105800188756752e-15	1.053255005112208e-10	1.7904420824006704e-12	1.5999686805861327e-07	2.659770414733384e-12	2.1669184995318936e-13	9.51502241028193e-14	3.818745356385813e-15	3.20888268362518e-15	1.4974639389743826e-12	3.12335760104944e-13
5	3.399998380530044e-06	1.3999936970347328e-06	4.966347533408087e-13	1.9240305652585894e-13	8.999954367603688e-08	4.3456400213356467e-13	1.40115505240197e-14	1.3979822844792836e-18	2.6963005653133e-18	1.8192852221517462e-12	2.4996933163506727e-09	2.9494145357533102e-12	3.607661741405417e-14	9.16185591904249e-16	7.744316189543943e-15	2.0490302669048764e-14	6.212583334736505e-15	1.5986023689565578e-13	1.9996812135794975e-08	9.988518971718951e-09	6.99888424752824e-10	1.0313370830225853e-13	8.43744459077285e-15	8.43744459077285e-15	1.0830031350319964e-10	3.169164411598848e-12	1.599960083872989e-07	3.304848762839301e-12	3.3467491321331553e-13	1.468234124317901e-13	1.0160781898996865e-14	8.539011527332063e-15	4.527924195340827e-12	1.0774642504073002e-12
6	3.3999963197265026e-06	1.3999854499955583e-06	6.669703993817733e-13	3.051076301622724e-13	8.999945406639448e-08	5.187051828241086e-13	2.0060685680569874e-14	3.1918362539737526e-18	6.165886724614241e-18	1.5219601429574e-12	2.4996011983832746e-09	3.2199336700434547e-12	3.331297420853675e-14	1.098540670262635e-15	7.158379308509758e-15	1.893196816702159e-14	5.741611254506748e-15	1.9186271339030764e-13	1.999494503890107e-08	9.98474751450103e-09	6.998230763615372e-10	1.6168596033581913e-13	1.5228320403828454e-14	1.5228320403828454e-14	1.1177444564192666e-10	5.015772546795702e-12	1.599952144455789e-07	3.850738342392554e-12	4.721461645451274e-13	2.069389033350554e-13	2.1292814619859887e-14	1.7895737516615902e-14	1.0678170197899768e-11	2.881860476846255e-12
7	3.3999924126491835e-06	1.3999708620975023e-06	8.40653058531931e-13	4.4716094508318394e-13	8.999937262321341e-08	5.938574218130663e-13	2.6986239062567012e-14	6.238508556098827e-18	1.2066617123636955e-17	1.2856530001503776e-12	2.499505171090721e-09	3.4328662856713363e-12	3.0300559765852655e-14	1.2644056520411383e-15	6.514820616956829e-15	1.7225775827555583e-14	5.225077419764167e-15	2.2095007489611535e-13	1.999259202176052e-08	9.980631443026895e-09	6.99740720761618e-10	2.3419624260183595e-13	2.5064690654319186e-14	2.5064690654319186e-14	1.156542099732551e-10	7.33773844915834e-12	1.5999449197066194e-07	4.295019618714704e-12	6.254780998987564e-13	2.7387883438225805e-13	3.8163213187666394e-14	3.207657713499214e-14	2.1331550789495733e-11	6.486461127577518e-12
8	3.3999856776152065e-06	1.3999476238451066e-06	1.011238248825841e-12	6.180394049070865e-13	8.99992991140858e-08	6.602833020323479e-13	3.4686436554567954e-14	1.0919472715186282e-17	2.1142312892000354e-17	1.0978104282849226e-12	2.4994066963636556e-09	3.6000721186907046e-12	2.735930064339849e-14	1.4141699587553048e-15	5.884113838984929e-15	1.5556235165201113e-14	4.719222309973476e-15	2.471844111080588e-13	1.9989761940793485e-08	9.97624640903706e-09	6.996416679277717e-10	3.198033546480628e-13	3.8496655794452114e-14	3.8496655794452114e-14	1.1985140139122555e-10	1.0125359267304041e-11	1.5999383905568121e-07	4.643397330848551e-12	7.912468126167372e-13	3.461192252356482e-13	6.123181317856915e-14	5.1468126035165706e-14	3.7818411143386575e-11	1.2876997970456764e-11
9	3.3999749425067154e-06	1.3999134350873088e-06	1.1739132003664164e-12	8.164060206632952e-13	8.999923288118625e-08	7.18696561912382e-13	4.3067823371605e-14	1.760031246364973e-17	3.410659943495498e-17	9.484623485976434e-13	2.4993069125839722e-09	3.730969679160907e-12	2.465395962414652e-14	1.549124905888798e-15	5.302721573282744e-15	1.4018629354115736e-14	4.2531193674437334e-15	2.7079041741657096e-13	1.9986477146025268e-08	9.971661319166816e-09	6.995267001108842e-10	4.1722760544740167e-13	5.602057675635268e-14	5.602057675635268e-14	1.2428714318178215e-10	1.3356332158392198e-11	1.5999324984017108e-07	4.9058598362047545e-12	9.663849050733232e-13	4.2229699861029135e-13	9.047318549428783e-14	7.604863084645865e-14	6.126845942835152e-11	2.3230085411276075e-11
