	A	I1	I2	S
0	200.0	5000.0	1000.0	3800.0
1	651.1023723197961	5943.745476585753	1011.2773519739507	3205.318669642478
2	967.4500329022682	6614.329780528284	1033.860074817292	2771.280663851023
3	1189.0299992879031	7064.64316616281	1063.9094463501356	2479.1713104451537
4	1342.8211942705148	7356.802564410352	1098.5618312180204	2292.7467302472737
5	1448.4836744279803	7542.7004368654025	1135.839641718429	2178.0750507064918
6	1520.5459254630136	7659.752190648971	1174.4381849753038	2109.6127808432225
7	1569.5604574064625	7732.9791245954975	1213.5198175382957	2069.9851286956923
8	1603.0026601747156	7778.472431684519	1252.5536371267233	2047.98975227651
9	1626.0344574715239	7806.346919522018	1291.2068948067156	2036.634567095095
10	1642.1500950654554	7822.904082936561	1329.271780040987	2031.6377551835028
11	1653.6768380309168	7832.066490413562	1366.6191120822998	2030.408436663927
12	1662.1486470514665	7836.293792608577	1403.1691721223935	2031.3889764276498
13	1668.5627208812048	7837.133922951739	1438.8741144869396	2033.657786164723
14	1673.567875177201	7835.5861755446185	1473.7062715444574	2036.6676679010743
15	1677.600723199247	7832.340649905292	1507.6501930781199	2040.073978456356
16	1680.9338061142525	7827.8397244241705	1540.7008048064097	2043.691229454215
17	1683.7498952907433	7822.400225597004	1572.858773894226	2047.4070499839484
18	1686.1759876396782	7816.2634837349015	1604.129032040488	2051.1474607168316
19	1688.293954464454	7809.597998615272	1634.5200184841126	2054.8771680583204
20	1690.166443024837	7802.545831592584	1664.0423720755227	2058.567393993925
21	1691.837375770842	7795.215685997303	1692.7087298504025	2062.2026487069134
22	1693.3427020885688	7787.702390571157	1720.533211941069	2065.767772090812
23	1694.7056014958598	7780.07013643342	1747.53119297571	2069.262025078902
24	1695.9482933557256	7772.383153480766	1773.718868126358	2072.6772374954385
25	1697.0877103323432	7764.690144004752	1799.1132559462985	2076.0104579846634
26	1698.136452924829	7757.027980881619	1823.7318457599831	2079.2623257606137
27	1699.1065426141167	7749.431370081492	1847.5924984879764	2082.430416083556
28	1700.0076733370902	7741.9269148683725	1870.7133860094852	2085.5143775941165
29	1700.8481082452004	7734.536386579186	1893.1128281059491	2088.5141522641247
30	1701.634735629839	7727.276801091772	1914.8092222338962	2091.430360791473
31	1702.373331042905	7720.16126095558	1935.8209612250496	2094.2641046680374
32	1703.0689970477472	7713.200320642762	1956.1663561525295	2097.0163197702186
33	1703.7263169839093	7706.402433629223	1975.8635833961505	2099.6877562308396
34	1704.3492649755399	7699.773739455976	1994.930647131659	2102.2794048875185
35	1704.941157329415	7693.318112845428	2013.3853376732964	2104.7927152649095
36	1705.5047908918236	7687.037722460188	2031.2451985703772	2107.2293277603358
37	1706.0425938172923	7680.933523297372	2048.527490656654	2109.590897069091
38	1706.5567050490572	7675.005496593241	2065.2491660333794	2111.879076480584
39	1707.0490030453489	7669.2527601210995	2081.426850987808	2114.095558169311
40	1707.5211264132267	7663.673680529423	2097.0768332432613	2116.2420859566655
