	A	I1	I2	S
0	1800.0	5400.0	4500.0	15300.0
1	4676.989516644302	15978.703646860175	4646.792778026667	188.57828290962382
2	5105.957420242493	12674.763103153586	4503.882900799725	233.35037052751198
3	4728.116600349496	10546.115581577462	4178.3129678720015	277.4366169489843
4	4217.8612776137215	9177.02558545934	3802.467729485882	317.6644282682722
5	3769.9683452764684	8299.003427698599	3442.384406399106	351.8621842431146
6	3422.0710918184363	7738.101221863855	3126.831745225966	379.1894477144966
7	3165.063267516814	7381.387656733266	2864.4586874082947	399.9435490050033
8	2979.6384452447733	7155.577513995301	2653.742223094211	415.09598073604894
9	2847.4541589645987	7013.265443943579	2488.621916987853	425.84306032458437
10	2753.81622585889	6923.943215407859	2361.572826303687	433.3135729666622
11	2687.7047097934005	6868.091459518746	2265.1781473278656	438.4380615517149
12	2641.1065392723535	6833.292347912444	2192.844048942703	441.9247159886178
13	2608.286924933277	6811.685834837144	2139.042933203501	444.2863370156137
14	2585.176623544749	6798.318387530864	2099.3134896192614	445.88278604768107
15	2568.9016738605483	6790.079834900161	2070.148830653675	446.96171028932895
16	2557.4373122984844	6785.023803142427	2048.845085385136	447.69152898592387
17	2549.358749752097	6781.935913551866	2033.3478869843532	448.1860099227752
18	2543.6638238682876	6780.060713917024	2022.1141099340382	448.52174450698254
19	2539.647632119991	6778.929652434277	2013.9951567217229	448.7502372421214
20	2536.814230285027	6778.253049341985	2008.1423734311536	448.9061345089099
21	2534.814552233914	6777.852444337654	2003.9325084556401	449.01277307851865
22	2533.402798580864	6777.6183363109585	2000.9101410301644	449.0859024692636
23	2532.405804260077	6777.483849661991	1998.7438864767687	449.1361765788255
24	2531.7015177456824	6777.408366260838	1997.1934711251458	449.1708208556156
25	2531.2038752765407	6777.367379027898	1996.0852088569027	449.19474875297686
26	2530.8521642252094	6777.346220914053	1995.2938723350387	449.2113106211419
27	2530.6035390812435	6777.336202091135	1994.7293737646664	449.2227971459371
28	2530.427752664917	6777.332239757083	1994.3270290494454	449.23077863810266
29	2530.3034448562653	6777.331410396479	1994.040471613716	449.2363343189771
