time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0.0.	0.510679872952	0.954577660503	0.000124095095865	20.9158330985	20.9158330985	0.916438841557	0.08356115844260001	5.0	14.9904622516	0.00953774842945	0.00122834645669	5.5275590551200005e-05	-1.5407439555097882e-33	0.0	0.0	0.0	0.0	0.0	0.902499906231	0.09750009376890001	0.238450337937	0.870509482564	0.000256557042108	0.0128210126003	1.02135960422	0.29998908305	1.09169502571e-05	0.0	0.0435253045909	0.00359387714163	0.0714016751111	0.179665419134
900.0.	0.369637251606501	0.9561262996393841	0.000125576760249	22.941824739306774	21.165573448935074	0.9028145652311721	0.097185434768427	3.776799617957794	14.989439238218	0.010560761811450001	0.0010901849080150001	4.905888091518014e-05	1.3574404937966622e-09	3.3742470812732615e-05	3.195269132328297e-08	1.872738262131309e-07	0.017933805101106003	0.009323261707200001	0.8895856215359831	0.11041437846391601	0.269005729736298	0.7490830213575891	0.00041118624648700004	0.020552348212484	0.7392745836373381	0.29996587805925	3.412194100660834e-05	2.1991364474301512e-05	0.037453814026876	0.006301235235727	0.15672140616760802	0.31498859329973
1800.0.	0.03781140136392	1.031890653342491	0.000167074282481	57.24065766642109	28.16001062481234	0.8718680176150171	0.128131982384581	2.852843068356333	14.986671362844636	0.013328637184816002	0.000680690655759	3.0632298711693355e-05	2.558956246652723e-09	0.000133752668509	6.194722754547963e-08	3.692279739117405e-07	0.034733767558417006	0.018167834793633	0.860219029230435	0.13978097076946402	0.467673195021621	0.390967704833701	0.002904086404297	0.145200067382346	0.07562273031675401	0.29993114084464	6.885915561717755e-05	6.639625138237564e-05	0.019548051880470003	0.010618534259542001	0.17157120552072203	0.530843254483056
2700.0.	0.028150765911027	1.779799845188748	0.00043993881915100003	178.65382235672718	74.15090654715323	0.845932020505848	0.154067979493751	2.154923320320307	14.984045790375452	0.015954209653991	0.00015442729182500001	6.95066098527164e-06	2.317026190586942e-09	0.00026228220925	8.962836672532375e-08	5.396766308821222e-07	0.050237502460268	0.026450497959937	0.8354444820619911	0.164555517937908	0.7978042891471571	0.20092289988671802	0.0058017494531400005	0.290083089670618	0.056301307038762	0.29991727398025203	8.272602000481335e-05	0.00026499345502	0.010045878059049001	0.007991063626335	0.10761457745939401	0.399496483183625
3600.0.	0.090985224815591	3.853154042689717	0.0008527263405220001	224.01751380792172	143.72478469059052	0.8629083745574281	0.13709162544217102	1.6277427131677542	14.985393690395144	0.01460630963429	7.551960118446569e-06	3.4070490896801756e-07	4.85243547542398e-10	0.000298154615591	1.147455553374014e-07	6.969706119989142e-07	0.06430471526129501	0.034091132213432004	0.8535416189878451	0.14645838101205402	0.8733546521381371	0.36771824584121504	0.0027859847951080003	0.13929584379506302	0.18197003580503301	0.29996384087558203	3.615912467453437e-05	0.001134826713078	0.018385626271201	0.005354621403768	0.113066693907551	0.26768721209586405
4500.0.	0.24207938743194402	5.94468261770937	0.00098777015874	159.74977414266104	166.48547371694065	0.880793216362823	0.119206783636776	1.229531610371237	14.987261894031755	0.012738105997669	3.4960733723954643e-06	1.581806683976462e-07	4.5241519481859254e-10	0.000299145203809	1.3711784345714478e-07	8.396843727492398e-07	0.07683413407759901	0.041020696519980006	0.871245901618356	0.128754098381543	0.681641239886379	0.565793335996149	0.0008557541488780001	0.042785431827462	0.48415840358656503	0.29997546395667	2.4536043586201153e-05	0.002285527855435	0.028289405699209003	0.004773417054744	0.12068479747001801	0.238627604299734
5400.0.	0.391843039623438	6.67562067280159	0.0008719886423	103.31756470824084	146.97064891141306	0.8900155444273781	0.10998445557222102	0.928738902449695	14.98817486007368	0.011825139955745	2.264787397784964e-06	1.027719066309304e-07	4.4792264075993363e-10	0.00029944592351700003	1.5665886878010678e-07	9.667879494903158e-07	0.08777749541528701	0.047189586502506	0.879818701585198	0.1201812984147	0.53187778871156	0.6464092281970041	0.00048311230596200004	0.024151862826076002	0.783685753235398	0.299976628549162	2.3371451094021813e-05	0.0034930553830850005	0.032320200354985	0.005204050271037	0.13609343045452701	0.26015640424098
6300.0.	0.508461741829214	6.211606249888845	0.0006863018572590001	68.96415584933213	115.67371466824135	0.8947156924878461	0.10528430751175301	0.7015321457868791	14.98861207053265	0.011387929496779001	1.6726138285637191e-06	7.612390987437751e-08	4.4644790846880575e-10	0.00029959055100400005	1.7338984080116e-07	1.07778913612385e-06	0.09714680140060601	0.052574498780361	0.883921611036877	0.11607838896302101	0.45544672043834006	0.6755569896626921	0.000360650441108	0.018027803021972003	1.016923192947702	0.299976777461513	2.3222538743075673e-05	0.0047141957794030005	0.033777586849881004	0.005683041531460001	0.146448486685399	0.28410441973744105
7200.0.	0.5853847531855181	5.201973089593575	0.0005173659205680001	49.46322981483666	87.20015392863974	0.8971056448494971	0.10289435515010201	0.529909267565684	14.988820911461033	0.011179088568398	1.331088349219e-06	6.075523231516513e-08	4.4580398088366914e-10	0.000299673962193	1.874366482434949e-07	1.172807472658956e-06	0.10501268132314101	0.057181939828476004	0.88588120028737	0.11411879971252901	0.42034402841079405	0.6859667354508251	0.00030991059536600004	0.015490335110998002	1.170769247839718	0.299976810883739	2.3189116517273912e-05	0.005915193444119	0.034298073374301005	0.005978145605768001	0.151953199673341	0.29885899887029205
8100.0.	0.619538483810499	4.125655997074506	0.000389567449677	38.74143803836626	65.66019295094308	0.8983204128355531	0.101679587164045	0.40027222349797303	14.988920651001552	0.011079349027882001	1.112887811448312e-06	5.093621371574333e-08	4.4547342565782993e-10	0.00029972725353900003	1.990119551463042e-07	1.2525579572305748e-06	0.11149434777568401	0.061047330273763	0.886817128924647	0.113182871075252	0.40482788597346503	0.689640614206659	0.00029150493733900003	0.014569837370639	1.239076741145937	0.299976823972918	2.3176027338114082e-05	0.007069705057784001	0.034481767134265005	0.006129158784158001	0.154360072664453	0.306409428104334
9000.0.	0.6105114810847511	3.212334293226424	0.000301892839171	33.15263792507563	50.88297115575837	0.898938166584576	0.101061833415023	0.30234959587569704	14.988968334931421	0.011031665098013	9.63982440262437e-07	4.423548816936064e-08	4.452851283883146e-10	0.000299763620833	2.083874688595911e-07	1.318249353619365e-06	0.116744054646882	0.064229973033414	0.887264667495377	0.112735332504521	0.39837514042590505	0.6905180236340931	0.000294791965006	0.014734096752538001	1.221022766489483	0.29997683075998005	2.3169240276258584e-05	0.008158287017012001	0.034525637848292004	0.006198103747067	0.15451941462652502	0.309856621150831
9900.0.	0.562614886423566	2.527820408218406	0.00024616868726700004	30.729748621936324	41.490884212433315	0.899252706634977	0.100747293364622	0.228382767504781	14.988991181385883	0.011008818643551	8.576083538152749e-07	3.944867349305459e-08	4.451686584779022e-10	0.000299789600662	2.158634655895789e-07	1.371426537430085e-06	0.12093002667735502	0.066805339488791	0.887479166235512	0.11252083376438701	0.39643681102716605	0.689782382012187	0.00031848513849800004	0.015918721342109	1.125229603186997	0.29997683474749604	2.3165252759525294e-05	0.009167807757357	0.034488856423172	0.006222801534336001	0.152647236352692	0.31109155706360203
10800.0.	0.48626011360813703	2.060267467403606	0.000214282715744	30.529113532015465	36.11663598168467	0.899413194194398	0.1005868058052	0.172511189821197	14.989002167107808	0.010997832921632	7.790422783280172e-07	3.5913217955864146e-08	4.450929796947448e-10	0.000299808788913	2.2174175322132572e-07	1.413797172591237e-06	0.12422132009389401	0.068856637469851	0.8875823640311261	0.11241763596877201	0.397245761901139	0.6876379681918341	0.00036612868034600004	0.018300894971476002	0.972520074602193	0.299976837265087	2.3162735168578744e-05	0.010090661127000002	0.034381636889188	0.006221051366558	0.14861910460413102	0.31100418320230905
11700.0.	0.39740604576586	1.773503947207991	0.000200412150998	32.223904878177095	33.778820404825574	0.899495342872586	0.10050465712701301	0.130308039060124	14.98900747950623	0.010992520523209	7.195408822504713e-07	3.323567077487838e-08	4.4504163241747403e-10	0.000299823320979	2.263056572741323e-07	1.447077884000869e-06	0.12677661984195102	0.070467360001272	0.887632309732834	0.11236769026706502	0.40029580349616906	0.683916884916527	0.00044388887558200005	0.022188920748669003	0.794811943846046	0.299976838937594	2.316106266166143e-05	0.010923833257572001	0.034195584496028004	0.006199236405309	0.142229459295691	0.309913667888561
12600.0.	0.31461587091779303	1.63286725505652	0.00020119755396200002	35.79276344940287	33.91121796123588	0.8995375949729191	0.10046240502668001	0.09842947032497601	14.989010070865358	0.010989929164079001	6.735997846971604e-07	3.116833473380701e-08	4.450055715047104e-10	0.000299834541202	2.2980787438139247e-07	1.4728803478118689e-06	0.128737443740052	0.07171579048123801	0.8876567043598571	0.11234329564004202	0.40553162186082503	0.67851648531834	0.0005544036953670001	0.027714689658862004	0.6292315864724161	0.29997684009331904	2.3159906937282744e-05	0.011667918201562	0.033925566848082005	0.006158736177999001	0.13370113383158502	0.30788899506412004
13500.0.	0.25359496538555804	1.61336564210393	0.000214736307741	41.04728300804559	36.1931494191439	0.899559482208478	0.10044051779112001	0.07434967715047301	14.989011351737389	0.010988648292049001	6.37590162374643e-07	2.9547912955742062e-08	4.449794579384369e-10	0.00029984333585400004	2.324651465287908e-07	1.492642130947264e-06	0.130225165690941	0.07267168420375901	0.8876687857244211	0.11233121427547701	0.41254049305876705	0.672157004182109	0.0006813613882550001	0.034062601918388	0.507189758529475	0.299976840917732	2.3159082524269732e-05	0.012326173008075002	0.033607595114694	0.006102695786511	0.12451750944672901	0.30508737815916104
14400.0.	0.22103178493132003	1.695067671698978	0.00023831141563700003	46.97031935124636	40.16667032229243	0.8995709394784791	0.10042906052111901	0.056160766400506004	14.989011997499132	0.010988002530309	6.090283836970694e-07	2.826264231723972e-08	4.449601480579623e-10	0.00029985031151400003	2.344578840137613e-07	1.507596337856746e-06	0.131340808867174	0.073394828525657	0.887674894134142	0.112325105865756	0.41971196846665704	0.666900296758235	0.0007801235630160001	0.039000728180392005	0.442063378098817	0.299976841521496	2.315847875998553e-05	0.012903677120948	0.033344761062591	0.006043588527081	0.11746388432856	0.302132356581288
15300.0.	0.21340611589408	1.849816772578565	0.00026613011958000004	51.75329738189997	44.85542481354881	0.8995770288452901	0.10042297115430801	0.042421592179395	14.98901233256528	0.010987667464157	5.861612873354091e-07	2.72336308147811e-08	4.4494555221715147e-10	0.00029985589635700004	2.359328357078004e-07	1.518769423576884e-06	0.13216654399201402	0.073934961448267	0.8876780765678861	0.11232192343201201	0.42465545713754604	0.664728773939902	0.0008120387082870001	0.040596498338128006	0.42681202389125505	0.29997684197358804	2.315802666763398e-05	0.013406630572314001	0.033236184855065	0.006001300273007001	0.11458141384960001	0.300018097308123
16200.0.	0.22219481925793402	2.033318391686888	0.000290449629001	54.09548257854917	48.95439023263044	0.8995803359411431	0.10041966405845501	0.032043570599698	14.98901251351218	0.010987486517256001	5.677187741249773e-07	2.64037242316367e-08	4.449343254878457e-10	0.000299860400582	2.370072791751847e-07	1.5269963569582038e-06	0.132768037583948	0.07433252362228	0.8876798046520471	0.11232019534785101	0.42613803090254904	0.665574762264575	0.0007851866541030001	0.03925390748389	0.44438942053039204	0.299976842318592	2.315768166359364e-05	0.013841799692951	0.033278483385703	0.005987410627382001	0.11547403018043101	0.29932357646768304
17100.0.	0.238947868872418	2.1964989123103082	0.00030573768400600005	54.07374203392113	51.53112778616214	0.899582186164376	0.10041781383522301	0.024204429020644003	14.989012616442615	0.010987383586818	5.527601699716358e-07	2.573059244587852e-08	4.4492555745942787e-10	0.00029986405393	2.377736806508801e-07	1.532944441522093e-06	0.13319706249311802	0.074619823606053	0.8876807943900951	0.112319205609804	0.42485256694509604	0.6679500600229881	0.000733902728226	0.036689715613775	0.477895515448621	0.29997684258621704	2.3157414038768252e-05	0.01421610152659	0.033397247232194005	0.005997341585206001	0.118339080611391	0.29981998218425404
18000.0.	0.257186708997143	2.305815915005484	0.00031094801030600005	52.60521334215464	52.40929776322217	0.8995832623628021	0.10041673763679601	0.018283055643136002	14.989012678727802	0.010987321301639002	5.405754919086065e-07	2.518228640444923e-08	4.4491861795914484e-10	0.0002998670298	2.383041954732402e-07	1.5371398176135108e-06	0.133494018557513	0.074822328427289	0.887681397907472	0.11231860209242601	0.422286602341354	0.6705298871413811	0.0006839771410410001	0.034193431190938005	0.5143731956710921	0.29997684279679004	2.3157203466399313e-05	0.014536308529154001	0.033526237719475	0.006018978206926	0.12157263878090101	0.30090165157679305
