	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
0	0.00015	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1	7.991278082940606e-05	2.4926533520929073e-06	1.8895425742522754e-08	6.0318175665904756e-05	7.2574947268555474e-06	0.04327549771375717	0.9520946127632848	0.0021486710054232235	0.00241113129836467
2	8.050587821139303e-05	4.659187154291946e-06	3.72909248315628e-08	5.78385108744153e-05	6.9591328350692574e-06	0.08027205822722784	0.906229321237353	0.004203764669210684	0.00922536174442021
3	8.121280130006347e-05	6.539239147755425e-06	5.5219071119998945e-08	5.551337429990918e-05	6.679366181154499e-06	0.11167258426429084	0.8622279183959789	0.0061679394025147575	0.019862770738515608
4	8.202390160191105e-05	8.167322689237669e-06	7.277081494074408e-08	5.3320490744187296e-05	6.415514149724808e-06	0.13809063449671416	0.819979361208124	0.008046359344264413	0.03381566885249978
5	8.29311163465354e-05	9.57197366086958e-06	9.001968101147208e-08	5.1241520557570376e-05	6.1653697540143916e-06	0.16006545708815265	0.7793883114908419	0.009843449582602729	0.050635712954749834
6	8.392756779570345e-05	1.0777063668202492e-05	1.0702500330985018e-07	4.926124227042676e-05	5.927101262359606e-06	0.17807458023205372	0.7403724136776587	0.011563024855738662	0.0699239088023452
7	8.500725675825023e-05	1.1802788326844468e-05	1.2383431181779868e-07	4.736694190276597e-05	5.699178700328278e-06	0.19254372131989056	0.7028601223266269	0.013208392407997298	0.09132277120224444
8	8.616482372077435e-05	1.2666422338005011e-05	1.404851119202243e-07	4.554795062171564e-05	5.480318207588754e-06	0.20385466655334825	0.6667889430149616	0.014782435423127602	0.11451011983228418
9	8.739535953696326e-05	1.3382904302481633e-05	1.5700622399346404e-07	4.37952905278958e-05	5.2694394086700265e-06	0.21235159261013414	0.6321039880165616	0.0162876816779871	0.13919413305485487
10	8.869425328407828e-05	1.3965295222772075e-05	1.7341880257387353e-07	4.210140029609274e-05	5.065632394487707e-06	0.21834617713151286	0.5987567744268218	0.017726360821293894	0.16510938187365645
11	9.0057068741513e-05	1.4425141833537602e-05	1.8973712228379886e-07	4.045992042473065e-05	4.8681318779395285e-06	0.2221217568566128	0.566704211029929	0.01910045280317911	0.19201363637902155
12	9.147944360907265e-05	1.477276710805804e-05	2.0596919577352902e-07	3.88655233393478e-05	4.676296747755016e-06	0.22393672937366385	0.5359077336557964	0.02041172934600804	0.21968528706814178
13	9.295700745670726e-05	1.5017504154103536e-05	2.2211727375781024e-07	3.7313777411349495e-05	4.4895937040915924e-06	0.22402734893424808	0.506332558659126	0.021661789879466743	0.24792125953461713
14	9.44853157300019e-05	1.5167885373021887e-05	2.381782664843941e-07	3.580103664692504e-05	4.307583983570719e-06	0.22261003342876504	0.4779470315392797	0.022852093013001406	0.2765353273346852
15	9.605979808374366e-05	1.5231795650031644e-05	2.5414411813912186e-07	3.432434973399048e-05	4.129912414097678e-06	0.2198832749283583	0.45072205332981885	0.023983984352358583	0.3053567471875495
16	9.767571997997005e-05	1.5216596103138835e-05	2.700021597216916e-07	3.288138354722879e-05	3.956298209878698e-06	0.2160292277345455	0.4246305717109436	0.02505872126120683	0.3342291550132862
17	9.932815693013885e-05	1.5129223297397639e-05	2.8573546125913963e-07	3.147035726781115e-05	3.786527043330619e-06	0.21121503394076732	0.39964712717299655	0.02607749500788306	0.3630096720352854
18	0.00010101198102576031	1.4976267659099517e-05	3.013231995888157e-07	3.008998408436588e-05	3.620444031125016e-06	0.2055939358693142	0.3757474472154387	0.02704145061046532	0.3915681782858097
