	A	E	G	R
0	1.0	0.0	100000000.0	0.0
1	4.526586932869358	6118.24740366423	2216609.7653131015	1561.55386439039
2	4.0128343542099865	9624.512744573114	3710149.467925171	2870.3255763472107
3	4.024199355132177	11715.929377979111	4593192.385127055	3887.20488925091
4	4.25811730214275	13309.1352021169	5245669.230809833	4796.184856829262
5	4.594648895620455	14765.524673504438	5831073.245061958	5702.091995471809
6	4.986313000519972	16227.459703010563	6413828.279853898	6663.196973206423
7	5.413629365773089	17750.340041550608	7019085.480642387	7715.209755990648
8	5.867541469790587	19354.08747789194	7656062.092069596	8882.694718211502
9	6.342460328657121	21043.0073268512	8327061.517945773	10183.80707678391
10	6.833507215720271	22813.293078334587	9030893.799720882	11631.893203908938
11	7.335439080053639	24655.77044632678	9764133.173713248	13235.608586209057
12	7.84228958316675	26556.883240143554	10521568.625152392	14998.320049797028
13	8.347356388457724	28499.147265838285	11296398.839929134	16917.213430171007
14	8.843393358178666	30461.59180589981	12080403.673478695	18982.40834447114
15	9.322944446765263	32420.412199094993	12864191.994140001	21176.34749970096
16	9.778774431191898	34349.92606680362	13637568.652680114	23473.701934918023
17	10.204336800749557	36223.80877518535	14390015.228493217	25841.982845922543
18	10.594219598764337	38016.533756706434	15111258.137493625	28242.941682160483
19	10.944501300601953	39704.869449722435	15791867.46737754	30634.71027351694
20	11.252962726230514	41269.25546171691	16423816.611132884	32974.47559816523
21	11.519126183757399	42694.88373232622	17000932.10535169	35221.35985650557
22	11.744125323895087	43972.35358454945	17519178.550717425	37339.122674941595
23	11.930437690281531	45097.83909303425	17976750.292567503	39298.341114900104
24	12.08153392348433	46072.782418438124	18373971.219970375	41077.80122320459
25	12.201499652638821	46903.2027824971	18713035.711080033	42665.0258073502
26	12.29468153066955	47598.73607302921	18997634.666500717	44055.941281216656
27	12.365393677802704	48171.58220792186	19232537.93036701	45253.93697082026
28	12.41769755014343	48635.45149001404	19423170.225533016	46268.467101443915
29	12.455259553392725	49004.62318125962	19575227.7357611	47113.45365367298
30	12.481277132293526	49293.17945933079	19694362.607621256	47805.705899824556
31	12.498457005942395	49514.429414204365	19785942.88033645	48363.4932096413
32	12.509031980784464	49680.52896651185	19854891.457781803	48805.37332052849
33	12.514800758150635	49802.26033717084	19905590.155134954	49149.28465753532
34	12.517180817968118	49888.94770346292	19941839.84701107	49411.907732685315
35	12.517265460596782	49948.4767340596	19966863.909792013	49608.278962444085
36	12.515879133076671	49987.38022161566	19983339.576245952	49751.59925113044
37	12.513628520032482	50010.9653186753	19993447.127294112	49853.190646731055
38	12.510948698378611	50023.46617944345	19998930.176454376	49922.56431458643
39	12.508140114476289	50028.19429906261	20001155.759474766	49967.55640089554
40	12.505401870404462	50027.692556875525	20001176.291180264	49994.50640539106
41	12.502856975937483	50023.87091563536	19999784.48878616	50008.4494637663
42	12.500573721815302	50018.132639847645	19997564.636547383	50013.31465452841
43	12.498581141558365	50011.4770754431	19994934.496104944	50012.10483583052
44	12.496882426584552	50004.59545185941	19992184.45169964	50007.073907630955
45	12.495463744902477	49997.94256287235	19989506.91260122	49999.871762329414
46	12.494300653402249	49991.79433991602	19987019.970114868	49991.66758915635
47	12.493364147946316	49986.30243418818	19984789.847195867	49983.26711928451
48	12.49262303220454	49981.52622933877	19982844.1500386	49975.19332901574
49	12.492047138278803	49977.46696740608	19981185.953091525	49967.76628824133
50	12.491608056151039	49974.08568953199	19979801.275882475	49961.15424593996
51	12.491280224893755	49971.32123549505	19978666.56225823	49955.42213665654
52	12.491041307803522	49969.100783421796	19977753.079745945	49950.56246929632
53	12.490872225351348	49967.34797526176	19977030.333485372	49946.52191433724
