	Tstar	V	Vin	Vni
0	15061.32075	1860000.0	1860000.0	0.0
1	15011.958351972027	1859672.2839851745	1577397.6869993892	282274.596985789
2	14877.146463142399	1857615.8342330602	1337733.0718915712	519882.76234149194
3	14673.7266051171	1852656.961625338	1134482.3645996542	718174.5970256875
4	14415.821604531107	1844089.2790910604	962112.8575909114	881976.4215001529
5	14115.254708412884	1831556.0368260609	815932.5598788451	1015623.4769472198
6	13781.905294954466	1814957.3565125545	691962.4812062244	1122994.875306334
7	13424.011187997994	1794377.519500552	586827.9918606059	1207549.5276399506
8	13048.423176691693	1770028.9333220636	497667.26599438896	1272361.6673278278
9	12660.821468375927	1742208.564715115	422053.3363379052	1320155.2283773504
10	12265.899189431604	1711265.1776964609	357927.9214379013	1353337.256258692
11	11867.517138451616	1677574.345161407	303545.5485123999	1374028.7966491447
12	11468.83570886353	1641520.0256359421	257425.83792354667	1384094.1877125322
13	11072.425544764916	1603481.333890125	218313.40558711646	1385167.928303145
14	10680.361930301231	1563823.0983186846	185143.58981945456	1378679.508499367
15	10294.304381634121	1522889.5298475674	157013.48201600555	1365876.0478316993
16	9915.563947194072	1481000.2293484893	133157.36517952383	1347842.8641691033
17	9545.16015940895	1438447.945338094	112925.8666522704	1325522.078685962
18	9183.869143732154	1395497.664063244	95768.2865524198	1299729.377510962
19	8832.264371755311	1352386.6556185829	81217.57016933685	1271169.0854493836
20	8490.750855982018	1309325.2314423556	68877.64151149736	1240447.5899309951
21	8159.594171754847	1266497.961893979	58412.600006427114	1208085.3618876887
22	7838.944863902392	1224065.2141409684	49537.58245406762	1174527.631687038
23	7528.859032799869	1182164.8742409605	42011.005437055675	1140153.8688040418
24	7229.315646828802	1140914.1630191295	35627.992597874196	1105286.170421393
25	6940.231122676234	1100411.4719745512	30214.792738088556	1070196.6792365997
26	6661.471539640855	1060738.1732491013	25624.057769597235	1035114.115479641
27	6392.862928418361	1021960.3617316496	21730.822309244577	1000229.539422542
28	6134.199833507511	984130.5098965446	18429.113947378788	965701.395949303
29	5885.252531075139	947289.0185754637	15629.056494687427	931659.9620809136
30	5645.773004876107	911465.6548445064	13254.429954315234	898211.2248903286
31	5415.499931691732	876680.8742351196	11240.596374944813	865440.2778605495
32	5194.1628280734	842947.0269541997	9532.737091911698	833414.2898626785
33	4981.485461425211	810269.4510272392	8084.364321379923	802185.0867062585
34	4777.188676241164	778647.4585811396	6856.052250411514	771791.4063311314
35	4580.992697559029	748075.2185485337	5814.3659445094245	742260.8526044274
36	4392.6190135622355	718542.5461458869	4930.950105586941	713611.5960407032
37	4211.791895252618	690035.6028498086	4181.757651171136	685853.8451990407
38	4038.2396150682976	662537.5161915644	3546.394924307113	658991.1212676605
39	3871.6954110614965	636028.9248986352	3007.5671557075307	633021.3577433311
40	3711.898240943455	610488.4581796175	2550.6072171539286	607937.850962867
41	3558.5933590665327	585893.1540667786	2163.076581125775	583730.0774860688
42	3411.532740952652	562218.8242589874	1834.425738836562	560384.3985205666
43	3270.475396275643	539440.3684536433	1555.7091115091034	537884.6593425495
44	3135.187567117073	517532.0480143256	1319.3397340574306	516212.7082806835
45	3005.442850861595	496467.71930625493	1118.8836789686247	495348.83562770154
46	2881.0222520431357	476221.0346132874	948.8841790312306	475272.1504346713
47	2761.7141766654654	456765.6113380851	804.7138393481257	455960.89749915205
48	2647.3143821542812	438075.17618848203	682.4482723095856	437392.72791658755
49	2537.6258897628263	420123.6856531827	578.7593335395711	419544.92632005824
50	2432.4588675968885	402885.4262660212	490.82455764456085	402394.60170879174
51	2331.630490487696	386335.0972451634	416.25032036568234	385918.8469252129
52	2234.964781973315	370447.877839365	353.00662808540545	370094.8712116949
53	2142.2924424378225	355199.481126638	299.3719657436428	354900.10916130967
54	2053.4506674881286	340566.19652382686	253.886372099777	340312.3101521423
55	1968.2829592541357	326524.9222868394	215.31169240966335	326309.61059484485
56	1886.6389335750293	313053.1894412932	182.59793561777835	312870.5915060905
57	1808.3741240122483	300129.17853050365	154.8546048414617	299974.3239260772
58	1733.3497857244174	287731.7300396839	131.32650451579434	287600.4035355832
59	1661.4326999017308	275840.34959784214	111.37318688116792	275728.9764113759
60	1592.4949798338373	264435.2087362988	94.45151064002883	264340.7572260737
61	1526.4138796243374	253497.14191054026	80.10085377736979	253417.04105717782
62	1463.0716065294423	243007.64042928605	67.93058803246635	242939.70984166852
63	1402.35513692926	232948.8438141366	57.609437035500505	232891.23437751594
64	1344.1560364423042	223303.5290376913	48.85644743346149	223254.67259067268
65	1288.370285316104	214055.09810948625	41.43335789561524	214013.66475200542
66	1234.8981082809241	205187.56429011925	35.13810818359212	205152.42618235052
67	1183.6438095215465	196685.5372597113	29.79933768898864	196655.7379224372
68	1134.515612948461	188534.20750826632	25.271724000420708	188508.93578468083
69	1087.4255072863348	180719.33011082723	21.432020744461415	180697.89809049774
70	1042.289096965396	173227.20817659772	18.1757114212022	173209.03246559153
71	999.0254573693893	166044.6759754449	15.414154119799003	166029.26182174013
72	957.556996050936	159159.0820569283	13.072178012293428	159146.00987933105
73	917.809318462988	152558.27232305097	11.086033777378974	152547.18628968866
74	879.711098733125	146230.57321250014	9.401657915937088	146221.17155499925
75	843.1939552100115	140164.77505309443	7.973200719573881	140156.80185278994
76	808.1923307625856	134350.1156599249	6.761778251175923	134343.3538820888
77	774.6433779309045	128776.26426257318	5.734415994084633	128770.52984699418
78	742.4868478601556	123433.30566823362	4.86314783828223	123428.44252081038
79	711.6649842393964	118311.72488597383	4.1242570249984025	118307.6006293639
80	682.1224211329991	113402.39209671385	3.497630769031401	113398.89446635988
81	653.8060848419541	108696.54802924274	2.9662120848846563	108693.58181757292
82	626.6650997070043	104185.78975860144	2.5155357171830106	104183.27422329935
83	600.6506974913423	99862.05690319515	2.1333335978058208	99859.9235700124
84	575.7161307427596	95717.61830570051	1.8092017705426737	95715.80910434504
85	551.8165895665628	91745.05913291752	1.5343176928789533	91743.52481563968
86	528.909121420144	87937.26835531849	1.301198498308146	87935.96715723521
87	506.9525547043608	84287.42673718276	1.1034987160031426	84286.3232388818
88	485.90742479948165	80788.99514382619	0.9358367086447394	80788.05930753257
89	465.7359040377945	77435.7034153876	0.7936487673951972	77434.90976703528
90	446.40173349988396	74221.5394759951	0.6730643559008737	74220.8664120543
91	427.87015844657816	71140.73898183543	0.5708012082488431	71140.16818104225
92	410.10786578820483	68187.77525765671	0.4840755617655345	68187.29118251002
93	393.08292457716	65357.349687141905	0.41052669770819733	65356.939160859154
94	376.7647287427805	62644.3824376943	0.3481526142310346	62644.03428549503
95	361.1239421239588	60044.00353308284	0.29525543891566025	60043.70827805888
96	346.1324459208956	57551.5442980801	0.250395299920042	57551.29390319513
97	331.76328817862117	55162.52911601119	0.21235107398763217	55162.31676535214
98	317.9906354180806	52872.667521187395	0.18008715531244043	52872.48743444699
99	304.78972630060895	50677.84661044351	0.15272529820543512	50677.69388556021
100	292.13682717924627	48574.12375222435	0.12952072056982614	48573.9942319187
