	CYCDcdk4	CYCDcdk4p27	CYCEcdk2p27	E2F	aCYCEcdk2	aCYCEcdk20	aCYCEcdk21	iCYCEcdk2	p27	pRB	pRBE2F
0	0.0	0.0	1.0	0.0	0.0	5.0	0.01	0.01	15.0	0.05	1.95
1	0.0009440056150569991	0.0030975986743525504	0.9932427423025142	0.012149413745694814	0.001139006450730531	3.808053844633752	0.022456976176393785	0.04756954202929782	14.761742859049928	0.1304093705676379	1.9374711758539773
2	0.001091034532797945	0.0065899657075474665	0.9875719938787607	0.03934123085137449	0.0011511320977577414	3.088087665843914	0.05144704242841079	0.21553271631694718	14.523109826588469	0.20933660698688036	1.9083251353185395
3	0.0012052948275875783	0.01031229617462988	0.981993721453969	0.08084041331042408	0.001164488345912669	2.6540441099456102	0.0973643518352929	0.6010129756723706	14.286236666218329	0.2861361687253219	1.8621171946405537
4											
5											
6											
7											
8											
9											
10											
11											
12											
13											
14											
15											
16											
17											
18											
19											
20											
21											
22											
23											
24											
25											
26											
27											
28											
29											
30											
31											
32											
33											
34											
35											
36											
37											
38											
39											
40											
41											
42											
43											
44											
45											
46											
47											
48											
49											
50											
51											
52											
53											
54											
55											
56											
57											
58											
59											
60											
61											
62											
63											
64											
65											
66											
67											
68											
69											
70											
71											
72											
73											
74											
75											
76											
77											
78											
79											
80											
81											
82											
83											
84											
85											
86											
87											
88											
89											
90											
91											
92											
93											
94											
95											
96											
97											
98											
99											
100											
