	C1	C2	C2a	C2b	C3	C3a	C3b	C4	C4BP	C4BP_C4b	C4BP_GlcNac_LF_CRP	C4BP_PC_CRP	C4BP_PC_CRP_LF	C4a	C4b	C4b_C2a	C4b_C2a_C4BP	CRP	GlcNac	GlcNac_HF	GlcNac_HF_MASP	GlcNac_LF	GlcNac_LF_C1_MASP	GlcNac_LF_CRP	GlcNac_LF_CRP_C1	GlcNac_LF_CRP_MASP	GlcNac_LF_MASP	HF	LF	MASP	PC	PC_CRP	PC_CRP_C1	PC_CRP_LF	PC_CRP_LF_C1	PC_CRP_LF_C1_MASP	PC_CRP_LF_MASP	X	dC3b	dC4b_C2a	dC4b_C2a_C4BP	iC4b_C2a
0	2470.0	310.0	0.0	0.0	4650.0	0.0	0.0	770.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	6.8	0.0327796	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0
1	2469.9971580926035	309.66318662595984	0.3352649544000508	0.336813374040045	4649.999785006176	0.00021499383190914516	1.0400905289934646e-05	769.645599602504	242.4266694155372	0.35051049916124716	0.0	0.029926580216582177	0.0	0.3544003974965106	0.002341478695269395	1.973870466620974e-06	0.00029248649850278555	1.9672227748122757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999997556195268	6.799998279116021	2.3748122729455807e-06	8.729362975898958e-06	0.002839471803437486	6.405189641714466e-09	7.165155589156759e-07	1.7190743477376653e-06	1.8096351287003253e-09	0.0005	4.234040357452612e-06	4.933990540050568e-07	7.273947990476622e-05	0.0011770433035226842
2	2469.994864678813	308.73078431128596	1.2271906021661652	1.269215688713738	4649.993141866565	0.006858133443778266	0.00016642743680616562	768.6625098555078	225.4762467664373	1.2862754501243665	0.0	0.0276338538049436	0.0	1.3374901444930263	0.00918960782108908	3.06714611102751e-05	0.004272231942002885	1.9672221414654194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999995098346314	6.799996522849023	1.741465419669479e-06	8.673897121347245e-06	0.0051304291788408065	6.789012694837113e-09	1.4177136788043866e-06	3.474290006894021e-06	2.8609761369634534e-09	0.0005	6.84772880505578e-05	1.5922691285757127e-05	0.002211726472391946	0.03537704628112167
3																																										
4																																										
5																																										
6																																										
7																																										
8																																										
9																																										
10																																										
11																																										
12																																										
13																																										
14																																										
15																																										
16																																										
17																																										
18																																										
19																																										
20																																										
21																																										
22																																										
23																																										
24																																										
25																																										
26																																										
27																																										
28																																										
29																																										
30																																										
31																																										
32																																										
33																																										
34																																										
35																																										
36																																										
37																																										
38																																										
39																																										
40																																										
41																																										
42																																										
43																																										
44																																										
45																																										
46																																										
47																																										
48																																										
49																																										
50																																										
51																																										
52																																										
53																																										
54																																										
55																																										
56																																										
57																																										
58																																										
59																																										
60																																										
61																																										
62																																										
63																																										
64																																										
65																																										
66																																										
67																																										
68																																										
69																																										
70																																										
71																																										
72																																										
73																																										
74																																										
75																																										
76																																										
77																																										
78																																										
79																																										
80																																										
81																																										
82																																										
83																																										
84																																										
85																																										
86																																										
87																																										
88																																										
89																																										
90																																										
91																																										
92																																										
93																																										
94																																										
95																																										
96																																										
97																																										
98																																										
99																																										
100																																										
