id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	269.7510000000102	272.98331260681147	74	110	0.0	
{Bungay2006}_{Bungay2006}	180.9690000000002	184.0604543685913	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	111.86500000000092	114.50552940368652	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	45.98891735076904	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	2092.933416366577	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	32.244999999999926	33.04886817932129	45	166	0.0	
{Hui2014}_{Hui2014}	24.021000000000072	24.59967136383057	65	113	0.0	
{Lai2014}_{Lai2014}	89.85600000000002	90.74842929840088	195	27	0.0	
{Leber2015}_{Leber2015}	270.1124999999984	270.5621719360352	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	45.12650000002578	49.0802526473999	86	300	0.0	
{Liu2011}_{Liu2011}	863.4584999999886	866.3479089736937	42	89	0.0	
{ODea2007}_{ODea2007}	11.924499999999995	12.286067008972168	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	112.37650000000002	112.92397975921631	90	20	0.0	
{Pathak2013}_{Pathak2013}	7.783000000000013	8.412361145019531	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	6.391999999999998	7.055044174194336	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	0.0	29.909491539001465	25	87	-1.0	
{Proctor2010a}_{Proctor2010a}	0.0	146.29268646240234	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	61.5999698638916	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	145.4834938049316	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	384.8049999999994	386.07025146484375	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	57.111500000000284	59.22889709472656	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	61.057209968566895	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	18.19849999999994	18.84591579437256	50	56	0.0	
{Ueda2001}_{Ueda2001}	4.301499999999976	4.623055458068848	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	225.09205341339108	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	26.104092597961426	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	12.979999999996693	14.391064643859865	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	3.3564999999999383	4.500985145568848	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	3.2925000000000137	4.422426223754883	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	3.170000000000221	4.275560379028319	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	3.186000000000181	4.275798797607422	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	4.15300000000056	5.271315574645996	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	3.133499999999934	4.236340522766113	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	4.1535000000004025	5.257725715637207	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	2.774499999999973	3.859400749206543	4	8	0.0	
{bachmann2011}_{bachmann}	577.7239999999953	579.9698829650879	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	639.8010000000131	642.0308351516724	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	6.351500000000493	7.512807846069336	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.6015000000002466	2.6750564575195312	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	2.4045000000002865	3.478527069091797	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.7370000000004486	2.857804298400879	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	1888.2455000000518	1890.8345699310305	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	15.518999999998712	16.690969467163086	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	12.669999999997652	14.858365058898926	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	55.99349999999895	57.37638473510742	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	30.040499999999625	31.61156177520752	5	13	0.0	
{borghans1997_fig8-user}_{model0_borghans2}	18.874499999998	20.8054780960083	4	17	0.0	
{brands2002_fig2-user}_{model0_brands1}	2.034999999999874	3.192067146301268	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	269.0535000000011	271.00574970245356	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	173.97650000000075	177.12640762329102	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	112.391500000002	115.05675315856934	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	182.95349999999888	186.47098541259768	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	11.369499999998679	13.234972953796387	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	2.110500000000944	3.2061338424682617	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	448.2464999999981	454.7804594039917	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	448.8250000000303	455.4368257522583	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	5.145499999999637	6.56437873840332	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	10.614499999999666	12.092351913452148	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	4.484999999998244	5.67173957824707	7	14	0.0	
{essunger1994_fig4}_{model0_essunger2}	8.51699999999937	9.77027416229248	7	16	0.0	
{essunger1994_fig5}_{model0_essunger3}	6.428999999998709	7.769346237182617	7	17	0.0	
{essunger1994_fig6-user}_{model2_essunger3}	9.484500000000224	10.756611824035645	7	17	0.0	
{essunger1994_fig8}_{model0_essunger6}	6.482999999998309	7.763504981994629	7	17	0.0	
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	2.404999999997983	3.943800926208496	6	29	0.0	
{fisher2006_fig3a}_{fisher1}	3.3474999999992576	4.8035383224487305	14	22	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	6.403000000001142	7.638216018676758	6	8	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	6.195999999998343	7.4280500411987305	6	8	0.0	
