id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	56.68100000000732	59.58008766174317	74	110	0.0	
{Bungay2006}_{Bungay2006}	59.97650000000124	63.09175491333008	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	24.868499999998907	27.31442451477051	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	32.706999999999994	33.3101749420166	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	330.3400000000001	403.47659587860113	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	5.502500000000055	6.1141252517700195	45	166	0.0	
{Hui2014}_{Hui2014}	9.737999999999992	10.222911834716797	65	113	0.0	
{Lai2014}_{Lai2014}	26.481999999999857	27.29237079620361	195	27	0.0	
{Leber2015}_{Leber2015}	14.02750000000002	14.308929443359375	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	31.461499999976574	35.30573844909668	86	300	0.0	
{Liu2011}_{Liu2011}	31.984499999999798	34.31391716003418	42	89	0.0	
{ODea2007}_{ODea2007}	2.724000000000004	3.025531768798828	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	15.910499999999786	16.236305236816403	90	20	0.0	
{Pathak2013}_{Pathak2013}	4.376500000000013	4.94539737701416	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	4.3910000000000045	4.983305931091309	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	6.24599999999997	6.632804870605469	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	143.43549999999985	144.37818527221683	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	80.13999999999953	80.81030845642091	75	131	0.0	
{Qi2013a}_{Qi2013a}	144.0314999999996	144.90866661071775	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	24.753999999999905	25.81489086151123	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	41.42350000000019	43.36082935333252	240	272	0.0	
{Singh2006}_{Singh2006}	83.7969999999998	84.6130847930908	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	9.05750000000005	9.448885917663574	50	56	0.0	
{Ueda2001}_{Ueda2001}	5.4659999999998785	5.79524040222168	13	66	0.0	
{Ung2008}_{Ung2008}	101.42599999999979	103.78897190093994	194	313	0.0	
{Yang2007}_{Yang2007}	14.62949999999998	15.008926391601562	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	11.57849999999943	13.054251670837402	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	3.8875000000006983	5.066037178039551	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	3.025000000000148	4.2003393173217765	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	3.478000000000561	4.633069038391113	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	3.477500000000294	4.609346389770508	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	5.143500000000621	6.303548812866211	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	3.3250000000008555	4.440188407897949	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	5.124500000000693	6.290316581726074	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	3.1115000000004165	4.218459129333496	4	8	0.0	
{bachmann2011}_{bachmann}	9.535500000001583	11.298298835754395	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	9.130500000001746	10.83672046661377	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	9.349499999997732	10.576963424682617	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	2.548000000000748	3.6586523056030273	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	2.9465000000003565	4.050970077514648	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.7345000000001285	2.8399229049682617	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	13.642499999998947	15.6785249710083	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	19.47699999999773	20.75982093811035	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	18.09199999999901	20.32732963562012	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	74.73249999999364	76.3697624206543	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	39.53899999999595	41.298866271972656	5	13	0.0	
{borghans1997_fig8-user}_{model0_borghans2}	25.49049999999676	27.59110927581787	4	17	0.0	
{brands2002_fig2-user}_{model0_brands1}	2.7769999999999797	3.962874412536621	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	5.636000000000905	7.1501731872558585	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	58.3755000000009	61.54847145080566	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	33.12549999999329	35.766482353210456	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	61.05399999999847	64.26191329956055	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	5.2424999999978565	7.0275068283081055	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	4.073999999999764	5.200862884521484	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	39.09599999999318	45.21751403808594	18	135	0.0	
