id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	786.0100000000017	788.5842323303223	74	110	0.0	
{Bungay2006}_{Bungay2006}	426.4024999999901	429.134726524353	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	322.796499999994	324.95319843292236	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	34.06012058258057	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	584.3676328659058	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	228.90850000000137	229.71451282501218	45	166	0.0	
{Hui2014}_{Hui2014}	66.4555000000002	66.99645519256592	65	113	0.0	
{Lai2014}_{Lai2014}	899.5490000000027	900.3188610076904	195	27	0.0	
{Leber2015}_{Leber2015}	0.0	16.792535781860348	23	51	-1.0	
{Levchenko2000a}_{Levchenko2000a}	34.41599999999818	37.94717788696289	86	300	0.0	
{Liu2011}_{Liu2011}	0.0	39.567112922668464	42	89	-1.0	
{ODea2007}_{ODea2007}	42.73699999999985	43.08903217315674	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	425.39150000000063	425.76873302459717	90	20	0.0	
{Pathak2013}_{Pathak2013}	11.258000000000052	11.84070110321045	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	9.100499999999988	9.671926498413086	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	0.0	19.182801246643066	25	87	-1.0	
{Proctor2010a}_{Proctor2010a}	0.0	70.6503391265869	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	30.28738498687744	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	70.42860984802245	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	0.0	46.84925079345703	99	234	-1.0	
{Sengupta2015}_{Sengupta2015}	61.23300000000002	63.02428245544434	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	41.540265083312995	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	58.038500000000106	58.41445922851562	50	56	0.0	
{Ueda2001}_{Ueda2001}	7.1845000000000026	7.489204406738281	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	62.15858459472656	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	21.45540714263916	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	18.42799999999899	19.70672607421875	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	4.000999999998879	5.1087141036987305	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	4.087499999999215	5.177855491638184	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	3.3019999999999032	4.3877363204956055	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	3.342000000002173	4.417657852172852	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	5.100000000000122	6.2067508697509775	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	3.6815000000013	4.754900932312012	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	5.075499999999408	6.144881248474121	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	2.509000000000306	3.576278686523437	4	8	0.0	
{bachmann2011}_{bachmann}	0.0	3830.988883972168	26	32	-1.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	5116.194000000185	5118.2847023010245	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	5.231499999999688	6.343483924865723	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.5485000000000642	2.5806427001953125	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	2.109000000000087	3.1741857528686523	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.4885000000000197	2.5532245635986333	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	0.0	17.03953742980957	33	72	-1.0	
{bier2000_fig3-user}_{model0_bier2}	13.303999999998505	14.47749137878418	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	11.219499999995904	13.272762298583984	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	85.67550000000584	86.92538738250731	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	26.77400000000182	28.176188468933105	5	13	0.0	
{borghans1997_fig8-user}_{model0_borghans2}	18.14149999999846	19.966602325439453	4	17	0.0	
{brands2002_fig2-user}_{model0_brands1}	1.7490000000009154	2.89607048034668	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	0.0	15.889167785644533	18	30	-1.0	
{bungay2003_fig4-user}_{model2_bungay3}	401.377999999999	403.88524532318115	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	312.82349999999906	315.0461912155152	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	443.7974999999978	446.4592933654785	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	530.0264999999881	532.0981740951538	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	1.797000000000086	2.8247833251953125	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	3193.316500000072	3199.4956731796265	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	3198.756500000021	3203.848242759705	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	7.792499999996878	9.119749069213867	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	9.676499999999884	11.094331741333008	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	5.679499999998188	6.7937374114990225	7	14	0.0	
{essunger1994_fig4}_{model0_essunger2}	13.84199999999784	15.001177787780762	7	16	0.0	
{essunger1994_fig5}_{model0_essunger3}	9.650999999999868	10.877013206481934	7	17	0.0	
{essunger1994_fig6-user}_{model2_essunger3}	15.830999999998484	17.037510871887207	7	17	0.0	
{essunger1994_fig8}_{model0_essunger6}	8.861999999997373	10.04314422607422	7	17	0.0	
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	1.919500000000092	3.371596336364746	6	29	0.0	
{fisher2006_fig3a}_{fisher1}	3.4914999999978207	4.859685897827148	14	22	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	4.5165000000001365	5.577445030212402	6	8	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	4.10399999999972	5.172967910766602	6	8	0.0	
{fuentes2005_fig1a-user}_{model0_fuentes1}	1.4229999999995613	2.4930238723754883	4	4	0.0	
{fung2005_fig3a}_{fung1_Fig3A_Vgly_0_5}	196.29000000000974	197.6032257080078	8	21	0.0	
{gardner1998_fig4b-user}_{gardner1_Fig4B}	5.622999999993767	6.760239601135254	5	21	0.0	
{goldbeter1991_fig3-user}_{model0_goldbeter2}	17.09499999999747	18.23282241821289	3	14	0.0	
{goldbeter2006_fig3a-user}_{model0_goldbeter6}	9.666500000000166	10.791778564453123	3	11	0.0	
{gorlich2003_fig4-user}_{model0_gorlich1}	21.05249999999849	22.275447845458984	13	16	0.0	
{hald2012_fig5-user}_{model0_hald}	0.0	15.521407127380373	31	89	-1.0	
{hald2012_fig5-user}_{model1_hald}	0.0	16.937971115112305	31	89	-1.0	
{hatakeyama2003_fig5-user}_{hatakeyama1_Fig5G}	0.0	17.131805419921875	36	68	-1.0	
{hernandezvargas2013}_{model0_esteban2013}	19.503999999995244	20.68972587585449	5	15	0.0	
{ho1995_fig3}_{model1_ho1}	1.189500000000422	2.201199531555176	1	1	0.0	
{hockin1999_fig7a-user}_{model0_hockin2}	42.62350000000122	44.129252433776855	30	9	0.0	
{hockin2002_fig3-user}_{model0_hockin1}	364.4614999999922	366.25730991363525	34	42	0.0	
{hockin2002_fig3-user}_{model1_hockin1}	372.19200000001365	373.887300491333	34	42	0.0	
{hockin2002_fig3-user}_{model2_hockin1}	374.8210000000113	376.6459226608277	34	42	0.0	
{hockin2002_fig3-user}_{model3_hockin1}	371.9330000000109	373.73197078704834	34	42	0.0	
{hockin2002_fig3-user}_{model4_hockin1}	374.1844999999976	376.0411739349365	34	42	0.0	
{hockin2002_fig3-user}_{model5_hockin1}	360.88750000001073	362.72978782653814	34	42	0.0	
{hornberg2005_fig2a-user}_{model0_hornberg1}	2.981999999999537	4.1087865829467765	9	17	0.0	
{ihekwaba2004_fig5-user}_{model0_ihekwaba1}	20.809499999998078	22.446155548095703	26	64	0.0	
{jiang2007_fig2-user}_{model0_jiang1}	543.6250000000006	547.0130443572998	59	306	0.0	
{karin2017_fig1c}_{model22_karin1}	1.6624999999999126	2.712845802307129	2	3	0.0	
{karin2017_fig1g}_{model24_karin3}	2.0570000000000546	3.262042999267578	2	3	0.0	
{karin2017_fig2}_{model0_karin5}	55.59500000000321	57.477593421936035	5	2	0.0	
{kholodenko1999_fig4b-user}_{model0_kholodenko1}	8.409999999999904	9.836196899414062	23	52	0.0	
{kholodenko2000_fig2a-user}_{model0_kholodenko2}	20.19049999999939	21.3850736618042	8	22	0.0	
{kim2011_figs5-user}_{model0_kim5}	25.27149999999969	26.76737308502197	4	14	0.0	
{kirschner1998_fig2-user}_{model0_kirschner}	8.692999999999303	9.770512580871582	2	8	0.0	
{kofahl2004_fig3-user}_{model0_kofahl}	2616.637000000006	2619.351506233216	37	47	0.0	
{kolodkin2010_figure2b}_{kolodkin1}	8.318000000001064	9.406685829162598	3	8	0.0	
{kolodkin2010_figure2b}_{kolodkin2}	611.4024999999824	612.8166913986206	6	8	0.0	
{kolodkin2010_figure2b}_{kolodkin3}	235.8365000000097	237.21969127655032	10	17	0.0	
{kolodkin2010_figure2b}_{kolodkin4}	144.64850000000246	145.93338966369632	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin5}	619.924999999977	621.3806867599487	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin6}	372.82999999997634	374.1997480392456	8	15	0.0	
{kouril2017_fig1a}_{model1_kouril4}	1.4085000000009682	2.447962760925293	6	7	0.0	
{kouril2017_fig2b}_{model0_kouril5}	1.4000000000003894	2.4003982543945312	2	1	0.0	
{kouril2017_fig3b}_{model0_kouril6}	4.211000000000087	5.293607711791992	7	10	0.0	
{kouril2017_fig4b}_{model0_kouril7}	15.27949999999828	16.473650932312008	11	14	0.0	
{kouril2017_fig4c}_{model0_kouril8}	31.04299999999927	32.294869422912605	13	21	0.0	
{kowald2006_fig2-user}_{model0_kowald1}	0.0	8.150935173034668	9	16	-1.0	
{laub1998_fig3top-user}_{model0_laub1}	5.301500000000004	6.447792053222656	7	14	0.0	
{lebeda2008_fig1-user-2}_{model0_lebeda2}	1.7064999999998842	2.7393102645874023	4	3	0.0	
{lee2010_fig3-user}_{model0_lee4}	253.8054999999963	255.1664113998413	14	22	0.0	
{lee2010_figs6-user}_{model0_lee2}	215.1184999999955	216.44759178161618	9	12	0.0	
{lee2010_figs9-user}_{model0_lee3}	1.4980000000000562	2.5317668914794917	4	4	0.0	
{leloup1999_fig2a}_{leloup1_Fig2A}	10.107000000000083	11.63327693939209	10	46	0.0	
{leloup2003_fig2a}_{leloup2_Fig2A}	13.918499999998927	15.88749885559082	16	80	0.0	
{levchenko2000_fig2-user}_{model0_levchenko2}	11.973499999998026	13.53013515472412	31	46	0.0	
{levchenko2000_fig2-user}_{model1_levchenko2}	11.951999999997373	13.498783111572266	31	46	0.0	
{levchenko2000_fig2-user}_{model2_levchenko2}	12.225499999999785	13.740062713623047	31	46	0.0	
{levchenko2000_fig2-user}_{model3_levchenko2}	11.977999999997635	13.509392738342285	31	46	0.0	
{levchenko2000_fig2-user}_{model4_levchenko2}	12.083999999998367	13.648509979248047	31	46	0.0	
{levchenko2000_fig2-user}_{model5_levchenko2}	12.207999999998094	13.76652717590332	31	46	0.0	
{levchenko2000_fig2-user}_{model6_levchenko1}	10.479999999997688	11.85309886932373	22	30	0.0	
{levering2012_fig5-user}_{model3_levering2}	3249.1529999999293	3251.1664628982544	25	122	0.0	
{li2014_fig3-user}_{model0_li1}	59.84450000000254	61.04016304016113	3	10	0.0	
{liu2011_fig5a-user}_{model0_liu2}	0.0	19.92368698120117	42	89	-1.0	
{liu2011_fig5a-user}_{model1_liu2}	0.0	24.94931221008301	42	89	-1.0	
{liu2011_fig5a-user}_{model2_liu2}	0.0	25.56216716766357	42	89	-1.0	
{lou2009_fig2-user}_{lou1}	1.4899999999997389	2.596974372863769	6	12	0.0	
{ma2002_fig2-user}_{model0_ma}	4.720999999997083	5.881786346435548	7	14	0.0	
{marhl2000_fig2-user}_{model0_marhl}	18.2619999999954	19.67012882232666	5	11	0.0	
{martins2003_fig6-user}_{model0_martins1}	2.7349999999997547	3.8739442825317374	14	16	0.0	
{marwan2003_fig5b-user}_{model0_BIOMD0000000037}	3.555499999997636	4.864335060119629	12	12	0.0	
{mcauley2012_fig1b-user}_{model0_mcauley1}	1276.4750000000784	1278.7528038024902	34	44	0.0	
{mcauley2012_fig1b-user}_{model1_mcauley1}	1277.0214999999735	1279.2783975601194	34	44	0.0	
{mcauley2012_fig1b-user}_{model2_mcauley1}	1258.2094999999244	1260.4254484176636	34	44	0.0	
{mcauley2012_fig1b-user}_{model3_mcauley1}	1263.4720000000161	1265.6975984573364	34	44	0.0	
{mcauley2012_fig1b-user}_{model4_mcauley1}	1254.5969999999695	1256.8650245666506	34	44	0.0	
