observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
mM BPG		condition1	0.1245614035	0		sigma_mM_BPG	log10	normal
mM BPG		condition1	0.2631578947	5		sigma_mM_BPG	log10	normal
mM BPG		condition1	0.3298245614	10		sigma_mM_BPG	log10	normal
mM BPG		condition1	0.2245614035	20		sigma_mM_BPG	log10	normal
mM BPG		condition1	0.2929824561	30		sigma_mM_BPG	log10	normal
stdev		condition1	0.0455802844	0		sigma_stdev	log10	normal
stdev		condition1	0.2592240079	5		sigma_stdev	log10	normal
stdev		condition1	0.1575076477	10		sigma_stdev	log10	normal
stdev		condition1	0.2639112025	20		sigma_stdev	log10	normal
stdev		condition1	0.1884720111	30		sigma_stdev	log10	normal
mM 3PG		condition1	3.698245614	0		sigma_mM_3PG	log10	normal
mM 3PG		condition1	3.3257309942	5		sigma_mM_3PG	log10	normal
mM 3PG		condition1	3.3374269006	10		sigma_mM_3PG	log10	normal
mM 3PG		condition1	3.1228070175	20		sigma_mM_3PG	log10	normal
mM 3PG		condition1	3.0538011696	30		sigma_mM_3PG	log10	normal
stdev_1		condition1	0.2670415186	0		sigma_stdev_1	log10	normal
stdev_1		condition1	0.399716479	5		sigma_stdev_1	log10	normal
stdev_1		condition1	0.4724165407	10		sigma_stdev_1	log10	normal
stdev_1		condition1	0.382874389	20		sigma_stdev_1	log10	normal
stdev_1		condition1	0.4601923044	30		sigma_stdev_1	log10	normal
stdev		condition2	0.0682296017	0		sigma_stdev	log10	normal
stdev		condition2	0.1612699676	5		sigma_stdev	log10	normal
stdev		condition2	0.0049621529	10		sigma_stdev	log10	normal
stdev		condition2	0.1252943595	20		sigma_stdev	log10	normal
stdev		condition2	0.1079268245	30		sigma_stdev	log10	normal
mM 3PG		condition2	4.0166666667	0		sigma_mM_3PG	log10	normal
mM 3PG		condition2	3.4192982456	5		sigma_mM_3PG	log10	normal
mM 3PG		condition2	2.7359649123	10		sigma_mM_3PG	log10	normal
mM 3PG		condition2	2.3	20		sigma_mM_3PG	log10	normal
mM 3PG		condition2	2.0596491228	30		sigma_mM_3PG	log10	normal
stdev_1		condition2	0.1476240473	0		sigma_stdev_1	log10	normal
stdev_1		condition2	0.0545836814	5		sigma_stdev_1	log10	normal
stdev_1		condition2	0.0062026911	10		sigma_stdev_1	log10	normal
stdev_1		condition2	0.0272918407	20		sigma_stdev_1	log10	normal
stdev_1		condition2	0.0669890635	30		sigma_stdev_1	log10	normal
mM PYR		condition2	0.2175438596	0		sigma_mM_PYR	log10	normal
mM PYR		condition2	0.7175438596	5		sigma_mM_PYR	log10	normal
mM PYR		condition2	1.1614035088	10		sigma_mM_PYR	log10	normal
mM PYR		condition2	1.4912280702	20		sigma_mM_PYR	log10	normal
mM PYR		condition2	1.7578947368	30		sigma_mM_PYR	log10	normal
